GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,NAME,B15002D_001MA,B15002D_001EA,B15002D_002MA,B15002D_002EA,B15002D_003MA,B15002D_003EA,B15002D_004EA,B15002D_004MA,B15002D_005EA,B15002D_005MA,B15002D_006MA,B15002D_006EA,B15002D_007MA,B15002D_007EA,B15002D_008MA,B15002D_008EA,B15002D_009EA,B15002D_009MA,B15002D_010EA,B15002D_010MA,B15002D_011EA,B15002D_011MA,B15002D_012EA,B15002D_012MA,B15002D_013EA,B15002D_013MA,B15002D_014EA,B15002D_014MA,B15002D_015MA,B15002D_015EA,B15002D_016EA,B15002D_016MA,B15002D_017EA,B15002D_017MA,state
0400000US01,25533,1499,11159,1122,360,367,894,426,1726,585,1044,387,376,265,2150,764,4609,1051,14374,1015,790,383,1033,489,2798,761,1857,571,986,554,4179,863,2731,787,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17430,919,7427,569,1041,505,304,317,2633,630,1406,550,218,173,1351,541,474,396,10003,696,1701,605,938,462,2163,523,1683,553,855,522,2368,680,295,182,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,87638,1557,39035,1086,2214,726,1785,607,3880,1121,5143,1090,2125,772,13082,1784,10806,1566,48603,1014,3740,766,3326,907,9496,1909,7104,1328,3520,806,12496,1682,8921,1426,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17235,1758,9023,1158,302,234,535,378,1726,663,1633,646,739,472,1957,634,2131,869,8212,1091,807,378,468,254,2038,539,693,383,523,369,2547,709,1136,441,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3007545,7836,1399482,5215,91174,5412,71645,5142,205443,8256,222928,8445,113572,6272,430157,11011,264563,9932,1608063,4501,171664,6278,103120,5265,265139,9865,220511,7631,144325,6200,508080,11176,195224,7341,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,79538,2019,35935,1187,1209,534,2705,895,4143,834,4908,949,2145,662,10701,1647,10124,1472,43603,1690,4026,1200,3775,1032,9317,1530,5775,1335,2105,684,10858,1596,7747,1348,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,73945,1183,36689,714,1834,802,1306,473,5364,1401,2748,805,946,466,11506,1492,12985,1599,37256,790,3155,923,1525,561,7082,1276,2365,632,1430,510,11122,1380,10577,1330,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15743,405,7596,323,157,127,250,218,739,370,586,339,208,147,2559,655,3097,736,8147,262,493,247,288,164,1587,528,608,386,540,327,2868,654,1763,509,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12805,1099,5844,753,343,350,163,178,794,476,280,272,0,286,2398,878,1866,756,6961,653,591,372,278,323,869,851,643,427,144,175,1250,554,3186,955,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,252067,3896,111766,2605,6986,1593,7438,1151,19312,2436,15697,1563,7427,1460,32301,2428,22605,2188,140301,2439,13379,1825,11538,1673,27505,2688,19998,2558,12206,2016,38873,2957,16802,2000,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
