GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001EA,B25081_001MA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005EA,B25081_005MA,B25081_006EA,B25081_006MA,B25081_007MA,B25081_007EA,B25081_008MA,B25081_008EA,state
0400000US01,1261475,13183,763484,12694,152676,5877,40669,3823,112007,4553,5312,1023,605496,11531,497991,8961,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,147019,3283,104525,3187,16061,1744,4211,909,11850,1521,1049,541,87415,3202,42494,2205,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1502457,13503,1065145,13204,263446,7590,66265,4600,197181,6000,13677,1986,788022,12380,437312,8419,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,736825,11065,432085,9252,48828,3288,16124,2011,32704,2531,2536,781,380721,8934,304740,6694,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7070138,36338,5371404,34180,1528249,23032,340158,10356,1188091,17692,96001,4456,3747154,33158,1698734,14717,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1233695,10904,944408,9968,280785,7676,90853,5233,189932,5508,13338,1627,650285,10537,289287,6657,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,919943,9808,659870,9679,190570,5935,30150,2503,160420,5424,7275,1359,462025,7872,260073,5398,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,229860,4042,159799,3920,42881,2447,8760,1292,34121,2396,1654,598,115264,3838,70061,2788,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,105518,3324,79491,2672,22980,1808,5978,1081,17002,1549,1231,586,55280,2629,26027,2018,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4903949,29804,3213520,24943,739363,12407,156360,6841,583003,10621,34246,3613,2439911,22653,1690429,16973,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2218217,18944,1614736,16820,377308,9164,96285,5506,281023,8160,14817,1956,1222611,15078,603481,9189,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,256578,4620,173911,4625,39223,2480,7425,1075,31798,2231,3088,917,131600,4150,82667,3529,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
