GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001EA,B05003A_001MA,B05003A_002EA,B05003A_002MA,B05003A_003MA,B05003A_003EA,B05003A_004MA,B05003A_004EA,B05003A_005EA,B05003A_005MA,B05003A_006EA,B05003A_006MA,B05003A_007EA,B05003A_007MA,B05003A_008MA,B05003A_008EA,B05003A_009MA,B05003A_009EA,B05003A_010EA,B05003A_010MA,B05003A_011EA,B05003A_011MA,B05003A_012EA,B05003A_012MA,B05003A_013MA,B05003A_013EA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016EA,B05003A_016MA,B05003A_017EA,B05003A_017MA,B05003A_018MA,B05003A_018EA,B05003A_019MA,B05003A_019EA,B05003A_020MA,B05003A_020EA,B05003A_021EA,B05003A_021MA,B05003A_022EA,B05003A_022MA,B05003A_023MA,B05003A_023EA,state
0400000US01,3153627,4971,1551349,3133,359999,2002,355927,2022,4072,890,589,333,3483,905,1191350,2183,1162177,2284,29173,2712,6676,1222,22497,2505,1602278,3406,338908,2093,335164,2055,3744,1089,1114,444,2630,1003,1263370,1854,1238024,2626,25346,2914,8450,1144,16896,2686,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,443874,2450,227507,1629,56243,1014,55807,1022,436,293,359,308,77,95,171264,1031,166120,1442,5144,1101,2846,707,2298,866,216367,1832,55342,1127,54853,1185,489,307,120,143,369,263,161025,1115,154028,1578,6997,1086,3934,940,3063,738,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4440804,21839,2200285,11523,544163,6622,516074,7134,28089,4074,2725,1112,25364,3860,1656122,7995,1431015,9700,225107,9885,67206,5220,157901,9052,2240519,12370,525974,7283,497060,7248,28914,4253,4168,1729,24746,4249,1714545,6929,1509356,8396,205189,8591,73973,4049,131216,7829,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2135069,7370,1051121,3699,250602,2040,248242,2075,2360,831,35,64,2325,827,800519,2579,779992,2018,20527,2647,4438,1024,16089,2574,1083948,4782,233611,2688,230685,2404,2926,1184,381,358,2545,1126,850337,2608,831859,1844,18478,2591,5185,1159,13293,2283,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21491336,78683,10686600,43690,2745435,19981,2576070,19884,169365,10496,20371,4227,148994,8908,7941165,30459,6121265,24126,1819900,31308,698126,17409,1121774,25692,10804736,41190,2622128,20066,2470395,19456,151733,12358,17897,3175,133836,11504,8182608,26964,6390160,21497,1792448,27618,763569,17582,1028879,22323,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3809054,16119,1912119,10163,476142,6102,458491,5580,17651,2511,1851,840,15800,2369,1435977,5928,1306556,4758,129421,6700,33202,3173,96219,6006,1896935,8446,450050,4576,434611,4384,15439,2497,1621,592,13818,2443,1446885,5425,1333971,5770,112914,5065,35168,2526,77746,4353,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2756081,10383,1341364,5550,322409,2808,312977,3194,9432,1808,2009,630,7423,1806,1018955,4371,912624,6185,106331,7173,53281,4161,53050,5864,1414717,5967,304780,2821,296791,2928,7989,1560,2824,957,5165,1065,1109937,4054,996925,6143,113012,6340,64547,4699,48465,4732,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,602213,3285,294859,1859,65831,798,64704,945,1127,690,177,122,950,666,229028,1375,215927,1685,13101,1946,4665,1124,8436,1575,307354,1781,62764,1101,62154,1159,610,331,185,155,425,323,244590,999,231357,1976,13233,1740,5940,1250,7293,1244,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,166813,2891,81778,1695,9658,874,9067,903,591,401,115,140,476,375,72120,1333,62371,1532,9749,1595,3102,822,6647,1522,85035,1700,9707,720,9213,706,494,341,182,190,312,265,75328,1343,63845,1518,11483,1669,4591,1068,6892,1172,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13341532,25125,6521007,17285,1406681,8298,1329865,8674,76816,5523,10175,1669,66641,5422,5114326,11689,4205836,11136,908490,15269,400422,10809,508068,13455,6820525,12163,1341961,7519,1269139,8029,72822,5483,8773,1780,64049,5211,5478564,7801,4504043,14118,974521,15132,513893,12054,460628,12330,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
