GEO_ID,C18010_001E,C18010_001M,C18010_002E,C18010_002M,C18010_003E,C18010_003M,C18010_004E,C18010_004M,C18010_005E,C18010_005M,C18010_006E,C18010_006M,C18010_007E,C18010_007M,C18010_008E,C18010_008M,C18010_009E,C18010_009M,C18010_010E,C18010_010M,C18010_011E,C18010_011M,C18010_012E,C18010_012M,C18010_013E,C18010_013M,C18010_014E,C18010_014M,C18010_015E,C18010_015M,C18010_016E,C18010_016M,C18010_017E,C18010_017M,C18010_018E,C18010_018M,C18010_019E,C18010_019M,NAME,C18010_001MA,C18010_001EA,C18010_002MA,C18010_002EA,C18010_003MA,C18010_003EA,C18010_004EA,C18010_004MA,C18010_005EA,C18010_005MA,C18010_006EA,C18010_006MA,C18010_007EA,C18010_007MA,C18010_008MA,C18010_008EA,C18010_009EA,C18010_009MA,C18010_010EA,C18010_010MA,C18010_011EA,C18010_011MA,C18010_012EA,C18010_012MA,C18010_013MA,C18010_013EA,C18010_014MA,C18010_014EA,C18010_015EA,C18010_015MA,C18010_016EA,C18010_016MA,C18010_017EA,C18010_017MA,C18010_018MA,C18010_018EA,C18010_019MA,C18010_019EA,state
0400000US01,989923,5026,95638,4678,16250,2283,5672,1086,10578,1880,79388,4480,31100,3547,27705,2898,16171,2339,4412,1100,894285,6732,227190,6841,38843,3238,188347,6054,667095,8833,122535,7505,239479,7796,180994,7117,124087,6065,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,138421,1810,11193,1365,2517,777,1263,563,1254,540,8676,1210,1717,578,4363,835,2165,706,431,268,127228,1938,29436,2728,9150,1340,20286,2256,97792,2878,11045,1921,41883,2667,29576,2691,15288,1674,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1376250,3156,89195,6264,21035,3563,5691,1314,15344,3316,68160,4930,18399,2706,27319,2988,15906,2038,6536,1813,1287055,7232,307003,10193,54321,4447,252682,9706,980052,11583,208865,8557,333522,10658,266160,10642,171505,7454,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,601456,4266,62503,3935,11809,2095,3430,979,8379,1833,50694,3942,13381,2235,25063,2571,8623,1472,3627,1097,538953,5917,127181,5387,24862,2573,102319,5352,411772,7020,70849,5033,165597,5467,107035,5640,68291,4278,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8280110,7277,463407,13114,114098,7228,29402,3348,84696,5858,349309,10861,105433,6600,126430,6187,86920,5600,30526,3182,7816703,14114,2172382,27883,315890,10424,1856492,25576,5644321,29377,1307288,28415,1666742,29906,1352283,20743,1318008,20772,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1120749,3806,64451,4329,14018,2130,4323,1187,9695,1711,50433,3730,13440,2120,18295,2296,12604,1781,6094,1395,1056298,5605,259739,7159,41424,3635,218315,7224,796559,8324,132161,6242,222509,8684,205460,8470,236429,8074,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,651205,1909,42523,3734,10071,1871,3211,835,6860,1615,32452,3252,6015,1358,15848,2386,7223,1358,3366,922,608682,4088,165182,5358,26616,2529,138566,5119,443500,6099,52211,4938,147422,6227,98771,5312,145096,5076,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,178206,1196,14747,2277,2549,862,1062,586,1487,651,12198,2143,3480,1249,4409,1055,3640,1101,669,478,163459,2477,39645,3202,6882,1257,32763,3043,123814,3628,20693,2385,44860,3476,24979,2544,33282,2527,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,136787,565,7345,1773,1562,620,513,414,1049,570,5783,1644,2215,873,2150,1251,629,378,789,384,129442,1913,28990,2423,2892,878,26098,2286,100452,2843,11277,2001,21438,2369,14021,1750,53716,2781,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3540211,7309,227660,8544,48100,3820,17184,2423,30916,3101,179560,8137,57968,4187,70783,5467,38321,3005,12488,2099,3312551,11280,855020,15726,150608,6593,704412,14084,2457531,20184,418134,12830,886685,18575,646219,17256,506493,13028,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
