GEO_ID,C11010_001E,C11010_001M,C11010_002E,C11010_002M,C11010_003E,C11010_003M,C11010_004E,C11010_004M,C11010_005E,C11010_005M,C11010_006E,C11010_006M,C11010_007E,C11010_007M,C11010_008E,C11010_008M,C11010_009E,C11010_009M,C11010_010E,C11010_010M,C11010_011E,C11010_011M,NAME,C11010_001EA,C11010_001MA,C11010_002EA,C11010_002MA,C11010_003EA,C11010_003MA,C11010_004EA,C11010_004MA,C11010_005EA,C11010_005MA,C11010_006EA,C11010_006MA,C11010_007EA,C11010_007MA,C11010_008EA,C11010_008MA,C11010_009MA,C11010_009EA,C11010_010MA,C11010_010EA,C11010_011MA,C11010_011EA,state
0400000US01,564967,11405,256430,8118,215901,7492,172695,6961,43206,3028,40529,3908,308537,8295,279827,7985,147814,6661,132013,4081,28710,2746,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76065,3726,42306,2484,31505,2353,28206,2266,3299,628,10801,1530,33759,2413,25907,2124,19075,1938,6832,818,7852,1252,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,744553,14396,363391,10898,270732,10155,221913,10057,48819,3316,92659,6177,381162,9346,310326,8847,176229,7643,134097,4097,70836,4749,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,345098,7359,161409,4977,129771,4789,104553,4867,25218,1998,31638,3165,183689,6007,166014,5859,85744,5219,80270,3085,17675,2249,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3816775,29783,1822803,23836,1324680,18861,1063155,16738,261525,7347,498123,14436,1993972,22034,1634634,18574,947041,15605,687593,11122,359338,11811,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,654816,10994,325545,8102,244037,7557,210691,7287,33346,2267,81508,4933,329271,7981,269404,7437,174271,6771,95133,3715,59867,3851,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,430550,9271,188787,6369,149541,5652,114502,5054,35039,2101,39246,3528,241763,6242,209797,5804,109148,5244,100649,3812,31966,3542,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,101458,3814,45008,2938,33670,2740,25752,2477,7918,920,11338,1637,56450,2698,47694,2544,26872,2243,20822,1412,8756,1288,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,139730,4298,63431,3244,51344,3308,43267,3060,8077,988,12087,1504,76299,3403,65700,3516,48277,3212,17423,1586,10599,1414,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2453997,24142,1137319,16496,851852,16379,647857,15450,203995,6342,285467,9565,1316678,18638,1110826,17052,573406,12231,537420,10236,205852,8391,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1034922,14995,497692,10943,381453,10246,325389,9921,56064,2891,116239,7131,537230,10461,466082,9398,294131,7892,171951,5094,71148,5039,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124218,4615,59718,3399,45106,3211,36363,3115,8743,1109,14612,1912,64500,3364,51035,3084,28734,2552,22301,2028,13465,2015,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,159905,5192,74014,3692,55371,3560,43239,3213,12132,1270,18643,2158,85891,4152,71211,3958,40965,3196,30246,2051,14680,1934,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1564889,16197,710270,12147,565278,11391,450138,10475,115140,4684,144992,8145,854619,13137,746289,13321,414318,11543,331971,6427,108330,5710,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,803061,12199,369432,8562,286905,7769,229826,7749,57079,3090,82527,4868,433629,8057,374407,7327,198452,6037,175955,4372,59222,3442,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,410701,7581,193444,5437,151751,4790,122848,4347,28903,1886,41693,2946,217257,5059,184628,4426,87341,3651,97287,2598,32629,2608,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,356097,7481,166618,5212,135005,5293,109524,4841,25481,2231,31613,2897,189479,5458,163705,5338,87770,4975,75935,2083,25774,2051,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
