GEO_ID,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,NAME,B02001_001EA,B02001_001MA,B02001_002EA,B02001_002MA,B02001_003EA,B02001_003MA,B02001_004EA,B02001_004MA,B02001_005MA,B02001_005EA,B02001_006MA,B02001_006EA,B02001_007EA,B02001_007MA,B02001_008EA,B02001_008MA,B02001_009EA,B02001_009MA,B02001_010MA,B02001_010EA,state
0400000US01,4442558,0,3153627,4971,1144330,5190,23283,1646,38444,2253,938,933,34643,4676,47293,4936,3631,1102,43662,4793,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,641724,0,443874,2450,22103,850,91013,2977,28838,1908,3282,850,8188,2073,44426,3829,2398,1086,42028,3888,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5829839,0,4440804,21839,180769,5229,275321,6142,129197,2470,7229,1827,658244,23454,138275,9284,50696,5945,87579,6842,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2701431,0,2135069,7370,414260,5201,18481,1657,25249,2206,4105,1394,65419,7225,38848,4741,4876,1400,33972,4763,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35278768,0,21491336,78683,2163530,16014,253774,11432,4365548,14931,124511,4759,5784073,80501,1095996,23933,355568,14412,740428,20883,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4562244,0,3809054,16119,165729,3553,40063,3910,117506,3181,4476,1057,306399,15976,119017,7200,35144,4635,83873,5603,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3394751,0,2756081,10383,309769,5164,8324,2172,108644,2036,1480,1310,153631,9473,56822,5253,10260,1888,46562,5271,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,818587,0,602213,3285,163052,1712,2056,534,22376,744,70,122,16749,3375,12071,1956,936,551,11135,1861,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515118,0,166813,2891,292445,2327,1386,454,15566,1303,242,208,30893,3026,7773,1901,1058,622,6715,1883,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17382511,0,13341532,25125,2613628,12771,59092,4557,371385,5489,7523,1367,711373,24415,277978,13772,78664,6707,199314,12036,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8821142,0,5516920,16610,2571396,9894,20223,2547,240832,4500,4401,1598,346839,15806,120531,8821,26383,4253,94148,7345,Georgia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1238158,0,308912,3775,24239,1132,3216,934,520564,9651,105042,5153,15644,3332,260541,13137,7990,1981,252551,13160,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1395634,0,1281279,5046,5931,1284,15817,2027,15117,1390,1054,576,49107,4702,27329,3195,5556,1413,21773,2791,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12440351,0,8986032,26972,1803613,7768,23175,2109,507687,4109,3992,1700,928610,25377,187242,9220,51340,6376,135902,7515,Illinois,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6093372,0,5247604,9258,522377,6014,15161,1835,72494,2163,1610,914,144947,8768,89179,6965,16029,2721,73150,5757,Indiana,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2862541,0,2675878,5760,62827,2765,6511,1327,41510,1518,520,267,43915,4867,31380,3683,5935,1448,25445,3201,Iowa,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
