GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001MA,B12001_001EA,B12001_002EA,B12001_002MA,B12001_003MA,B12001_003EA,B12001_004MA,B12001_004EA,B12001_005MA,B12001_005EA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008EA,B12001_008MA,B12001_009MA,B12001_009EA,B12001_010MA,B12001_010EA,B12001_011EA,B12001_011MA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014MA,B12001_014EA,B12001_015MA,B12001_015EA,B12001_016EA,B12001_016MA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US01,3541734,2600,1684655,2765,463950,8018,1005676,10131,942078,10873,63598,4051,32593,3672,31005,2710,45892,3292,169137,7103,1857079,2900,418217,7005,1001063,9876,918415,9598,82648,5329,53692,4132,28956,3316,207496,4990,230303,6935,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,487292,676,247020,1063,82925,2630,132976,3136,123810,3275,9166,1218,3593,862,5573,1047,3517,620,27602,2249,240272,1138,60172,2648,134959,3848,122076,3618,12883,1638,6428,1305,6455,1037,13950,1531,31191,2635,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4506643,1491,2224933,1886,690950,10635,1261425,11803,1162682,12786,98743,6850,33723,3718,65020,5263,53275,3385,219283,8219,2281710,1771,563440,9927,1225836,13921,1120106,12771,105730,6360,50820,4119,54910,5012,189840,5196,302594,9397,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2145130,2171,1032085,2558,263409,5667,625415,7491,584869,7603,40546,3983,23074,3179,17472,2382,29829,2548,113432,5429,1113045,2291,223314,5411,624092,7666,575359,8563,48733,3678,31268,2764,17465,2416,119402,4311,146237,6362,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27234841,3105,13375995,3971,4629429,26340,7442644,32820,6691754,36590,750890,20257,246692,9422,504198,17656,270813,8186,1033109,18291,13858846,3780,3922016,29274,7276059,33198,6461542,31552,814517,17982,391732,12362,422785,15268,1125702,14271,1535069,21021,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3576694,1805,1782616,2326,550245,7970,1028168,11378,954174,11196,73994,5820,24059,2774,49935,5456,33454,2725,170749,7459,1794078,2427,445766,9471,999232,10993,927604,11410,71628,5291,35703,3383,35925,3848,124244,3982,224836,8274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2713793,1092,1297463,1494,395164,6553,756071,8114,708774,8353,47297,4879,15169,2384,32128,4064,34094,2593,112134,5103,1416330,1311,368693,6575,757089,9060,705304,8661,51785,4731,26946,3343,24839,3099,136052,5294,154496,5951,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,656669,732,315138,714,92892,3119,186419,3876,171864,4465,14555,2205,5111,1253,9444,1871,9321,1309,26506,2177,341531,752,86023,3369,183972,3953,169201,4121,14771,1894,9855,1501,4916,1178,30887,2005,40649,2589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,419087,564,194365,494,97971,3546,73716,3743,58507,3407,15209,2392,7187,1432,8022,1703,5596,981,17082,2196,224722,659,106670,3475,70932,3913,55489,3175,15443,2022,7664,1332,7779,1607,23268,1802,23852,2293,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14040729,4027,6757460,5771,1957028,17204,3896945,18144,3568930,20312,328015,11121,135400,8480,192615,7783,196188,7858,707299,13717,7283269,5519,1676030,16306,3842133,21410,3480195,22372,361938,11912,197380,9071,164558,8118,780866,11749,984240,14422,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
