B22005G_002E,B22005G_002M,B22005G_003E,B22005G_003M,GEO_ID,B22005G_001E,B22005G_001M,B22005G_002EA,B22005G_002MA,B22005G_003EA,B22005G_003MA,NAME,B22005G_001MA,B22005G_001EA,state
2799,807,13583,1591,0400000US01,16382,1899,null,null,null,null,Alabama,null,null,01
814,357,9712,1461,0400000US02,10526,1503,null,null,null,null,Alaska,null,null,02
3550,1059,25888,1945,0400000US04,29438,2422,null,null,null,null,Arizona,null,null,04
1290,511,9871,1441,0400000US05,11161,1526,null,null,null,null,Arkansas,null,null,05
14851,2038,224929,7847,0400000US06,239780,7835,null,null,null,null,California,null,null,06
2904,996,25128,2414,0400000US08,28032,2589,null,null,null,null,Colorado,null,null,08
3088,1060,10766,1567,0400000US09,13854,1893,null,null,null,null,Connecticut,null,null,09
359,225,2381,525,0400000US10,2740,556,null,null,null,null,Delaware,null,null,10
279,243,2964,921,0400000US11,3243,1027,null,null,null,null,District of Columbia,null,null,11
10234,1672,68814,4399,0400000US12,79048,4612,null,null,null,null,Florida,null,null,12
3326,1077,28043,3199,0400000US13,31369,3374,null,null,null,null,Georgia,null,null,13
6395,1245,49568,3264,0400000US15,55963,3563,null,null,null,null,Hawaii,null,null,15
1247,543,6057,1399,0400000US16,7304,1570,null,null,null,null,Idaho,null,null,16
6316,1385,35749,2899,0400000US17,42065,3027,null,null,null,null,Illinois,null,null,17
4244,1092,18311,2160,0400000US18,22555,2199,null,null,null,null,Indiana,null,null,18
1352,603,6651,1320,0400000US19,8003,1364,null,null,null,null,Iowa,null,null,19
1953,511,13001,1415,0400000US20,14954,1489,null,null,null,null,Kansas,null,null,20
2812,849,8872,1616,0400000US21,11684,1664,null,null,null,null,Kentucky,null,null,21
2824,702,11364,1789,0400000US22,14188,1914,null,null,null,null,Louisiana,null,null,22
1563,585,3515,756,0400000US23,5078,912,null,null,null,null,Maine,null,null,23
1813,535,21587,2691,0400000US24,23400,2745,null,null,null,null,Maryland,null,null,24
2850,932,18414,2054,0400000US25,21264,2285,null,null,null,null,Massachusetts,null,null,25
7216,1523,31759,2536,0400000US26,38975,2659,null,null,null,null,Michigan,null,null,26
2422,823,12069,1466,0400000US27,14491,1705,null,null,null,null,Minnesota,null,null,27
1004,459,6129,1708,0400000US28,7133,1668,null,null,null,null,Mississippi,null,null,28
4278,1108,20286,1813,0400000US29,24564,1938,null,null,null,null,Missouri,null,null,29
738,451,3438,755,0400000US30,4176,744,null,null,null,null,Montana,null,null,30
1132,675,4084,952,0400000US31,5216,1068,null,null,null,null,Nebraska,null,null,31
1364,586,14609,1933,0400000US32,15973,1990,null,null,null,null,Nevada,null,null,32
338,292,2819,697,0400000US33,3157,756,null,null,null,null,New Hampshire,null,null,33
2544,832,25998,3167,0400000US34,28542,3265,null,null,null,null,New Jersey,null,null,34
1726,598,12504,1844,0400000US35,14230,1962,null,null,null,null,New Mexico,null,null,35
12953,1937,62952,4274,0400000US36,75905,4711,null,null,null,null,New York,null,null,36
5070,1285,28573,2823,0400000US37,33643,2983,null,null,null,null,North Carolina,null,null,37
384,304,1027,488,0400000US38,1411,555,null,null,null,null,North Dakota,null,null,38
9314,1670,32886,3075,0400000US39,42200,3810,null,null,null,null,Ohio,null,null,39
10896,1985,53490,3627,0400000US40,64386,3456,null,null,null,null,Oklahoma,null,null,40
4818,1237,22862,2052,0400000US41,27680,2403,null,null,null,null,Oregon,null,null,41
5520,1187,24896,1625,0400000US42,30416,2045,null,null,null,null,Pennsylvania,null,null,42
910,580,3199,846,0400000US44,4109,1047,null,null,null,null,Rhode Island,null,null,44
2259,730,10258,1810,0400000US45,12517,2057,null,null,null,null,South Carolina,null,null,45
493,357,1792,645,0400000US46,2285,673,null,null,null,null,South Dakota,null,null,46
3398,955,15596,2198,0400000US47,18994,2480,null,null,null,null,Tennessee,null,null,47
9634,1420,84807,4624,0400000US48,94441,4981,null,null,null,null,Texas,null,null,48
716,418,5664,1082,0400000US49,6380,1161,null,null,null,null,Utah,null,null,49
625,310,2591,437,0400000US50,3216,500,null,null,null,null,Vermont,null,null,50
3390,1214,28268,3013,0400000US51,31658,3438,null,null,null,null,Virginia,null,null,51
8530,1381,46622,3825,0400000US53,55152,3892,null,null,null,null,Washington,null,null,53
1509,490,3826,697,0400000US54,5335,790,null,null,null,null,West Virginia,null,null,54
1689,607,12507,1482,0400000US55,14196,1523,null,null,null,null,Wisconsin,null,null,55
218,202,2252,588,0400000US56,2470,619,null,null,null,null,Wyoming,null,null,56
17064,2006,41622,3060,0400000US72,58686,3577,null,null,null,null,Puerto Rico,null,null,72
