GEO_ID,B24081_001E,B24081_001M,B24081_002E,B24081_002M,B24081_003E,B24081_003M,B24081_004E,B24081_004M,B24081_005E,B24081_005M,B24081_006E,B24081_006M,B24081_007E,B24081_007M,B24081_008E,B24081_008M,B24081_009E,B24081_009M,B24081_010E,B24081_010M,NAME,B24081_001EA,B24081_001MA,B24081_002EA,B24081_002MA,B24081_003MA,B24081_003EA,B24081_004MA,B24081_004EA,B24081_005MA,B24081_005EA,B24081_006MA,B24081_006EA,B24081_007MA,B24081_007EA,B24081_008EA,B24081_008MA,B24081_009MA,B24081_009EA,B24081_010MA,B24081_010EA,state
0400000US01,26262,283,25264,337,24690,427,47452,4621,24638,1424,30651,983,32319,1151,50674,1538,21731,810,6424,2425,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34096,1289,30963,727,30321,768,50276,7747,34523,3174,36608,1159,41432,1918,47569,3710,27413,4962,18897,8754,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29148,427,27916,522,27174,340,50335,2046,30146,1308,33237,1118,31818,760,44807,2653,22870,1241,10738,4211,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24282,341,23417,387,22809,389,38717,4437,25615,859,28379,1960,27266,1321,42325,1535,19884,1279,13308,10030,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32061,117,30530,155,29828,294,58922,3260,34356,841,42588,656,43677,1488,48147,886,28008,1021,11299,1647,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31491,255,31013,309,30449,323,42754,3449,30660,650,34861,986,38070,2046,50852,1632,23935,1429,11377,1812,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,38058,612,37109,470,36459,472,61044,4242,35830,1032,43633,1542,50486,1113,48874,2436,32043,1067,7341,11900,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32652,1094,31848,817,31326,849,56266,10764,30802,2107,40577,2849,38390,3172,47886,5826,26722,3974,4266,4910,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41084,892,36490,1521,35916,1699,62193,24923,41619,2079,41950,9477,35269,6707,55954,3119,37448,8248,2499,0,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,***,"2,500-",11
0400000US12,27825,258,26712,181,25888,187,41987,655,29322,905,34590,582,32766,746,45857,941,22162,578,11575,1725,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30306,197,29600,402,28684,391,45002,2409,30808,759,32473,798,31287,691,45917,1009,22945,1327,27133,9136,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30454,510,27491,825,27040,625,46844,7699,30834,1527,39600,2359,35427,1323,46851,2186,25707,1603,10097,2982,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24147,632,23483,673,22826,644,35797,2388,21317,1210,28489,1320,30003,1652,42683,3203,20373,1383,10714,1938,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31894,178,31388,214,30850,223,51419,1176,30733,561,39207,837,37355,1236,47094,892,23422,1576,12850,3159,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,29011,306,28916,351,28340,340,45955,2328,27314,786,31865,542,31146,839,46908,1350,21069,562,12653,4641,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27593,320,27257,345,27017,342,35118,3246,25211,836,32178,735,36556,1470,43427,1015,20534,896,11515,3383,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26994,357,26873,360,26373,358,41620,1990,26238,1118,29068,1271,30728,1097,41054,2044,19927,1402,13630,8816,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,26894,269,26377,343,25934,361,41956,2866,27998,1182,30435,834,31176,1133,42142,1559,20550,971,8610,2084,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26305,345,25611,416,25037,443,45682,4378,24974,1321,30139,1065,31402,926,41609,2275,20348,1129,10861,1682,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26953,353,26253,432,25836,446,36388,4088,26642,1058,31378,1001,32931,3008,46466,2634,22078,1222,11537,5696,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,37364,310,33761,650,32548,563,52792,3085,38424,1215,41237,860,40960,1095,65977,1266,26289,911,15672,9145,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,36520,260,35611,341,34985,407,54882,3801,36256,868,42585,907,42008,1119,47717,1496,30992,751,22203,4500,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,30968,172,30503,209,30023,245,44438,2538,30648,532,37444,1062,40833,748,47158,1178,21393,553,10661,1650,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,31654,183,31357,220,30986,238,43647,3908,31732,610,36277,898,39857,1151,45369,1515,23357,1121,8668,3584,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,24309,375,23293,462,22755,478,36435,3533,23993,1646,27422,1365,27192,1059,40032,2233,21299,1295,8244,4118,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,27481,237,27159,253,26747,264,40830,2206,27877,1059,31648,633,27507,848,44771,1604,20835,813,7154,3575,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23613,598,22194,553,21592,507,34298,3300,24391,1684,27180,1411,29926,2076,40174,4445,20300,1182,5815,3082,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
