GEO_ID,B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,NAME,B06004F_001MA,B06004F_001EA,B06004F_002MA,B06004F_002EA,B06004F_003MA,B06004F_003EA,B06004F_004EA,B06004F_004MA,B06004F_005EA,B06004F_005MA,state
0400000US01,34643,4676,6143,1828,7943,2005,726,442,19831,3297,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8188,2073,845,434,4051,1195,755,595,2537,1114,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,658244,23454,301985,14504,109090,8015,8467,2157,238702,12446,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65419,7225,12760,2375,17265,3129,877,538,34517,5637,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5784073,80501,2924257,49105,261398,10828,47388,5859,2551030,45835,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,306399,15976,157338,10427,59740,5689,2763,835,86558,8755,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,153631,9473,51766,5354,20695,3657,35215,3475,45955,5913,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16749,3375,4353,1181,2780,1281,1585,734,8031,2114,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30893,3026,7203,1909,3603,1336,236,296,19851,2630,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,711373,24415,161686,9832,146291,10641,84534,7698,318862,15438,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,346839,15806,69784,5674,45046,4017,8510,1996,223499,13460,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15644,3332,4984,1509,5844,1531,796,491,4020,1806,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,49107,4702,15800,2414,13076,2654,454,402,19777,2767,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,928610,25377,401802,16499,71922,6159,27479,3124,427407,17584,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,144947,8768,45990,4287,29364,3446,4665,1302,64928,5723,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,43915,4867,11508,1939,10962,1879,830,573,20615,3730,Iowa,null,null,null,null,null,null,null,null,null,null,19
