GEO_ID,B10057_001E,B10057_001M,B10057_002E,B10057_002M,B10057_003E,B10057_003M,B10057_004E,B10057_004M,B10057_005E,B10057_005M,B10057_006E,B10057_006M,B10057_007E,B10057_007M,B10057_008E,B10057_008M,B10057_009E,B10057_009M,B10057_010E,B10057_010M,B10057_011E,B10057_011M,B10057_012E,B10057_012M,B10057_013E,B10057_013M,B10057_014E,B10057_014M,B10057_015E,B10057_015M,B10057_016E,B10057_016M,B10057_017E,B10057_017M,B10057_018E,B10057_018M,B10057_019E,B10057_019M,NAME,B10057_001EA,B10057_001MA,B10057_002EA,B10057_002MA,B10057_003MA,B10057_003EA,B10057_004MA,B10057_004EA,B10057_005MA,B10057_005EA,B10057_006MA,B10057_006EA,B10057_007MA,B10057_007EA,B10057_008MA,B10057_008EA,B10057_009MA,B10057_009EA,B10057_010MA,B10057_010EA,B10057_011MA,B10057_011EA,B10057_012MA,B10057_012EA,B10057_013MA,B10057_013EA,B10057_014EA,B10057_014MA,B10057_015EA,B10057_015MA,B10057_016EA,B10057_016MA,B10057_017MA,B10057_017EA,B10057_018MA,B10057_018EA,B10057_019EA,B10057_019MA,state
0400000US01,111975,6719,74983,6344,48452,5120,21565,3141,14781,2529,6784,1595,26887,3851,21992,3680,4895,945,26531,3477,36992,3354,17371,2191,7375,1448,4660,1283,2715,664,9996,1806,6343,1483,3653,1169,19621,2466,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13181,2042,8266,1832,4788,1237,2375,1018,907,510,1468,781,2413,771,1769,707,644,200,3478,1123,4915,914,2081,516,782,353,275,223,507,276,1299,406,830,347,469,251,2834,759,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,122247,7082,84306,6769,41870,4628,15673,2462,8345,1981,7328,1468,26197,3576,20979,3362,5218,1403,42436,5054,37941,3414,13801,1892,4570,1014,1751,698,2819,757,9231,1698,6606,1517,2625,654,24140,2855,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57802,4390,39204,3730,27149,2970,13812,1855,8080,1512,5732,1120,13337,2266,9580,1814,3757,1091,12055,2189,18598,1761,8274,1399,3045,738,1782,571,1263,491,5229,1199,3884,1098,1345,531,10324,1465,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,885034,21469,584988,20752,194517,9110,52137,4318,30932,3030,21205,2524,142380,8520,100740,8246,41640,4142,390471,16678,300046,10277,74979,4306,24023,3157,10321,2040,13702,1981,50956,3974,30556,3082,20400,2659,225067,9256,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63960,5035,43205,4561,23714,3001,9169,1987,5479,1540,3690,949,14545,1931,11004,1693,3541,1029,19491,2928,20755,2195,6519,1226,2307,768,1121,574,1186,606,4212,1031,3338,993,874,402,14236,1890,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50107,4224,30450,3704,10443,2387,3225,1089,2023,930,1202,607,7218,1875,4555,1609,2663,936,20007,2835,19657,2071,5763,1402,1847,752,833,549,1014,536,3916,1145,2473,957,1443,565,13894,1665,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18645,2411,12376,2054,5125,1278,2086,918,1264,771,822,384,3039,978,2003,743,1036,552,7251,1642,6269,1267,2116,724,677,348,160,156,517,306,1439,600,862,437,577,395,4153,968,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11078,1940,5265,1594,2293,803,840,470,252,211,588,361,1453,707,941,509,512,457,2972,1232,5813,1089,3471,881,1658,584,685,373,973,454,1813,665,1391,633,422,233,2342,668,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,357729,13298,224968,11804,107866,8642,46783,4839,27562,3568,19221,3187,61083,6459,46525,5700,14558,2365,117102,7866,132761,6758,46163,3741,18930,2404,9367,1880,9563,1586,27233,3012,18190,2857,9043,1488,86598,5895,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
