GEO_ID,C16003_001E,C16003_001M,C16003_002E,C16003_002M,C16003_003E,C16003_003M,C16003_004E,C16003_004M,C16003_005E,C16003_005M,C16003_006E,C16003_006M,C16003_007E,C16003_007M,C16003_008E,C16003_008M,NAME,C16003_001MA,C16003_001EA,C16003_002MA,C16003_002EA,C16003_003EA,C16003_003MA,C16003_004EA,C16003_004MA,C16003_005EA,C16003_005MA,C16003_006MA,C16003_006EA,C16003_007MA,C16003_007EA,C16003_008MA,C16003_008EA,state
0400000US01,48434,4747,9363,1674,1026,502,6472,1319,1865,721,39071,3952,29483,3477,9588,1755,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13049,2559,3347,1450,1035,806,522,623,1790,1141,9702,1933,807,496,8895,1837,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,411707,19365,105641,8996,4347,2356,95423,8840,5871,1596,306066,12629,269744,12802,36322,4424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40586,5657,9487,1940,274,271,7882,1640,1331,701,31099,4246,24887,3830,6212,1654,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3897217,66776,936729,24453,35140,3508,743728,23752,157861,9242,2960488,49283,2016767,41283,943721,26117,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217546,14872,51202,5433,2983,1311,43465,5056,4754,1266,166344,11246,135267,10517,31077,4358,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,149200,12749,24312,4001,3090,1458,15045,2610,6177,1621,124888,10421,62641,7310,62247,6095,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22031,3047,4182,1132,36,60,3921,1123,225,174,17849,2313,13877,2309,3972,1057,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16764,3245,2915,1143,0,286,2511,1006,404,423,13849,2478,8997,2004,4852,1391,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1201548,28477,192835,9917,11101,1965,143970,8718,37764,5717,1008713,23556,801826,20927,206887,10813,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,311714,15125,55675,4619,2580,1260,40075,3850,13020,2303,256039,12584,193372,10868,62667,7159,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54006,6634,6819,1519,2218,878,503,372,4098,1175,47187,5931,2475,1417,44712,5945,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,34460,4520,7866,1962,880,581,6416,1616,570,439,26594,3056,22055,3224,4539,1647,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,678838,27946,136734,9116,5096,1767,103795,8320,27843,4037,542104,22554,346885,18276,195219,13768,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,111063,8399,22845,3083,1275,525,14945,2310,6625,1893,88218,6358,59728,4997,28490,3903,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41874,4349,9198,1748,1388,626,6354,1527,1456,501,32676,3187,20509,2718,12167,2024,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,68863,7257,15045,2407,490,408,12564,2325,1991,885,53818,5509,37750,4509,16068,2900,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,34506,4941,6604,2282,959,914,2085,777,3560,1887,27902,3413,15804,2323,12098,2610,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,52036,6165,6315,1770,1353,763,2014,840,2948,1017,45721,5057,16760,3491,28961,3339,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11717,2695,2689,1296,1039,909,62,102,1588,1061,9028,1677,262,207,8766,1664,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,168237,10724,31255,3744,2965,1166,17372,2830,10918,2392,136982,8340,70972,6946,66010,5603,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,315364,18780,52295,5938,3959,1272,23014,3456,25322,4867,263069,15650,93485,7095,169584,14891,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,182610,12053,38189,4129,4202,1423,14635,2198,19352,3848,144421,9329,52648,5830,91773,6945,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,113099,8697,27553,3577,2444,946,9114,1752,15995,2924,85546,6079,33576,4032,51970,4828,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,18958,3141,3043,798,616,395,1239,542,1188,580,15915,2850,12066,2720,3849,1212,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
