GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001EA,C25074_001MA,C25074_002MA,C25074_002EA,C25074_003MA,C25074_003EA,C25074_004MA,C25074_004EA,C25074_005MA,C25074_005EA,C25074_006EA,C25074_006MA,C25074_007EA,C25074_007MA,C25074_008MA,C25074_008EA,C25074_009MA,C25074_009EA,C25074_010MA,C25074_010EA,C25074_011MA,C25074_011EA,C25074_012MA,C25074_012EA,C25074_013MA,C25074_013EA,C25074_014MA,C25074_014EA,C25074_015MA,C25074_015EA,C25074_016MA,C25074_016EA,C25074_017EA,C25074_017MA,C25074_018EA,C25074_018MA,C25074_019MA,C25074_019EA,C25074_020MA,C25074_020EA,C25074_021MA,C25074_021EA,C25074_022MA,C25074_022EA,C25074_023MA,C25074_023EA,C25074_024MA,C25074_024EA,C25074_025MA,C25074_025EA,state
0400000US01,527217,11869,131097,6865,12420,2198,83749,5319,34928,2930,122976,5582,28730,3467,81972,5275,12274,1661,121516,6666,74848,5263,33381,3679,13287,2202,71524,5191,59983,4826,4127,1145,7414,1330,52781,4228,46965,4154,773,362,5043,1121,27323,2724,24113,2498,337,282,2873,810,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86233,3244,8950,1485,349,259,6702,1339,1899,605,11697,1369,774,333,9660,1277,1263,448,19570,2010,5309,1021,11714,1810,2547,907,14614,1837,9202,1488,3234,876,2178,619,17602,2155,13899,1887,2015,802,1688,550,13800,1666,12026,1558,64,94,1710,591,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701556,12519,96821,5754,4475,1133,70898,4757,21448,2934,134948,5896,13429,2264,113129,4977,8390,1866,180929,8112,73737,4528,96752,5653,10440,1774,123435,7122,90905,6447,26221,2646,6309,1390,99883,7224,89194,7092,5533,1236,5156,1126,65540,5144,61502,4992,552,290,3486,1210,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350717,8790,76673,4343,6779,1234,53548,3524,16346,2090,84023,4551,18236,2649,57529,3780,8258,1238,92603,5023,55482,3905,26554,3033,10567,1861,48368,4487,42279,4298,1987,627,4102,1008,32979,3410,28756,3365,558,306,3665,961,16071,1941,14304,1930,94,161,1673,540,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5027756,31936,591722,14946,38745,3917,445636,12762,107341,7235,814003,17704,72639,4985,708185,16023,33179,3106,1069645,18445,201420,8617,828224,15956,40001,3310,831792,15797,423412,10565,381795,13154,26585,3063,862235,14508,643105,13356,193632,9259,25498,3131,858359,20785,790118,19539,40789,3481,27452,3106,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,585342,11059,85520,4372,8741,1467,62824,3735,13955,2233,109038,5881,12343,1954,90799,5732,5896,1331,147063,6348,55293,4796,85153,4608,6617,1414,100261,5338,71321,4788,24762,2946,4178,890,88926,5722,77184,5119,8052,1712,3690,1081,54534,3951,50969,3931,510,320,3055,1000,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,403895,8863,64977,5132,8528,1573,45840,4831,10609,2172,68791,4933,13781,2272,51219,3888,3791,1072,83329,5445,23956,2998,55111,4360,4262,1115,63943,5105,40609,3933,20926,2735,2408,683,65294,4267,55155,4412,6637,1559,3502,1288,57561,4215,53685,4106,1344,539,2532,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87780,3942,10644,1676,742,357,8283,1579,1619,692,14758,1957,2460,797,11102,1703,1196,507,18957,2203,5921,1437,12286,1692,750,397,18212,2100,12223,1637,4720,1181,1269,520,15344,2006,13820,1888,717,499,807,315,9865,1596,8844,1591,155,253,866,561,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142695,3688,28937,2512,4101,1146,20213,2190,4623,1164,19691,2403,3284,926,16347,2327,60,102,26952,2822,8874,1744,17587,2356,491,314,20585,2684,13406,2157,6671,1412,508,269,23161,2190,18813,2071,4074,1060,274,254,23369,2413,21847,2367,1131,477,391,239,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2144851,23516,320169,11388,20574,2265,233461,9390,66134,5987,383491,9827,30639,3489,329467,9412,23385,3062,552484,14030,158219,7974,371775,12273,22490,2838,376962,12799,250664,10408,111962,7124,14336,1920,315496,10216,265215,9294,37259,3732,13022,2347,196249,8755,179040,8338,7155,1962,10054,1837,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
