GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001MA,B09010_001EA,B09010_002EA,B09010_002MA,B09010_003MA,B09010_003EA,B09010_004MA,B09010_004EA,B09010_005EA,B09010_005MA,B09010_006MA,B09010_006EA,B09010_007EA,B09010_007MA,B09010_008MA,B09010_008EA,B09010_009MA,B09010_009EA,B09010_010EA,B09010_010MA,B09010_011EA,B09010_011MA,B09010_012EA,B09010_012MA,B09010_013MA,B09010_013EA,state
0400000US01,1085708,1478,281584,9554,280208,9517,88311,7549,14867,3852,177030,9064,1376,649,804124,9941,799543,10100,602228,10362,47099,5017,150216,9961,4581,1434,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,187498,326,33711,4082,33370,4064,14903,3433,4831,1538,13636,2458,341,321,153787,4071,151712,4025,114468,4377,11256,1920,25988,3727,2075,1076,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1573888,1004,318021,14922,314864,14784,132975,11935,32040,6012,149849,13259,3157,1394,1255867,14962,1245918,15076,921780,17495,96707,9509,227431,12677,9949,2588,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,672334,1377,176680,8952,175512,8951,67354,7197,15476,3201,92682,7020,1168,679,495654,8864,490902,8969,372364,9968,29301,4214,89237,7118,4752,1487,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9655142,2156,1555605,37989,1541632,38231,694769,24834,136782,13912,710081,28191,13973,3205,8099537,37923,8046636,37607,6073826,40190,605788,22682,1367022,37704,52901,6334,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1176163,1418,147065,10934,145559,11046,57699,7822,16261,7072,71599,6176,1506,744,1029098,10786,1022486,10878,798169,14983,69639,6280,154678,9201,6612,2245,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,830890,808,99774,8329,98652,8289,21931,3689,5735,2226,70986,7904,1122,760,731116,8433,726728,8420,564435,8934,36264,4500,126029,6729,4388,1543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195463,352,28567,3581,28404,3560,9655,2212,2768,1197,15981,2476,163,232,166896,3671,165109,3726,118832,4429,11372,2301,34905,4230,1787,941,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,111539,97,40377,3844,40074,3825,3640,1254,3207,1845,33227,3987,303,412,71162,3856,70215,3892,35934,3127,6116,1766,28165,3650,947,723,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4046850,2220,753738,22773,746669,22420,275093,15804,52965,7564,418611,19512,7069,2305,3293112,22552,3255960,23651,2313611,21759,228958,11888,713391,19149,37152,6772,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2352675,2340,456462,15064,451413,14922,129799,11283,38658,7862,282956,12177,5049,2067,1896213,15050,1884677,14809,1396322,18890,108892,7704,379463,14388,11536,2535,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,298571,515,45802,5926,45484,5848,23132,4270,3124,1415,19228,3750,318,295,252769,5864,251887,5903,196003,7229,14958,3078,40926,4428,882,564,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372936,865,62686,5463,62078,5414,32685,4191,4561,1977,24832,3898,608,557,310250,5569,308009,5663,251482,6700,17575,2812,38952,4724,2241,713,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3231586,1774,565873,19787,560097,19779,184805,13252,39131,5875,336161,13947,5776,1855,2665713,19573,2653585,19607,2062953,19942,144522,7987,446110,17302,12128,2022,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1593016,1558,302240,13548,297956,13514,101083,9926,28420,4166,168453,11812,4284,1464,1290776,13533,1277256,13226,1004683,16606,82400,7571,190173,10020,13520,3017,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,667926,1122,118451,8598,117173,8550,47296,4991,12733,3617,57144,5737,1278,565,549475,8628,545783,8649,444047,8940,28971,3038,72765,5459,3692,1180,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,671447,1517,99585,6947,97070,6767,34636,4467,8778,2346,53656,4910,2515,1187,571862,7035,568721,7090,452630,8983,32977,3792,83114,6600,3141,916,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,976111,1751,253430,10490,250514,10444,109006,8340,19963,3382,121545,7729,2916,1636,722681,10225,715934,10372,564559,11093,37203,4350,114172,7532,6747,1843,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
