GEO_ID,B14001B_001E,B14001B_001M,B14001B_002E,B14001B_002M,B14001B_003E,B14001B_003M,B14001B_004E,B14001B_004M,B14001B_005E,B14001B_005M,B14001B_006E,B14001B_006M,B14001B_007E,B14001B_007M,NAME,B14001B_001MA,B14001B_001EA,B14001B_002MA,B14001B_002EA,B14001B_003EA,B14001B_003MA,B14001B_004EA,B14001B_004MA,B14001B_005MA,B14001B_005EA,B14001B_006MA,B14001B_006EA,B14001B_007MA,B14001B_007EA,state
0400000US01,1091535,5836,343301,6404,43588,3884,153881,4758,81729,3680,64103,4010,748234,7406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20929,849,8314,1128,1004,459,3888,448,1527,507,1895,834,12615,955,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172577,4543,60708,3945,4550,1174,26300,2154,13767,1576,16091,2415,111869,3764,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,393780,4764,139353,4960,15080,2346,62913,2662,34603,2502,26757,2940,254427,4401,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2067943,15404,750164,13377,76420,4913,305741,7427,175459,6818,192544,9274,1317779,12083,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,158715,3112,55165,3627,5001,1471,21436,1775,12221,1614,16507,2446,103550,3132,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,296212,4972,102012,4487,12032,2264,43240,2367,25942,2118,20798,3083,194200,5063,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,156220,1639,51721,2883,5827,1394,22510,1508,11794,1264,11590,2084,104499,2880,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,278458,2426,77471,2711,8810,1373,34683,1325,18543,1526,15435,2214,200987,3146,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2471059,12732,904322,14280,114582,7326,380357,8815,205377,5921,204006,8587,1566737,13404,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2432122,9611,833147,10059,105190,6555,354592,7196,188856,5298,184509,8429,1598975,12209,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,22987,1225,7539,1807,534,388,3086,917,852,447,3067,1279,15448,1641,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5264,1050,1550,780,453,432,780,470,121,174,196,166,3714,708,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1711442,8035,607641,9885,72131,5372,267570,5510,137380,4790,130560,7770,1103801,9508,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,497947,6092,173637,5258,19579,2822,80938,3593,35338,2733,37782,3608,324310,5330,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58859,2563,24604,2298,2857,890,10181,1268,5518,1066,6048,1290,34255,1777,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,139686,4502,49973,4691,6658,1682,21386,1984,10313,1241,11616,2268,89713,2819,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,278818,4609,93772,4557,12087,1797,39833,2645,21331,1717,20521,2823,185046,4281,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1346594,5855,458474,8479,65508,5208,204681,4623,102809,4318,85476,6860,888120,8540,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8317,967,3942,1358,264,220,1998,696,601,355,1079,772,4375,1110,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1489295,7301,499175,9506,51346,3892,203244,4893,113519,4373,131066,7629,990120,9729,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,341746,10348,128438,6266,11727,1952,50170,2985,30024,3150,36517,3510,213308,6782,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1313967,9745,472681,10448,42638,3565,207659,5001,117140,5288,105244,6221,841286,8247,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,189354,3932,78036,3510,9470,1556,32118,2185,18063,1862,18385,2822,111318,3703,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,978225,6854,334041,5869,50723,3600,147916,4366,77425,3020,57977,4486,644184,8018,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,594012,5727,198663,6257,22533,2536,85227,3451,47565,3132,43338,4252,395349,5303,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,3775,994,1452,558,47,76,680,473,102,87,623,381,2323,886,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,63803,2267,22323,2272,1871,633,9724,1669,5314,972,5414,1165,41480,1867,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,161117,3169,50135,2820,3465,1020,25232,2370,12330,1405,9108,2043,110982,3112,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,9785,947,3313,697,538,205,1236,378,647,324,892,398,6472,775,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1076573,8492,375150,8214,51776,4046,155108,4283,85956,3800,82310,5395,701423,7926,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,34432,2394,13365,2107,1213,976,4967,1023,3392,1206,3793,1271,21067,1815,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2722822,15329,916261,14936,101113,6178,374565,6021,216384,5520,224199,9487,1806561,12712,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1685916,8701,556599,9899,60990,4574,245100,5624,131260,4328,119249,6488,1129317,8831,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4364,614,1978,535,193,157,953,358,113,116,719,339,2386,414,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1220451,6981,407022,6758,44855,4160,179274,5440,97368,3542,85525,5014,813429,8360,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,230687,4720,81606,3772,10284,1702,31994,2516,20092,1749,19236,2617,149081,4546,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,55411,2268,19825,2131,2424,775,8568,1286,4135,1227,4698,1162,35586,2023,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1150089,8454,386276,7045,37222,3855,171275,5899,94229,3854,83550,5759,763813,8814,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
