GEO_ID,B18005_001E,B18005_001M,B18005_002E,B18005_002M,B18005_003E,B18005_003M,B18005_004E,B18005_004M,B18005_005E,B18005_005M,B18005_006E,B18005_006M,B18005_007E,B18005_007M,B18005_008E,B18005_008M,B18005_009E,B18005_009M,B18005_010E,B18005_010M,B18005_011E,B18005_011M,B18005_012E,B18005_012M,B18005_013E,B18005_013M,B18005_014E,B18005_014M,B18005_015E,B18005_015M,B18005_016E,B18005_016M,B18005_017E,B18005_017M,B18005_018E,B18005_018M,B18005_019E,B18005_019M,B18005_020E,B18005_020M,B18005_021E,B18005_021M,B18005_022E,B18005_022M,B18005_023E,B18005_023M,B18005_024E,B18005_024M,B18005_025E,B18005_025M,B18005_026E,B18005_026M,B18005_027E,B18005_027M,B18005_028E,B18005_028M,B18005_029E,B18005_029M,B18005_030E,B18005_030M,B18005_031E,B18005_031M,B18005_032E,B18005_032M,B18005_033E,B18005_033M,NAME,B18005_001EA,B18005_001MA,B18005_002MA,B18005_002EA,B18005_003MA,B18005_003EA,B18005_004MA,B18005_004EA,B18005_005EA,B18005_005MA,B18005_006EA,B18005_006MA,B18005_007MA,B18005_007EA,B18005_008MA,B18005_008EA,B18005_009MA,B18005_009EA,B18005_010MA,B18005_010EA,B18005_011EA,B18005_011MA,B18005_012EA,B18005_012MA,B18005_013MA,B18005_013EA,B18005_014MA,B18005_014EA,B18005_015MA,B18005_015EA,B18005_016EA,B18005_016MA,B18005_017EA,B18005_017MA,B18005_018MA,B18005_018EA,B18005_019MA,B18005_019EA,B18005_020MA,B18005_020EA,B18005_021MA,B18005_021EA,B18005_022EA,B18005_022MA,B18005_023EA,B18005_023MA,B18005_024MA,B18005_024EA,B18005_025MA,B18005_025EA,B18005_026MA,B18005_026EA,B18005_027MA,B18005_027EA,B18005_028MA,B18005_028EA,B18005_029EA,B18005_029MA,B18005_030EA,B18005_030MA,B18005_031EA,B18005_031MA,B18005_032MA,B18005_032EA,B18005_033MA,B18005_033EA,state
0400000US01,4138008,2743,1985377,3577,344584,3584,31014,3212,313570,4809,154451,4947,11227,1791,143224,4861,1246279,4903,84744,5280,1161535,6182,146565,1667,14637,1387,131928,2042,93498,1411,19454,1721,74044,1969,2152631,3095,326564,4140,13475,2068,313089,4163,145227,4698,5209,1121,140018,4848,1348219,3736,79749,4290,1268470,5580,178667,1398,20271,2061,158396,2446,153954,1160,34958,2513,118996,2659,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,585263,1500,294238,1780,59085,1345,3840,1033,55245,1670,27122,1748,1714,604,25408,1696,187956,2081,9090,1499,178866,2425,13670,705,716,315,12954,727,6405,489,1516,402,4889,643,291025,1333,57032,1004,1145,471,55887,1097,25619,1545,1624,572,23995,1574,186293,1536,9498,1531,176795,2243,12732,630,780,315,11952,723,9349,651,2202,521,7147,678,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5353112,2692,2652373,3198,488324,3647,30965,2878,457359,4238,193224,4655,8408,1646,184816,4759,1640167,4257,67528,4438,1572639,6275,192897,1246,11485,1371,181412,1739,137761,1100,19292,2010,118469,2083,2700739,2374,461564,3483,15225,2208,446339,3678,188009,4855,7841,1517,180168,5189,1646427,3297,69803,4494,1576624,5942,214327,1346,12354,1663,201973,1909,190412,1145,29352,2371,161060,2501,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2509749,2279,1216384,3102,208333,2776,20954,1889,187379,3108,100146,3917,7372,1433,92774,4124,751601,3397,51066,4102,700535,5394,95103,1317,10356,1312,84747,1554,61201,1053,11677,1235,49524,1472,1293365,2646,199551,2571,10834,1474,188717,2887,89849,3787,4203,910,85646,3790,796628,3182,55043,3716,741585,5104,111721,1186,11499,1473,100222,1658,95616,792,20567,1793,75049,2049,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32519278,5861,16051457,6675,3023266,8363,142400,6767,2880866,10760,1252948,14043,54494,5061,1198454,14670,10180163,10416,345362,12605,9834801,17104,894914,2596,68203,3944,826711,4511,700166,1690,110299,4836,589867,5093,16467821,4123,2888601,8950,75820,4864,2812781,9861,1205889,13406,33281,3820,1172608,12469,10267307,10518,410321,10233,9856986,13986,1047029,2656,83071,4106,963958,4637,1058995,1916,204738,5632,854257,5789,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4209520,2453,2100210,3577,361930,3290,18474,1894,343456,3612,151306,4137,7544,1619,143762,3860,1392652,4168,47276,4031,1345376,5674,116234,1465,6744,1290,109490,1945,78088,1097,9508,1106,68580,1316,2109310,2739,351189,3375,9120,1317,342069,3667,137337,4594,3687,989,133650,4480,1372209,3657,50797,3400,1321412,5225,128662,1472,7648,1074,121014,1543,119913,1345,18565,1993,101348,2239,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3179291,1237,1533577,1821,265727,2426,15725,2088,250002,3189,108940,3511,5898,1202,103042,3706,974960,2898,33298,2793,941662,3769,94525,892,4511,828,90014,1055,89425,552,10008,1548,79417,1730,1645714,1325,255547,2278,9231,2238,246316,3310,98561,3249,4083,1033,94478,3267,1032977,2639,33657,2822,999320,3921,116756,760,5384,1306,111372,1540,141873,716,18431,1995,123442,2181,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,760844,915,366976,953,60428,912,5656,1140,54772,1406,25690,1789,1315,493,24375,1857,233876,1507,8692,1609,225184,2356,27357,551,1666,660,25691,798,19625,527,2470,714,17155,746,393868,752,58355,1170,2241,709,56114,1434,25525,2370,691,350,24834,2543,250179,2076,9598,1604,240581,2498,31199,518,1415,470,29784,735,28610,368,3144,688,25466,737,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,476235,659,222414,661,31751,621,2964,688,28787,929,10245,1286,812,465,9433,1357,155754,982,5616,1255,150138,1497,13869,379,1092,525,12777,603,10795,383,1825,603,8970,645,253821,578,32322,851,1105,775,31217,1178,7734,781,680,377,7054,802,175935,674,7066,1400,168869,1412,18040,353,1362,545,16678,634,19790,448,3141,679,16649,818,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16223530,5165,7859690,8230,1259321,6192,87188,5790,1172133,8211,558293,8504,28711,2893,529582,8786,4767373,8306,211081,7955,4556292,12217,693610,2342,43859,3637,649751,4033,581093,2510,77815,4497,503278,4536,8363840,6175,1203951,6010,42462,3462,1161489,6554,527425,8299,18484,2332,508941,8915,5025954,7712,227383,7628,4798571,11635,795650,2205,51050,3392,744600,3749,810860,2114,131102,5604,679758,5645,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8094915,4412,3941892,6200,721328,5120,41863,3529,679465,5945,300678,7799,16146,2393,284532,7749,2578692,7220,109903,6189,2468789,9589,222855,3132,18616,1873,204239,3538,118339,2039,21090,1953,97249,2777,4153023,5229,688010,5570,22186,2523,665824,5765,288725,7788,9796,1640,278929,7716,2705979,7451,118843,6551,2587136,9216,260697,2459,24181,2146,236516,3227,209612,2772,50349,3044,159263,3252,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1126390,2568,546836,2346,90778,1295,2739,794,88039,1456,38661,1930,1734,741,36927,1870,346970,2371,12527,1800,334443,2653,35396,657,2534,834,32862,1000,35031,349,5043,866,29988,824,579554,1848,85665,1360,2583,966,83082,1462,35186,1978,422,277,34764,1960,360235,2194,9555,1525,350680,2682,41897,408,1850,576,40047,663,56571,523,9806,1352,46765,1495,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1286091,1388,637323,1903,115611,1859,8058,1613,107553,2320,52583,3098,3128,1380,49455,3241,397708,2579,20622,2269,377086,3406,41948,647,3393,1045,38555,1194,29473,541,4801,759,24672,855,648768,1758,108336,1615,4245,930,104091,1846,52070,2272,2301,784,49769,2159,403063,2423,19531,2328,383532,3041,44346,697,2774,585,41572,856,40953,552,7132,1188,33821,1270,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
