GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001EA,B12002B_001MA,B12002B_002MA,B12002B_002EA,B12002B_003EA,B12002B_003MA,B12002B_004MA,B12002B_004EA,B12002B_005MA,B12002B_005EA,B12002B_006EA,B12002B_006MA,B12002B_007EA,B12002B_007MA,B12002B_008MA,B12002B_008EA,B12002B_009MA,B12002B_009EA,B12002B_010MA,B12002B_010EA,B12002B_011EA,B12002B_011MA,B12002B_012EA,B12002B_012MA,B12002B_013MA,B12002B_013EA,state
0400000US01,860962,3590,378297,2623,158142,4888,152777,5237,15498,2406,13607,1987,38273,3427,482665,2527,186372,5841,143160,5419,28251,3142,55349,3074,69533,4313,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15036,695,7527,545,2675,815,4105,875,133,159,46,85,568,373,7509,605,2555,766,3239,778,532,446,256,217,927,537,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,134740,3004,69573,1751,26787,2436,31659,2674,1305,555,1322,474,8500,1382,65167,2188,23863,2245,23570,2244,2838,1109,4601,1105,10295,1915,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,304537,3434,134302,2182,56442,2980,50829,3428,6376,1405,5088,915,15567,2135,170235,2313,68418,3825,49059,2996,10680,1780,17562,1544,24516,2542,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1616424,8929,749255,5809,325779,7916,293556,7527,22679,2934,22302,3095,84939,5197,867169,5508,369960,7375,245048,8076,44204,3723,74882,4176,133075,7276,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,124884,2027,62393,1899,24033,2407,28547,2387,1649,719,1074,584,7090,1492,62491,1850,23951,2695,21744,2914,3350,1233,4422,1230,9024,1820,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,231443,3404,102762,2432,43426,2584,44147,2733,3246,897,1754,804,10189,1894,128681,1865,58837,3294,35927,2808,7217,2043,10723,1523,15977,2106,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,121950,1290,54838,1044,23187,1694,24399,1962,972,579,1340,585,4940,1139,67112,701,27579,2021,21014,2243,3879,1171,5801,876,8839,1556,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,225875,1995,98151,1401,49679,2639,28932,2357,5122,1313,4562,897,9856,1667,127724,963,59875,2703,28389,2457,6071,1096,18655,1739,14734,1749,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1900422,8684,863996,5982,367768,8498,354942,7685,33927,4268,23455,2433,83904,5712,1036426,5758,427180,8576,325516,7506,57376,4305,85649,4835,140705,6007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1906333,7735,854209,5467,366919,8487,354241,7618,31208,3550,20381,2742,81460,5163,1052124,4818,438992,8680,323725,8584,55317,5191,87627,4593,146463,6179,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
