C24070_050M,C24070_051E,C24070_051M,C24070_052E,C24070_052M,C24070_053E,C24070_053M,C24070_054E,C24070_054M,C24070_055E,C24070_055M,C24070_056E,C24070_056M,C24070_057E,C24070_057M,C24070_058E,C24070_058M,C24070_059E,C24070_059M,C24070_060E,C24070_060M,C24070_061E,C24070_061M,C24070_062E,C24070_062M,C24070_063E,C24070_063M,C24070_064E,C24070_064M,C24070_065E,C24070_065M,C24070_066E,C24070_066M,C24070_067E,C24070_067M,C24070_068E,C24070_068M,C24070_069E,C24070_069M,C24070_070E,C24070_070M,C24070_071E,C24070_071M,C24070_072E,C24070_072M,C24070_073E,C24070_073M,C24070_074E,C24070_074M,C24070_075E,C24070_075M,C24070_076E,C24070_076M,C24070_077E,C24070_077M,C24070_078E,C24070_078M,C24070_079E,C24070_079M,C24070_080E,C24070_080M,C24070_081E,C24070_081M,C24070_082E,C24070_082M,C24070_083E,C24070_083M,C24070_084E,C24070_084M,GEO_ID,C24070_001E,C24070_001M,C24070_002E,C24070_002M,C24070_003E,C24070_003M,C24070_004E,C24070_004M,C24070_005E,C24070_005M,C24070_006E,C24070_006M,C24070_007E,C24070_007M,C24070_008E,C24070_008M,C24070_009E,C24070_009M,C24070_010E,C24070_010M,C24070_011E,C24070_011M,C24070_012E,C24070_012M,C24070_013E,C24070_013M,C24070_014E,C24070_014M,C24070_015E,C24070_015M,C24070_016E,C24070_016M,C24070_017E,C24070_017M,C24070_018E,C24070_018M,C24070_019E,C24070_019M,C24070_020E,C24070_020M,C24070_021E,C24070_021M,C24070_022E,C24070_022M,C24070_023E,C24070_023M,C24070_024E,C24070_024M,C24070_025E,C24070_025M,C24070_026E,C24070_026M,C24070_027E,C24070_027M,C24070_028E,C24070_028M,C24070_029E,C24070_029M,C24070_030E,C24070_030M,C24070_031E,C24070_031M,C24070_032E,C24070_032M,C24070_033E,C24070_033M,C24070_034E,C24070_034M,C24070_035E,C24070_035M,C24070_036E,C24070_036M,C24070_037E,C24070_037M,C24070_038E,C24070_038M,C24070_039E,C24070_039M,C24070_040E,C24070_040M,C24070_041E,C24070_041M,C24070_042E,C24070_042M,C24070_043E,C24070_043M,C24070_044E,C24070_044M,C24070_045E,C24070_045M,C24070_046E,C24070_046M,C24070_047E,C24070_047M,C24070_048E,C24070_048M,C24070_049E,C24070_049M,C24070_050E,C24070_050MA,C24070_051MA,C24070_051EA,C24070_052MA,C24070_052EA,C24070_053MA,C24070_053EA,C24070_054EA,C24070_054MA,C24070_055EA,C24070_055MA,C24070_056EA,C24070_056MA,C24070_057MA,C24070_057EA,C24070_058MA,C24070_058EA,C24070_059EA,C24070_059MA,C24070_060EA,C24070_060MA,C24070_061EA,C24070_061MA,C24070_062MA,C24070_062EA,C24070_063MA,C24070_063EA,C24070_064MA,C24070_064EA,C24070_065EA,C24070_065MA,C24070_066EA,C24070_066MA,C24070_067EA,C24070_067MA,C24070_068MA,C24070_068EA,C24070_069MA,C24070_069EA,C24070_070EA,C24070_070MA,C24070_071EA,C24070_071MA,C24070_072EA,C24070_072MA,C24070_073MA,C24070_073EA,C24070_074MA,C24070_074EA,C24070_075EA,C24070_075MA,C24070_076EA,C24070_076MA,C24070_077EA,C24070_077MA,C24070_078MA,C24070_078EA,C24070_079MA,C24070_079EA,C24070_080EA,C24070_080MA,C24070_081EA,C24070_081MA,C24070_082EA,C24070_082MA,C24070_083MA,C24070_083EA,C24070_084MA,C24070_084EA,NAME,C24070_001MA,C24070_001EA,C24070_002MA,C24070_002EA,C24070_003MA,C24070_003EA,C24070_004EA,C24070_004MA,C24070_005EA,C24070_005MA,C24070_006EA,C24070_006MA,C24070_007MA,C24070_007EA,C24070_008MA,C24070_008EA,C24070_009MA,C24070_009EA,C24070_010EA,C24070_010MA,C24070_011EA,C24070_011MA,C24070_012EA,C24070_012MA,C24070_013MA,C24070_013EA,C24070_014MA,C24070_014EA,C24070_015EA,C24070_015MA,C24070_016EA,C24070_016MA,C24070_017EA,C24070_017MA,C24070_018MA,C24070_018EA,C24070_019MA,C24070_019EA,C24070_020EA,C24070_020MA,C24070_021EA,C24070_021MA,C24070_022EA,C24070_022MA,C24070_023MA,C24070_023EA,C24070_024MA,C24070_024EA,C24070_025EA,C24070_025MA,C24070_026EA,C24070_026MA,C24070_027EA,C24070_027MA,C24070_028MA,C24070_028EA,C24070_029MA,C24070_029EA,C24070_030EA,C24070_030MA,C24070_031EA,C24070_031MA,C24070_032EA,C24070_032MA,C24070_033MA,C24070_033EA,C24070_034MA,C24070_034EA,C24070_035EA,C24070_035MA,C24070_036EA,C24070_036MA,C24070_037EA,C24070_037MA,C24070_038MA,C24070_038EA,C24070_039MA,C24070_039EA,C24070_040EA,C24070_040MA,C24070_041EA,C24070_041MA,C24070_042EA,C24070_042MA,C24070_043MA,C24070_043EA,C24070_044MA,C24070_044EA,C24070_045MA,C24070_045EA,C24070_046MA,C24070_046EA,C24070_047MA,C24070_047EA,C24070_048EA,C24070_048MA,C24070_049EA,C24070_049MA,C24070_050EA,state
395,5060,1428,3229,980,64180,4290,5692,1768,30900,2805,0,270,304643,10062,711,385,7235,1385,2340,697,325,336,1645,623,21019,2291,1535,659,4645,1510,6643,1540,151504,6736,5795,1225,711,487,100535,4866,131618,6077,8917,1429,29598,2817,4582,931,3565,961,12683,1954,6618,1242,839,355,8294,1394,19462,2476,9945,1854,4860,1095,22255,2672,0,270,0400000US01,1984267,15275,37403,4599,151318,7325,313319,9296,75863,4962,251626,8838,106688,5717,35278,2927,121709,5406,149205,5744,399603,10329,145008,7648,96712,5545,100535,4866,1365594,17071,25259,3992,102403,6792,299669,9179,66777,4841,225910,8301,74740,5059,32181,2824,98490,4723,110268,4918,166527,7255,124555,7888,38815,3967,0,270,63602,4058,2206,618,11414,1975,4714,1700,3690,963,8921,1782,2163,870,87,121,5220,1125,9603,1544,7447,1342,4106,1397,4031,1183,0,270,118810,7198,310,263,668,359,2014,472,1506,835,2467,1014,2148,728,636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
259,1588,683,497,292,15944,1932,535,236,8006,1574,0,233,78972,4104,1307,503,2229,651,355,418,36,60,519,264,5895,941,426,247,1001,350,1190,583,29991,2584,1610,632,215,140,34198,3213,26279,2516,2046,657,4651,1036,648,450,453,316,2078,666,1496,466,327,232,2325,969,3822,736,2964,893,2240,750,3229,1055,0,233,0400000US02,302307,5308,11119,1646,29384,2639,6680,1322,6457,1361,36867,3307,25942,2491,7990,1450,14452,2010,22672,2207,65515,3471,25051,2118,15980,2139,34198,3213,156245,5130,6510,1117,19624,2284,5386,1144,5249,1175,32895,3146,16092,2116,6893,1347,8912,1429,15709,2104,15719,1859,19295,1883,3961,798,0,233,10180,1783,675,563,2143,761,275,264,610,425,590,423,897,606,73,87,626,506,1454,538,897,467,1371,563,569,376,0,233,30631,2744,581,379,737,350,16,28,109,139,785,359,1562,595,271,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
376,4067,931,6562,1594,75637,5434,8201,2048,28702,2826,0,291,392246,10950,1677,736,7135,1588,893,535,235,228,1041,451,23836,2381,2750,687,3196,1016,6103,1170,186074,7464,15285,2312,723,562,143298,6677,172456,7590,3115,861,25689,2580,4353,1174,4571,1062,14907,3011,5442,1327,2496,958,21249,2820,38701,3273,17621,2672,12462,2076,21850,2976,0,291,0400000US04,2629872,15924,31517,3688,276474,9641,216832,8089,87047,6719,317997,11097,123780,5587,49357,3954,226502,9004,280717,10459,493207,12142,265373,11119,117771,6905,143298,6677,1819181,16908,24096,3493,222730,9073,202471,7940,76588,6537,287082,10402,88116,4970,42184,3728,183050,7678,207012,8879,202426,8539,222264,11078,61162,4676,0,291,103726,6166,1368,592,17079,2602,4927,923,4685,1340,10028,1668,3034,1112,1382,596,14940,2489,22339,2751,11449,2110,7161,1660,5334,1494,0,291,142263,7380,1261,705,3841,1151,4188,1917,968,599,4939,1576,3352,775,545,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
316,1676,558,1769,605,49339,3614,3000,1059,20472,2311,0,260,199207,6282,1087,519,7142,1326,1724,653,50,82,352,227,13723,1984,1670,1244,2876,1045,3455,1073,110172,5075,2856,859,455,280,53645,3630,95571,4384,11528,1578,22596,2252,2953,898,1276,569,7626,1448,3606,1060,701,593,4615,1097,13892,2106,5284,1020,5409,1167,16085,2070,0,260,0400000US05,1232278,11901,39341,2809,97374,5536,197229,7283,43554,4046,157312,6469,74186,4370,22457,2913,65245,3506,76715,4723,260040,7364,84497,5705,60683,3874,53645,3630,809589,11486,23820,2280,58289,4020,188335,7248,39954,3932,142776,6305,51718,3732,19256,2452,51738,3031,51651,3979,91136,4753,70752,5277,20164,2211,0,260,43881,3506,2661,725,7788,1540,2014,712,2089,838,5376,1059,3168,819,401,224,4340,1047,5948,1244,4109,1105,2480,1100,3507,1104,0,260,84030,4731,245,212,1559,887,2203,698,185,197,1182,549,1971,643,429,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1930,41984,3960,52953,4503,525169,13795,41325,3646,195102,7588,0,293,2262445,25476,10256,2064,33016,3240,7808,1667,1320,635,8179,1510,173054,9058,17200,2493,29298,3466,53813,4217,1151513,19770,48211,4222,5554,1589,723223,18551,1483456,22607,34555,3214,213941,9290,51270,4362,38652,3631,128495,6741,45253,5086,27949,3226,138402,6620,327313,9279,165054,6776,111818,7215,200754,8979,0,293,0400000US06,16008544,36742,297177,11885,1257180,21151,1793833,30006,636007,18609,1791422,28541,730274,17336,479011,13410,1215715,19692,1889224,25633,2982972,26703,1395401,24753,817105,19485,723223,18551,10776332,39615,236743,10490,930789,19578,1676063,29749,553825,17861,1575369,26526,484397,11954,408162,12248,940305,17039,1337205,23509,1086506,20034,1157122,22204,389846,14082,0,293,534467,14938,8387,1439,66243,4871,36258,3517,33861,3413,57320,4821,15725,1880,15503,2508,65726,4628,117940,5700,54730,4469,36925,4395,25849,3027,0,293,951844,20323,7236,1952,13191,2153,22434,3016,8349,1626,22059,2643,11845,2194,10197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
586,6967,1774,7273,1585,81426,4752,10732,2383,34693,3073,0,274,324760,9954,3214,964,5976,1208,834,408,0,274,1676,618,27662,2984,3293,778,3574,1261,6999,1640,157852,7460,10475,1692,475,273,102730,5582,187638,7926,11878,1847,33877,2939,4408,965,4710,1496,12572,1734,5477,1360,2386,652,20824,2648,33914,2879,21930,2975,12112,2279,23550,2529,0,274,0400000US08,2333593,13197,46793,3876,217836,7228,178455,6830,79912,4700,269378,8131,110982,6142,81543,4947,183930,6777,297687,9487,418533,11638,230319,10086,115495,6238,102730,5582,1537386,16862,28755,2949,150894,6998,165880,6878,68006,4250,240493,8357,70053,4727,72115,5043,137346,5629,218475,7982,147813,6347,188071,8253,49485,4356,0,274,127729,6370,2741,853,24883,2876,5949,1233,5711,1160,11201,1599,3377,948,1889,744,15219,1971,31026,3165,9512,1480,8929,2728,7292,1436,0,274,156080,7042,205,174,2206,791,1384,563,1485,1020,3436,995,4413,1033,1860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
652,4004,1208,4827,1652,101161,5527,6983,1337,24238,2510,0,274,220663,8861,129,151,3961,1051,1669,606,81,132,284,203,17186,2141,3394,898,1789,570,2636,809,116683,6179,4867,1118,100,116,67884,4627,128400,6458,2387,1206,25427,3137,3382,931,3223,1191,8172,1355,2748,955,1828,944,14427,2571,30247,2926,16211,2371,8505,1777,11843,1519,0,274,0400000US09,1703428,11632,7236,1823,114479,6472,216788,7910,55228,4361,185822,7490,65273,4487,49789,3522,176993,6932,175240,7093,388332,8532,125834,5417,74530,4085,67884,4627,1140381,14140,4282,1117,71747,5332,204785,7442,48846,3940,168781,7421,42949,3438,41661,3505,150296,6351,123385,6066,147160,5727,101573,5432,34916,3076,0,274,64037,3781,239,170,12499,1860,4605,1123,3006,815,6600,1341,1130,447,880,467,6477,1150,14145,1780,7117,1491,3906,982,3433,876,0,274,149947,6599,199,193,845,424,2347,796,72,98,1985,577,1260,633,2026,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
262,1083,546,581,289,19450,2560,1969,808,5151,1157,0,262,54231,3881,45,72,856,356,212,166,59,95,112,139,3388,890,327,214,256,189,800,361,26112,2664,787,313,217,215,21060,2268,23381,2848,1969,856,4906,1300,355,251,840,643,1338,540,724,454,479,316,2262,808,3990,1144,2498,687,987,389,3033,851,0,262,0400000US10,405078,5381,5825,1425,32759,2741,43573,2946,13475,1728,45268,3588,18984,2114,6396,1092,43101,3363,39916,3691,87270,5176,28545,2848,18906,2173,21060,2268,280239,6107,3092,955,23988,2302,41461,2951,11903,1727,41546,3399,13495,1744,5117,1041,37889,2949,31532,3339,37032,2950,23730,2298,9454,1578,0,262,15387,1961,215,154,2783,750,435,265,599,350,1401,504,928,498,101,118,1611,632,3013,891,2178,678,1072,632,1051,551,0,262,31840,3311,504,366,226,274,1110,594,74,95,871,585,449,336,372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
640,1504,614,6023,1188,14516,1796,1588,582,17606,2081,0,286,67723,3896,87,102,455,359,535,445,0,286,513,420,2245,646,1754,705,1583,602,3521,1638,14146,1762,2704,941,0,286,40180,3288,15661,2178,0,286,1370,691,56,93,53,91,646,441,776,590,547,348,1675,682,5752,1245,2143,826,1571,595,1072,531,0,286,0400000US11,255385,4277,166,140,9338,1735,4172,1119,1481,548,11550,1590,8351,1172,12914,1745,18176,2245,55558,3435,49450,3414,22770,2583,21279,2268,40180,3288,120656,4704,79,93,6887,1688,3081,939,1353,531,9209,1416,4488,919,8740,1456,12347,1784,37584,3501,17926,2220,16611,2288,2351,851,0,286,6409,1164,0,286,283,236,58,95,75,90,379,296,277,248,327,319,1067,464,2678,739,719,450,296,208,250,204,0,286,44936,3445,0,286,343,306,442,430,0,286,803,678,565,503,1546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
743,22251,2915,16383,2228,245334,8759,20297,2460,98739,4600,0,301,1013776,18327,1850,835,17491,2801,3204,953,427,440,4354,1327,85862,5107,9961,1734,8883,1610,23523,3496,457265,13088,24008,3013,2212,933,374736,11833,524977,13820,11483,2325,80962,6156,13607,1958,15797,2802,39131,3929,22442,2690,6129,1306,66318,4260,112481,5948,40676,3217,32038,4193,83913,5716,0,301,0400000US12,7896650,27718,81018,7031,804994,19768,488255,12145,302731,12180,1006750,19777,401970,11208,193328,8390,685107,12727,900695,15691,1436783,19172,824239,21594,396044,13465,374736,11833,5410379,34489,61947,6530,590024,16336,443184,11712,257006,11371,898626,18577,266880,9096,168130,7970,532166,11862,643432,14846,655878,14832,715992,18990,177114,9014,0,301,505070,14288,4496,1205,110505,5562,20782,2452,26410,3103,51385,4481,20868,3237,6659,1235,55489,3961,104876,5687,37630,3260,31904,4166,34066,3995,0,301,442448,12182,1242,502,6012,1775,7478,1944,3091,1313,13254,1991,5918,1396,2449,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
