GEO_ID,B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,NAME,B11001F_001MA,B11001F_001EA,B11001F_002MA,B11001F_002EA,B11001F_003MA,B11001F_003EA,B11001F_004MA,B11001F_004EA,B11001F_005EA,B11001F_005MA,B11001F_006EA,B11001F_006MA,B11001F_007EA,B11001F_007MA,B11001F_008MA,B11001F_008EA,B11001F_009MA,B11001F_009EA,state
0400000US01,9120,1468,7219,1328,5408,1227,1811,582,984,420,827,415,1901,602,670,351,1231,510,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3059,757,2219,616,1636,562,583,351,130,208,453,339,840,455,559,396,281,236,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,184829,6213,149908,5793,94812,5434,55096,4471,16893,2681,38203,3442,34921,3819,24712,3164,10209,1851,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15473,2118,13074,2012,8309,1616,4765,1296,2403,869,2362,997,2399,871,1012,484,1387,671,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1458187,20878,1225440,19423,785260,14865,440180,12769,167161,8913,273019,9294,232747,8979,160295,7217,72452,5129,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,97562,4540,72843,4209,48440,3270,24403,2876,8926,1945,15477,2221,24719,3943,18014,3122,6705,1988,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47709,3286,35900,2881,18274,2024,17626,2561,4510,1375,13116,2135,11809,2476,9030,2214,2779,894,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3701,909,3511,882,2161,669,1350,598,446,256,904,502,190,163,76,93,114,136,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9950,1233,6458,1049,3477,1043,2981,900,1868,694,1113,548,3492,1085,2736,1021,756,496,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214369,7726,165639,7104,100945,5807,64694,5843,22420,3402,42274,4282,48730,4742,29540,3473,19190,3146,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
