GEO_ID,B25003G_001E,B25003G_001M,B25003G_002E,B25003G_002M,B25003G_003E,B25003G_003M,NAME,B25003G_001MA,B25003G_001EA,B25003G_002MA,B25003G_002EA,B25003G_003MA,B25003G_003EA,state
0400000US01,16382,1899,10710,1339,5672,1338,Alabama,null,null,null,null,null,null,01
0400000US02,10526,1503,4781,908,5745,1096,Alaska,null,null,null,null,null,null,02
0400000US04,29438,2422,16491,1703,12947,2019,Arizona,null,null,null,null,null,null,04
0400000US05,11161,1526,7370,1212,3791,1041,Arkansas,null,null,null,null,null,null,05
0400000US06,239780,7835,120669,5386,119111,6225,California,null,null,null,null,null,null,06
0400000US08,28032,2589,16350,1840,11682,2074,Colorado,null,null,null,null,null,null,08
0400000US09,13854,1893,6373,1041,7481,1557,Connecticut,null,null,null,null,null,null,09
0400000US10,2740,556,1712,470,1028,386,Delaware,null,null,null,null,null,null,10
0400000US11,3243,1027,1343,508,1900,843,District of Columbia,null,null,null,null,null,null,11
0400000US12,79048,4612,49958,3778,29090,3631,Florida,null,null,null,null,null,null,12
0400000US13,31369,3374,17604,2332,13765,2384,Georgia,null,null,null,null,null,null,13
0400000US15,55963,3563,29390,2541,26573,2644,Hawaii,null,null,null,null,null,null,15
0400000US16,7304,1570,3150,854,4154,1294,Idaho,null,null,null,null,null,null,16
0400000US17,42065,3027,22672,2160,19393,2565,Illinois,null,null,null,null,null,null,17
0400000US18,22555,2199,13114,1722,9441,1687,Indiana,null,null,null,null,null,null,18
0400000US19,8003,1364,4131,885,3872,1015,Iowa,null,null,null,null,null,null,19
0400000US20,14954,1489,7889,1187,7065,1171,Kansas,null,null,null,null,null,null,20
0400000US21,11684,1664,6690,1071,4994,1324,Kentucky,null,null,null,null,null,null,21
0400000US22,14188,1914,8432,1285,5756,1397,Louisiana,null,null,null,null,null,null,22
0400000US23,5078,912,2593,582,2485,662,Maine,null,null,null,null,null,null,23
0400000US24,23400,2745,12564,1495,10836,2285,Maryland,null,null,null,null,null,null,24
0400000US25,21264,2285,9002,1545,12262,1846,Massachusetts,null,null,null,null,null,null,25
0400000US26,38975,2659,24058,2282,14917,2072,Michigan,null,null,null,null,null,null,26
0400000US27,14491,1705,8730,1140,5761,1313,Minnesota,null,null,null,null,null,null,27
0400000US28,7133,1668,5451,1628,1682,746,Mississippi,null,null,null,null,null,null,28
0400000US29,24564,1938,14210,1575,10354,1485,Missouri,null,null,null,null,null,null,29
0400000US30,4176,744,2246,571,1930,563,Montana,null,null,null,null,null,null,30
0400000US31,5216,1068,2268,698,2948,870,Nebraska,null,null,null,null,null,null,31
0400000US32,15973,1990,7313,1345,8660,1580,Nevada,null,null,null,null,null,null,32
0400000US33,3157,756,2257,669,900,431,New Hampshire,null,null,null,null,null,null,33
0400000US34,28542,3265,13773,1663,14769,2744,New Jersey,null,null,null,null,null,null,34
0400000US35,14230,1962,8959,1377,5271,1507,New Mexico,null,null,null,null,null,null,35
0400000US36,75905,4711,27442,2334,48463,4076,New York,null,null,null,null,null,null,36
0400000US37,33643,2983,16245,2121,17398,2599,North Carolina,null,null,null,null,null,null,37
0400000US38,1411,555,522,260,889,514,North Dakota,null,null,null,null,null,null,38
0400000US39,42200,3810,20005,2046,22195,3125,Ohio,null,null,null,null,null,null,39
0400000US40,64386,3456,38247,2600,26139,2764,Oklahoma,null,null,null,null,null,null,40
0400000US41,27680,2403,12979,1537,14701,1977,Oregon,null,null,null,null,null,null,41
0400000US42,30416,2045,14223,1691,16193,1765,Pennsylvania,null,null,null,null,null,null,42
0400000US44,4109,1047,1301,490,2808,900,Rhode Island,null,null,null,null,null,null,44
0400000US45,12517,2057,7772,1559,4745,1390,South Carolina,null,null,null,null,null,null,45
0400000US46,2285,673,1206,390,1079,481,South Dakota,null,null,null,null,null,null,46
0400000US47,18994,2480,11398,1747,7596,1574,Tennessee,null,null,null,null,null,null,47
0400000US48,94441,4981,53865,3110,40576,3754,Texas,null,null,null,null,null,null,48
0400000US49,6380,1161,4157,901,2223,710,Utah,null,null,null,null,null,null,49
0400000US50,3216,500,1867,421,1349,357,Vermont,null,null,null,null,null,null,50
0400000US51,31658,3438,17448,2133,14210,2792,Virginia,null,null,null,null,null,null,51
0400000US53,55152,3892,26890,2705,28262,2789,Washington,null,null,null,null,null,null,53
0400000US54,5335,790,3868,701,1467,506,West Virginia,null,null,null,null,null,null,54
0400000US55,14196,1523,7314,1116,6882,1400,Wisconsin,null,null,null,null,null,null,55
0400000US56,2470,619,1211,469,1259,611,Wyoming,null,null,null,null,null,null,56
0400000US72,58686,3577,39276,3007,19410,2068,Puerto Rico,null,null,null,null,null,null,72
