GEO_ID,B16002_001E,B16002_001M,B16002_002E,B16002_002M,B16002_003E,B16002_003M,B16002_004E,B16002_004M,B16002_005E,B16002_005M,B16002_006E,B16002_006M,B16002_007E,B16002_007M,B16002_008E,B16002_008M,B16002_009E,B16002_009M,B16002_010E,B16002_010M,B16002_011E,B16002_011M,B16002_012E,B16002_012M,B16002_013E,B16002_013M,B16002_014E,B16002_014M,NAME,B16002_001EA,B16002_001MA,B16002_002EA,B16002_002MA,B16002_003MA,B16002_003EA,B16002_004MA,B16002_004EA,B16002_005MA,B16002_005EA,B16002_006EA,B16002_006MA,B16002_007EA,B16002_007MA,B16002_008EA,B16002_008MA,B16002_009MA,B16002_009EA,B16002_010MA,B16002_010EA,B16002_011EA,B16002_011MA,B16002_012EA,B16002_012MA,B16002_013EA,B16002_013MA,B16002_014MA,B16002_014EA,state
0400000US01,1788692,9253,1693764,9671,51869,3240,11758,1339,40111,3315,26339,2674,1604,727,24735,2593,12180,1418,3406,757,8774,1339,4540,1321,501,305,4039,1265,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,193919,2964,9043,1210,479,266,8564,1184,6306,1337,564,398,5742,1267,10801,1252,2765,697,8036,1248,13183,1023,1137,288,12046,1020,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1594966,11871,446897,6945,123909,6258,322988,7152,65598,4096,6572,1151,59026,3780,38061,2509,7045,1376,31016,2564,58491,3164,7246,1673,51245,3093,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,1017866,7546,46339,3163,10312,1553,36027,2961,13659,1608,898,416,12761,1572,7670,1089,1994,709,5676,1031,2008,791,212,246,1796,769,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7255171,26013,2939877,20322,847301,15853,2092576,20523,654566,13059,111229,5777,543337,12855,1135268,13335,338233,9668,797035,12153,113012,6331,14846,2263,98166,5760,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1479090,8417,230295,6043,64540,4498,165755,5797,61950,4021,5684,1124,56266,3982,33184,2155,7659,1381,25525,2080,14518,1904,2317,855,12201,1919,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,1037176,8067,123967,3454,31778,3182,92189,3766,128723,4934,24443,2618,104280,4422,26084,1965,6997,1352,19087,2045,7888,1298,1394,665,6494,1069,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,275857,3471,20234,1729,5357,950,14877,1909,14049,1809,1193,506,12856,1640,4996,753,1064,425,3932,683,2504,812,43,71,2461,799,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,205601,3482,20011,1559,4881,1094,15130,1655,13801,1981,1685,691,12116,1792,5042,829,1130,557,3912,697,3758,1026,1116,523,2642,773,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,5249666,24434,1244227,9186,391695,9772,852532,9778,411178,11380,81483,4967,329695,10032,100290,3845,23198,2175,77092,3824,43439,3570,7421,1426,36018,3351,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
