GEO_ID,B13004D_001E,B13004D_001M,B13004D_002E,B13004D_002M,B13004D_003E,B13004D_003M,B13004D_004E,B13004D_004M,B13004D_005E,B13004D_005M,B13004D_006E,B13004D_006M,B13004D_007E,B13004D_007M,NAME,B13004D_001EA,B13004D_001MA,B13004D_002EA,B13004D_002MA,B13004D_003EA,B13004D_003MA,B13004D_004MA,B13004D_004EA,B13004D_005EA,B13004D_005MA,B13004D_006EA,B13004D_006MA,B13004D_007EA,B13004D_007MA,state
0400000US01,11697,1083,303,265,303,265,0,270,11394,1088,7681,879,3713,839,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8753,847,981,679,838,688,143,191,7772,811,5693,730,2079,653,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40534,1214,2148,523,1831,569,317,300,38386,1256,25409,1433,12977,1500,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7515,967,489,324,489,324,0,260,7026,941,4264,855,2762,711,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1258338,5862,66465,4132,58114,4137,8351,2131,1191873,6870,662152,9857,529721,10103,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37983,1560,2337,680,2202,660,135,162,35646,1767,22545,1919,13101,1989,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33180,1274,2260,704,2260,704,0,274,30920,1356,21047,1377,9873,1290,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6994,436,652,408,566,384,86,111,6342,595,5093,585,1249,429,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6361,736,0,286,0,286,0,286,6361,736,1716,593,4645,863,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,114431,3210,7866,1517,6804,1364,1062,650,106565,3296,66806,3217,39759,3214,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,75301,1971,4348,1228,3912,1198,436,409,70953,2064,49722,2856,21231,2321,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124301,3884,6067,1235,4644,1081,1423,612,118234,4101,63229,3086,55005,3385,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5378,688,242,191,123,120,119,178,5136,656,3390,765,1746,654,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
