GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001MA,C17022_001EA,C17022_002MA,C17022_002EA,C17022_003EA,C17022_003MA,C17022_004EA,C17022_004MA,C17022_005MA,C17022_005EA,C17022_006MA,C17022_006EA,C17022_007MA,C17022_007EA,C17022_008EA,C17022_008MA,C17022_009EA,C17022_009MA,C17022_010MA,C17022_010EA,C17022_011MA,C17022_011EA,C17022_012MA,C17022_012EA,C17022_013MA,C17022_013EA,C17022_014EA,C17022_014MA,C17022_015EA,C17022_015MA,C17022_016MA,C17022_016EA,C17022_017EA,C17022_017MA,C17022_018EA,C17022_018MA,C17022_019EA,C17022_019MA,C17022_020EA,C17022_020MA,C17022_021MA,C17022_021EA,state
0400000US01,1223725,12107,237833,8627,89165,5256,148668,6650,20139,2726,128529,6364,45277,3628,26448,2827,18829,2627,3716,957,15113,2224,85291,5055,55299,3680,29992,3351,6045,1397,23947,2958,855324,12785,720245,11941,135079,6820,41126,3709,93953,5911,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,18218,1598,6850,1083,11368,1388,2504,818,8864,1280,3865,898,2436,655,1429,551,499,334,930,436,8880,1404,4764,928,4116,1087,858,476,3258,1005,126224,3860,102303,3736,23921,2191,9312,1362,14609,1854,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,234113,8430,110252,5453,123861,6500,24392,3225,99469,5492,49838,4488,31619,3437,18219,2953,4873,1208,13346,2608,94151,5951,62102,4823,32049,3797,9803,2387,22246,2694,1081358,14860,874480,12581,206878,9683,71165,5534,135713,7280,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,144836,5905,64582,4046,80254,4638,13025,1980,67229,4443,30448,2462,20403,2110,10045,1716,2844,1001,7201,1515,57724,2990,39326,2479,18398,2252,5880,1300,12518,1835,509436,9275,431234,8703,78202,5301,24568,2636,53634,4132,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,1236134,20588,598116,14354,638018,14147,137015,7186,501003,13148,286707,8988,182662,7300,104045,6349,27918,3596,76127,5010,500581,14392,315428,11293,185153,8720,54534,4723,130619,7370,6257697,32730,4914915,29890,1342782,21205,494406,13505,848376,15142,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,140948,6606,63909,4457,77039,5444,12743,2543,64296,4761,28463,2680,18601,2347,9862,1544,3005,924,6857,1169,60118,4111,36785,3061,23333,2621,8931,1987,14402,1778,934692,11030,788538,10716,146154,6234,55298,3955,90856,5127,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,76890,4846,24853,2917,52037,4072,5939,1567,46098,3957,15586,2167,7321,1496,8265,1592,1383,610,6882,1477,30824,2605,17622,1751,13202,2051,2765,1090,10437,1589,769988,9372,625348,8913,144640,5841,46308,3827,98332,4569,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,22462,2284,7461,1569,15001,1885,2307,727,12694,1750,4314,937,2364,611,1950,589,585,370,1365,535,9522,1354,5692,1083,3830,976,587,293,3243,919,179884,4679,144121,4564,35763,3025,10533,1663,25230,2484,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,23744,2472,4469,1088,19275,2180,2481,777,16794,2073,2959,930,345,185,2614,901,498,402,2116,771,7202,1351,2487,887,4715,1128,510,396,4205,1029,74578,3302,46911,2988,27667,2531,6589,1323,21078,2160,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,668125,13941,286119,10480,382006,11531,61242,5193,320764,10257,155930,6891,91419,5380,64511,4723,13035,2574,51476,3982,300689,10587,184250,7814,116439,6251,27957,3452,88482,5095,3470059,25038,2817485,21995,652574,14073,220718,8935,431856,11554,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
