GEO_ID,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,NAME,B25070_001EA,B25070_001MA,B25070_002EA,B25070_002MA,B25070_003EA,B25070_003MA,B25070_004MA,B25070_004EA,B25070_005MA,B25070_005EA,B25070_006EA,B25070_006MA,B25070_007EA,B25070_007MA,B25070_008MA,B25070_008EA,B25070_009MA,B25070_009EA,B25070_010MA,B25070_010EA,B25070_011EA,B25070_011MA,state
0400000US01,527217,11869,23567,2999,48753,4363,61533,3970,58122,4651,55084,4783,33829,3062,26750,3142,35948,3786,107812,5215,75819,4416,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86233,3244,4409,1063,7821,1246,10052,1491,10115,1565,9162,1508,6377,1321,5740,1296,5837,1299,15435,1942,11285,1457,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701556,12519,24205,3304,59773,5713,84459,5684,85268,5241,79537,4959,56896,4257,45271,4033,54744,4413,156174,6917,55229,4324,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350717,8790,14293,2108,31267,3266,42748,3610,41287,3992,36241,3261,28351,3171,15881,1694,25433,2696,70605,4640,44611,3147,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5027756,31936,137957,6868,338738,11286,532789,15098,597261,13386,562694,14535,449317,12749,342143,12933,498414,11777,1308387,19449,260056,9981,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,585342,11059,17771,2425,40420,3415,70308,4971,73732,4839,73620,4896,46385,4107,40430,3570,49750,4607,135535,6322,37391,3332,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,403895,8863,16562,2375,32359,2941,50020,4191,48692,4118,48081,4130,36798,4005,25218,2947,28151,2986,90910,6085,27104,3243,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87780,3942,3445,1072,7474,1528,12369,1605,11209,1706,9513,1805,6117,1215,5469,1265,8161,1526,17516,2029,6507,1190,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142695,3688,6655,1508,10729,1882,17436,2316,18289,2036,17216,2286,13257,1761,7627,1574,11443,1603,33696,2893,6347,1209,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2144851,23516,51580,4416,132703,7025,224561,9219,258750,12153,236757,11494,201601,8257,151641,7320,206031,8766,531806,13554,149421,8442,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
