GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001EA,B19019_001MA,B19019_002EA,B19019_002MA,B19019_003MA,B19019_003EA,B19019_004MA,B19019_004EA,B19019_005EA,B19019_005MA,B19019_006EA,B19019_006MA,B19019_007EA,B19019_007MA,B19019_008MA,B19019_008EA,state
0400000US01,36879,529,18936,630,42373,812,46697,1494,53261,1739,51281,2390,46375,4817,54620,6424,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,56234,1807,29954,2334,62946,3494,69632,3492,78685,5179,73885,6753,56902,11214,69195,12826,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,44282,646,26273,574,50091,907,54147,1717,61023,1664,54078,2980,53659,4128,52000,3993,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34999,599,18035,661,39152,1040,44089,1150,52767,1866,46080,3634,45674,3908,44073,3255,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,53629,324,30623,361,60328,410,64216,909,71055,865,61735,725,57796,1843,63131,1633,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50652,553,27999,865,58456,1102,62268,1623,69975,1944,66573,3664,64061,4510,64493,6481,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60941,812,28857,1053,65558,1200,78019,2281,91894,2407,90835,4288,85443,6773,86779,12486,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,52499,1416,27048,1433,59985,2290,63139,3241,74885,4199,73174,6564,61652,10609,66196,16947,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47221,1934,37564,2025,62639,4942,58441,5813,53983,8845,52362,11353,48107,14994,38750,13620,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42433,272,24356,358,47008,435,52456,729,61881,838,59976,1928,58694,3591,57622,4092,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,45604,438,25684,459,49878,898,54757,1309,63672,1460,60891,1897,54740,2870,56892,3480,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,58112,1969,30755,1348,56192,2019,70453,3144,78029,3633,79971,5028,86089,5284,101381,11244,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41443,841,20394,788,46560,1298,49258,2525,52484,1549,49593,2883,53524,5197,56681,6512,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,50260,338,26623,395,54774,698,62841,1195,71320,873,71490,1623,63953,3348,64405,3267,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,43993,503,22561,540,48386,688,55902,1348,63722,1116,60298,2169,62214,4196,57038,5645,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,43609,520,22665,641,48890,674,56511,1333,64459,1587,62457,2845,60780,4752,54252,6460,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42920,732,22534,595,48904,913,53960,1689,63998,2084,61816,3351,58954,5270,54159,6493,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,37369,479,18942,678,41176,706,49262,1378,54555,1556,52370,2834,51076,4253,51700,2564,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,36729,575,17784,710,40916,982,47151,1419,55663,1325,54182,2573,47625,5104,51646,10103,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,42801,969,20745,833,47001,911,57685,2638,63615,2012,61205,3954,57642,6192,53784,22265,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,61592,595,32548,966,65956,1357,76980,1995,88925,2084,87655,2655,82201,7241,78165,12067,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,57184,694,27464,843,61590,1207,73956,1681,85072,1900,89158,3257,79098,4797,94069,5471,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,46039,449,24287,445,49640,582,60043,1015,70102,1009,65422,1588,63737,3140,55807,5677,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,52024,366,27257,555,56402,586,68709,1271,77213,1326,71348,1427,72026,3494,58610,3228,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
