GEO_ID,C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,NAME,C16007_001EA,C16007_001MA,C16007_002EA,C16007_002MA,C16007_003EA,C16007_003MA,C16007_004MA,C16007_004EA,C16007_005MA,C16007_005EA,C16007_006EA,C16007_006MA,C16007_007EA,C16007_007MA,C16007_008EA,C16007_008MA,C16007_009MA,C16007_009EA,C16007_010MA,C16007_010EA,C16007_011EA,C16007_011MA,C16007_012EA,C16007_012MA,C16007_013EA,C16007_013MA,state
0400000US01,4150183,2206,793333,2586,758818,3872,23796,2704,10719,2055,2784166,2529,2655190,5762,73684,4106,55292,5057,572684,2434,563519,2236,2490,646,6675,1449,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,592520,830,138294,944,121743,1842,3950,1149,12601,1497,412070,1033,356031,3080,11308,1457,44731,2924,42156,1002,34404,928,654,259,7098,917,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5370067,1271,1114116,1466,788039,10207,282426,9635,43651,3719,3520554,1665,2485982,14790,798360,11044,236212,8314,735397,1442,625868,3446,69330,2155,40199,2683,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2515066,2038,485969,2154,450810,3184,28498,2068,6661,1551,1665456,2064,1559451,4580,76298,3910,29707,3072,363641,1868,355493,2062,2526,726,5622,1276,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32599457,3023,6975831,3014,3897744,25561,2402163,20972,675924,16163,21922522,3629,12389829,44116,6244353,33490,3288340,32728,3701104,2855,2520704,12772,545496,7090,634904,10229,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4223659,1774,837578,1857,688649,6091,119091,5087,29838,3497,2943184,2098,2431065,11797,362728,9014,149391,7243,442897,1640,386203,2462,33655,1687,23039,1812,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3183775,660,619914,1147,512166,5986,68910,3858,38838,4091,2121282,1372,1696935,10207,208251,4635,216096,8845,442579,1234,370372,4308,15817,1126,56390,4110,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,763189,304,140065,322,123391,1838,11696,1611,4978,1164,516333,715,452280,3274,33586,1985,30467,2782,106791,727,99552,917,1930,686,5309,883,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,477395,429,73816,435,64054,1208,7068,735,2694,1063,341085,615,281801,2730,32735,1882,26549,2540,62494,605,56725,786,2308,536,3461,862,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16270161,3373,2934500,3741,2201683,15266,564273,11876,168544,10070,10454448,3732,7586331,21653,2102962,12795,765155,16991,2881213,3403,2353828,8537,345696,4354,181689,7469,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
