GEO_ID,B18020F_001E,B18020F_001M,B18020F_002E,B18020F_002M,B18020F_003E,B18020F_003M,B18020F_004E,B18020F_004M,B18020F_005E,B18020F_005M,B18020F_006E,B18020F_006M,B18020F_007E,B18020F_007M,B18020F_008E,B18020F_008M,B18020F_009E,B18020F_009M,B18020F_010E,B18020F_010M,B18020F_011E,B18020F_011M,B18020F_012E,B18020F_012M,B18020F_013E,B18020F_013M,B18020F_014E,B18020F_014M,B18020F_015E,B18020F_015M,B18020F_016E,B18020F_016M,B18020F_017E,B18020F_017M,B18020F_018E,B18020F_018M,B18020F_019E,B18020F_019M,B18020F_020E,B18020F_020M,B18020F_021E,B18020F_021M,B18020F_022E,B18020F_022M,B18020F_023E,B18020F_023M,B18020F_024E,B18020F_024M,B18020F_025E,B18020F_025M,B18020F_026E,B18020F_026M,B18020F_027E,B18020F_027M,B18020F_028E,B18020F_028M,B18020F_029E,B18020F_029M,B18020F_030E,B18020F_030M,B18020F_031E,B18020F_031M,NAME,B18020F_001EA,B18020F_001MA,B18020F_002EA,B18020F_002MA,B18020F_003MA,B18020F_003EA,B18020F_004MA,B18020F_004EA,B18020F_005EA,B18020F_005MA,B18020F_006EA,B18020F_006MA,B18020F_007EA,B18020F_007MA,B18020F_008MA,B18020F_008EA,B18020F_009MA,B18020F_009EA,B18020F_010EA,B18020F_010MA,B18020F_011EA,B18020F_011MA,B18020F_012EA,B18020F_012MA,B18020F_013MA,B18020F_013EA,B18020F_014MA,B18020F_014EA,B18020F_015EA,B18020F_015MA,B18020F_016EA,B18020F_016MA,B18020F_017EA,B18020F_017MA,B18020F_018MA,B18020F_018EA,B18020F_019MA,B18020F_019EA,B18020F_020MA,B18020F_020EA,B18020F_021EA,B18020F_021MA,B18020F_022EA,B18020F_022MA,B18020F_023MA,B18020F_023EA,B18020F_024MA,B18020F_024EA,B18020F_025MA,B18020F_025EA,B18020F_026EA,B18020F_026MA,B18020F_027EA,B18020F_027MA,B18020F_028MA,B18020F_028EA,B18020F_029MA,B18020F_029EA,B18020F_030MA,B18020F_030EA,B18020F_031MA,B18020F_031EA,state
0400000US01,22855,3244,2118,1000,1310,767,643,556,529,530,114,153,667,488,122,175,545,373,808,526,478,381,120,198,358,320,330,330,216,209,114,234,20737,2957,11852,1933,7778,1595,5882,1292,1896,710,4074,1058,3848,1043,226,164,8885,1479,5524,1256,2907,914,2617,942,3361,952,2361,789,1000,517,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,416881,13112,41237,3505,20139,2582,5518,1409,3133,1046,2385,746,14621,2141,6430,1242,8191,1819,21098,2257,6221,1484,2105,948,4116,1090,14877,1951,4186,1095,10691,1630,375644,13137,197403,8225,115613,6607,90757,5983,24856,2932,81790,4479,70638,4354,11152,1806,178241,7227,100972,5791,55231,4747,45741,3718,77269,3938,48987,3221,28282,2924,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41985,4810,4384,1404,1742,785,775,557,775,557,0,260,967,559,668,495,299,295,2642,975,405,438,338,438,67,101,2237,923,282,285,1955,863,37601,4400,20731,2594,13539,2158,11408,1858,2131,872,7192,1321,6550,1259,642,414,16870,2496,10280,1955,4821,1346,5459,2113,6590,1378,4869,1285,1721,666,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3744262,51672,319830,11275,152593,6810,46947,4056,23975,3124,22972,2952,105646,5515,45181,4090,60465,4161,167237,7615,44239,4053,15937,2037,28302,3231,122998,6262,37563,3579,85435,5075,3424432,48301,1775113,29733,958852,20747,712809,17712,246043,9165,816261,16047,702575,15257,113686,5181,1649319,24576,890486,16274,461032,11778,429454,12337,758833,15093,456499,13310,302334,10383,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,201143,9337,22863,2434,11918,1730,3182,1077,2288,957,894,529,8736,1389,4508,999,4228,902,10945,1295,1977,755,665,440,1312,621,8968,1145,2798,743,6170,1057,178280,9066,93520,5598,53042,4449,40814,4251,12228,1770,40478,3416,34135,3362,6343,1209,84760,5285,47230,3916,27233,3666,19997,1878,37530,2797,26154,2345,11376,2042,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104964,6729,14014,2091,6252,1296,1902,613,583,329,1319,536,4350,1047,1902,665,2448,774,7762,1406,2068,738,440,323,1628,697,5694,1155,1606,679,4088,1021,90950,6854,47116,4450,26031,3151,18655,2996,7376,1624,21085,2256,17654,1982,3431,1048,43834,3961,22883,2817,13698,2194,9185,1613,20951,2233,15121,2198,5830,1144,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11261,2329,987,448,581,331,312,243,62,108,250,220,269,254,0,262,269,254,406,248,110,128,0,262,110,128,296,249,142,171,154,187,10274,2169,5397,1276,2792,819,2036,721,756,551,2605,753,2337,684,268,253,4877,1160,2442,729,1002,474,1440,548,2435,707,1543,613,892,534,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21523,2238,1764,732,985,568,573,464,366,338,207,332,412,389,369,397,43,69,779,493,402,373,275,345,127,155,377,264,47,95,330,242,19759,2272,11916,1562,6251,1008,5019,1117,1232,796,5665,879,4779,815,886,598,7843,1200,4039,872,2699,750,1340,691,3804,812,2591,794,1213,818,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,487712,17149,44729,3964,21671,2702,7503,1619,3814,1162,3689,1083,14168,2277,6061,1373,8107,1635,23058,2850,6047,1359,2735,1094,3312,946,17011,2172,5124,1150,11887,1874,442983,17097,238098,11361,132605,8374,103669,7678,28936,3126,105493,5897,90441,5723,15052,2435,204885,8700,107426,6377,62098,4910,45328,4298,97459,4931,63288,4093,34171,3429,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
