GEO_ID,B08116_001E,B08116_001M,B08116_002E,B08116_002M,B08116_003E,B08116_003M,B08116_004E,B08116_004M,B08116_005E,B08116_005M,B08116_006E,B08116_006M,NAME,B08116_001MA,B08116_001EA,B08116_002EA,B08116_002MA,B08116_003EA,B08116_003MA,B08116_004EA,B08116_004MA,B08116_005EA,B08116_005MA,B08116_006MA,B08116_006EA,state
0400000US01,44419105,652629,9240460,316591,27704985,706206,5617925,297555,1077720,176296,778010,78588,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5162820,195997,1178660,89523,3122625,150457,677245,76010,105780,38196,78515,23049,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61371165,700682,17103970,460006,33992135,569507,8080855,365698,1294925,159296,899280,107082,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24524820,438859,4674735,201303,15417670,405180,3251585,194685,599615,82892,581220,95676,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,401283395,1656564,115879115,1432759,228440430,1709443,41060720,836532,10147360,435823,5755770,274916,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50335150,530139,13010700,421361,29841640,578747,5999995,282583,859650,100468,623165,75419,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39679895,535917,9691635,343981,24322245,509755,4360635,227753,603070,95947,702305,83815,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9073205,243867,2201250,140206,5396285,207922,1047805,85528,255395,58815,172470,33658,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6985030,205364,3607400,188217,2247820,168213,689900,82180,278090,57340,161820,37099,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,192589770,1324887,49142985,831050,107861385,1155693,26784840,548828,5249730,278806,3550825,201703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,107703750,1149334,26906855,685583,63595600,1080563,12999410,483215,2283520,227430,1918365,187102,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14323135,313527,4349800,216771,8060695,302070,1476530,134778,182485,37546,253625,50517,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12350715,312247,2662900,160165,7728770,247669,1633265,146668,179540,42781,146240,28496,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,157222075,1465369,43939485,1078987,91442705,1111968,15485105,523290,3261885,278324,3092895,202974,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,61789500,671128,13883875,392218,37997590,634680,7837100,306696,972375,109334,1098560,88414,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25889715,383903,5989690,206969,16166820,357080,3042595,188823,310535,45386,380070,38771,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,23546400,312893,5359920,219761,14589690,294989,2786605,140846,434810,64098,375370,55257,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38653290,566872,7872065,309745,24376810,502909,4918275,271187,831590,112628,654545,71112,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,45121045,716613,11445205,526184,25944080,619346,5500695,293063,1186915,125661,1044150,152422,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14243430,323062,3443290,192598,8549705,287385,1878950,122316,191855,53048,179635,31919,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,80326930,907202,22541980,597304,45366095,855686,8363415,346862,2646715,270716,1408725,115000,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,79140450,839222,23608560,561514,45263545,753929,7336215,346342,1733965,194973,1198165,88569,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,100192670,710171,25201350,462380,59838435,631199,12099870,337400,1483855,149698,1569165,133240,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,54902940,539051,14617090,346907,33369295,466593,5494340,219761,668960,71208,753250,79526,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,27214335,539502,6097995,292975,16151575,458281,3389800,199733,1062290,241099,512675,62678,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,59367495,689856,13773180,383692,35973445,551315,7460290,291966,1215785,127078,944795,67833,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7388730,208210,1611745,95567,4614275,183048,940670,77896,121610,36821,100430,22461,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15082995,259786,3496910,133655,9429695,211976,1706620,132511,210670,38331,239105,32182,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,25753310,403560,6768685,271415,14272050,354352,3725300,196176,597900,86432,389375,52295,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,16025855,318524,3584920,181957,9854065,279798,2075680,160871,217600,45517,293595,71897,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
