GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,B10060_017E,B10060_017M,B10060_018E,B10060_018M,B10060_019E,B10060_019M,B10060_020E,B10060_020M,B10060_021E,B10060_021M,B10060_022E,B10060_022M,B10060_023E,B10060_023M,B10060_024E,B10060_024M,B10060_025E,B10060_025M,B10060_026E,B10060_026M,B10060_027E,B10060_027M,B10060_028E,B10060_028M,NAME,B10060_001MA,B10060_001EA,B10060_002MA,B10060_002EA,B10060_003MA,B10060_003EA,B10060_004MA,B10060_004EA,B10060_005MA,B10060_005EA,B10060_006MA,B10060_006EA,B10060_007EA,B10060_007MA,B10060_008EA,B10060_008MA,B10060_009MA,B10060_009EA,B10060_010MA,B10060_010EA,B10060_011MA,B10060_011EA,B10060_012EA,B10060_012MA,B10060_013EA,B10060_013MA,B10060_014EA,B10060_014MA,B10060_015MA,B10060_015EA,B10060_016MA,B10060_016EA,B10060_017EA,B10060_017MA,B10060_018EA,B10060_018MA,B10060_019EA,B10060_019MA,B10060_020MA,B10060_020EA,B10060_021MA,B10060_021EA,B10060_022EA,B10060_022MA,B10060_023EA,B10060_023MA,B10060_024EA,B10060_024MA,B10060_025MA,B10060_025EA,B10060_026MA,B10060_026EA,B10060_027EA,B10060_027MA,B10060_028EA,B10060_028MA,state
0400000US01,111975,6719,88200,6012,53137,4835,23451,2921,15813,2527,7638,1499,29686,3612,21963,3403,7723,1473,35063,3395,5704,1395,3621,1106,1763,834,1186,686,577,329,1858,838,1801,800,57,93,2083,815,18071,2414,9065,1709,3726,888,2442,733,1284,548,5339,1470,4571,1296,768,492,9006,1672,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13181,2042,11389,1950,5716,1254,2745,1005,1044,531,1701,778,2971,804,1957,681,1014,329,5673,1361,927,414,683,356,326,233,123,158,203,180,357,285,357,285,0,233,244,199,865,439,470,306,86,120,15,27,71,117,384,274,285,249,99,117,395,337,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,122247,7082,99777,6507,44079,4406,15546,2348,7151,1761,8395,1518,28533,3668,22618,3522,5915,1130,55698,5033,7955,1731,4388,1338,1027,459,647,416,380,262,3361,1243,2703,1160,658,410,3567,1122,14515,2814,7204,1987,3670,1306,2298,1084,1372,635,3534,1344,2264,885,1270,923,7311,1865,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57802,4390,46799,4199,28962,3227,14008,1769,7743,1431,6265,1136,14954,2442,10725,1965,4229,1106,17837,2475,3042,1103,1343,767,339,251,208,182,131,168,1004,723,936,702,68,117,1699,797,7961,1529,5118,1241,2510,793,1911,633,599,358,2608,861,1803,705,805,447,2843,871,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,885034,21469,740256,19130,223414,8979,59410,4654,31268,2992,28142,2973,164004,8103,108620,7536,55384,4764,516842,16348,125537,8767,38739,5208,12679,2022,7903,1789,4776,1133,26060,4620,20704,3904,5356,1561,86798,6843,19241,2401,7343,1291,4071,931,2082,833,1989,747,3272,940,1972,707,1300,666,11898,1873,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63960,5035,54785,4674,25435,3203,9604,1905,5711,1553,3893,945,15831,2126,12034,1861,3797,1014,29350,3172,5225,1243,2944,933,1344,626,513,357,831,508,1600,648,1392,606,208,211,2281,756,3950,1431,1854,808,528,331,376,292,152,123,1326,732,916,599,410,414,2096,960,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50107,4224,37703,3727,10935,1991,3623,1041,2061,886,1562,562,7312,1563,4435,1403,2877,914,26768,3092,12119,2281,5271,1541,1449,732,795,532,654,460,3822,1410,2593,1244,1229,613,6848,1822,285,204,0,274,0,274,0,274,0,274,0,274,0,274,0,274,285,204,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18645,2411,14851,2229,5069,1142,2225,824,1173,650,1052,478,2844,933,1719,662,1125,505,9782,1784,1813,1025,836,592,99,119,0,262,99,119,737,569,648,546,89,110,977,667,1981,799,1336,690,439,369,251,271,188,199,897,622,498,394,399,399,645,398,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11078,1940,8038,1549,3928,952,1453,558,384,205,1069,490,2475,827,1749,694,726,488,4110,1257,3040,889,1836,708,1045,576,553,384,492,353,791,471,583,424,208,187,1204,565,0,286,0,286,0,286,0,286,0,286,0,286,0,286,0,286,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,357729,13298,275910,11751,113128,8407,45984,4997,24841,3592,21143,3126,67144,5970,50178,5707,16966,1714,162782,7627,45836,4977,22348,3468,9262,1883,5315,1390,3947,1120,13086,2656,8363,1798,4723,1984,23488,3553,35983,4742,18553,3128,10467,2593,6773,2080,3694,1266,8086,1745,6174,1660,1912,692,17430,3465,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
