B992522_007E,GEO_ID,B992522_001E,B992522_002E,B992522_003E,B992522_004E,B992522_005E,B992522_006E,B992522_007EA,NAME,B992522_001EA,B992522_002EA,B992522_003EA,B992522_004EA,B992522_005EA,B992522_006EA,state
349831,0400000US01,1261475,763484,305561,457923,497991,148160,null,Alabama,null,null,null,null,null,null,01
32800,0400000US02,147019,104525,32689,71836,42494,9694,null,Alaska,null,null,null,null,null,null,02
309446,0400000US04,1502457,1065145,370416,694729,437312,127866,null,Arizona,null,null,null,null,null,null,04
222503,0400000US05,736825,432085,162770,269315,304740,82237,null,Arkansas,null,null,null,null,null,null,05
1200071,0400000US06,7070138,5371404,2154863,3216541,1698734,498663,null,California,null,null,null,null,null,null,06
207629,0400000US08,1233695,944408,328614,615794,289287,81658,null,Colorado,null,null,null,null,null,null,08
187784,0400000US09,919943,659870,261762,398108,260073,72289,null,Connecticut,null,null,null,null,null,null,09
47246,0400000US10,229860,159799,59566,100233,70061,22815,null,Delaware,null,null,null,null,null,null,10
19182,0400000US11,105518,79491,33787,45704,26027,6845,null,District of Columbia,null,null,null,null,null,null,11
1162281,0400000US12,4903949,3213520,1246000,1967520,1690429,528148,null,Florida,null,null,null,null,null,null,12
429031,0400000US13,2218217,1614736,587354,1027382,603481,174450,null,Georgia,null,null,null,null,null,null,13
65517,0400000US15,256578,173911,62122,111789,82667,17150,null,Hawaii,null,null,null,null,null,null,15
84510,0400000US16,379948,264314,89900,174414,115634,31124,null,Idaho,null,null,null,null,null,null,16
730200,0400000US17,3277573,2265586,883325,1382261,1011987,281787,null,Illinois,null,null,null,null,null,null,17
392772,0400000US18,1759089,1221232,442281,778951,537857,145085,null,Indiana,null,null,null,null,null,null,18
239395,0400000US19,877796,544219,216208,328011,333577,94182,null,Iowa,null,null,null,null,null,null,19
186543,0400000US20,744580,483960,172020,311940,260620,74077,null,Kansas,null,null,null,null,null,null,20
307603,0400000US21,1167973,738499,293118,445381,429474,121871,null,Kentucky,null,null,null,null,null,null,21
350199,0400000US22,1136873,662139,267490,394649,474734,124535,null,Louisiana,null,null,null,null,null,null,22
105128,0400000US23,389203,248269,93798,154471,140934,35806,null,Maine,null,null,null,null,null,null,23
238665,0400000US24,1438614,1100282,386976,713306,338332,99667,null,Maryland,null,null,null,null,null,null,24
317064,0400000US25,1567885,1128667,453037,675630,439218,122154,null,Massachusetts,null,null,null,null,null,null,25
640913,0400000US26,2903328,2006152,786235,1219917,897176,256263,null,Michigan,null,null,null,null,null,null,26
316305,0400000US27,1530659,1092254,405731,686523,438405,122100,null,Minnesota,null,null,null,null,null,null,27
236028,0400000US28,757446,434214,174462,259752,323232,87204,null,Mississippi,null,null,null,null,null,null,28
388601,0400000US29,1614217,1070777,393800,676977,543440,154839,null,Missouri,null,null,null,null,null,null,29
76656,0400000US30,254458,150744,54643,96101,103714,27058,null,Montana,null,null,null,null,null,null,30
125019,0400000US31,474682,300240,115794,184446,174442,49423,null,Nebraska,null,null,null,null,null,null,31
84967,0400000US32,550125,427452,153952,273500,122673,37706,null,Nevada,null,null,null,null,null,null,32
75670,0400000US33,362854,254938,97767,157171,107916,32246,null,New Hampshire,null,null,null,null,null,null,33
449708,0400000US34,2114072,1493048,597078,895970,621024,171316,null,New Jersey,null,null,null,null,null,null,34
150267,0400000US35,504354,304493,107649,196844,199861,49594,null,New Mexico,null,null,null,null,null,null,35
990737,0400000US36,3936378,2560299,1092078,1468221,1376079,385342,null,New York,null,null,null,null,null,null,36
525677,0400000US37,2325140,1575633,637391,938242,749507,223830,null,North Carolina,null,null,null,null,null,null,37
62658,0400000US38,182490,98142,37402,60740,84348,21690,null,North Dakota,null,null,null,null,null,null,38
710477,0400000US39,3152610,2173185,837239,1335946,979425,268948,null,Ohio,null,null,null,null,null,null,39
272880,0400000US40,937051,566189,200980,365209,370862,97982,null,Oklahoma,null,null,null,null,null,null,40
185303,0400000US41,909113,643979,234053,409926,265134,79831,null,Oregon,null,null,null,null,null,null,41
965318,0400000US42,3474048,2167383,867412,1299971,1306665,341347,null,Pennsylvania,null,null,null,null,null,null,42
50646,0400000US44,254639,183882,71496,112386,70757,20111,null,Rhode Island,null,null,null,null,null,null,44
285523,0400000US45,1146620,733099,304481,428618,413521,127998,null,South Carolina,null,null,null,null,null,null,45
61375,0400000US46,214246,124887,52536,72351,89359,27984,null,South Dakota,null,null,null,null,null,null,46
412576,0400000US47,1638837,1040985,417377,623608,597852,185276,null,Tennessee,null,null,null,null,null,null,47
1449360,0400000US48,5162604,3237790,1124673,2113117,1924814,475454,null,Texas,null,null,null,null,null,null,48
99563,0400000US49,558769,417906,142758,275148,140863,41300,null,Utah,null,null,null,null,null,null,49
44521,0400000US50,176860,118472,44826,73646,58388,13867,null,Vermont,null,null,null,null,null,null,50
385905,0400000US51,2012391,1473937,523519,950418,538454,152549,null,Virginia,null,null,null,null,null,null,51
306240,0400000US53,1584549,1145499,418408,727091,439050,132810,null,Washington,null,null,null,null,null,null,53
204322,0400000US54,558289,282640,122175,160465,275649,71327,null,West Virginia,null,null,null,null,null,null,54
369523,0400000US55,1556441,1055747,425772,629975,500694,131171,null,Wisconsin,null,null,null,null,null,null,55
43016,0400000US56,146504,89462,31086,58376,57042,14026,null,Wyoming,null,null,null,null,null,null,56
513814,0400000US72,934479,362385,92610,269775,572094,58280,null,Puerto Rico,null,null,null,null,null,null,72
