GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,B24091_010E,B24091_010M,NAME,B24091_001EA,B24091_001MA,B24091_002MA,B24091_002EA,B24091_003MA,B24091_003EA,B24091_004MA,B24091_004EA,B24091_005MA,B24091_005EA,B24091_006MA,B24091_006EA,B24091_007EA,B24091_007MA,B24091_008EA,B24091_008MA,B24091_009MA,B24091_009EA,B24091_010MA,B24091_010EA,state
0400000US01,32399,397,31540,357,31078,372,53947,5053,31656,1041,34114,1054,36462,1393,55089,4516,30031,2463,15790,7351,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45011,1189,42258,1435,41535,1351,52477,20519,42291,3801,47721,2321,47303,3096,51931,3371,35412,9881,37171,60546,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36292,263,35751,315,35100,356,60616,3777,36287,1061,39200,1628,36622,1423,49811,2502,31944,1454,18093,3175,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30372,287,29824,588,29063,681,46578,5587,31570,1014,30812,1309,31250,1057,45864,2900,25395,1523,29890,29285,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41595,123,40203,170,39070,399,67374,3893,42675,813,51149,488,51701,762,51032,633,37382,1252,21220,4035,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40417,358,40034,547,39000,834,50491,2003,36937,1678,41896,959,45096,2163,56088,3981,32485,2053,12694,17002,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47476,869,47079,662,46296,617,71990,8843,44229,1911,51255,1190,56186,2738,50236,1843,42454,4809,41027,20917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41006,665,40982,814,40569,840,62242,9062,36179,1381,43276,3268,41659,2023,49925,7095,41960,8613,12063,23274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50242,1333,45838,3280,44751,3828,85142,36101,50129,2679,45659,10678,37567,3515,60816,4583,51393,8677,-666666666,0,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,**,-,11
0400000US12,33877,281,32648,357,31969,179,48918,2344,35115,813,38081,1057,36076,865,47707,1973,29819,1700,18864,5309,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36556,267,36264,341,35732,353,50900,893,38423,1313,35784,705,34247,1042,49011,1998,32161,1407,33379,3079,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,37030,521,35167,983,34239,1436,53841,10040,37367,3779,41710,1768,40061,1613,50720,1710,35706,4255,22255,18071,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,32172,411,31880,461,31380,438,44110,3262,28449,3265,33973,2016,35442,2372,49822,3319,27242,2411,20533,2845,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41049,210,40613,268,40118,293,59131,3475,38498,1394,46530,732,43708,1576,49969,1384,32169,1235,20760,5907,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,36107,226,36235,276,35850,264,51481,1285,35497,971,35853,616,34461,920,50332,1531,30077,2244,19394,8064,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,34619,449,34090,469,33866,481,40104,2812,31741,1384,37502,1367,41366,700,45948,1350,26247,1039,24034,10079,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,34875,501,35151,489,34659,663,47504,4935,33630,1773,33417,1078,35811,1015,46772,2177,26694,1999,30694,10916,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,34116,475,33642,548,33057,549,47319,3072,35602,2038,35250,1136,35581,1004,46993,1587,26923,1005,12431,3835,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,32988,522,32791,665,32118,423,55606,6156,32159,1667,32452,1044,33823,1402,44881,2574,30391,1371,20541,10284,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,34598,725,33819,1002,33413,962,39841,2932,32223,1140,35970,1008,40577,2351,49348,1908,30900,1378,16389,2813,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,46431,401,43035,873,42174,398,61774,2556,45443,1232,46576,979,45809,890,70536,1113,35860,1701,20594,2930,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,46537,369,46115,474,45515,474,64396,5050,46397,1449,50650,1032,50475,1346,50570,1105,40510,2077,25090,8425,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,41169,210,40851,250,40485,253,51329,1139,39514,1149,45276,913,46181,883,50812,594,31171,835,22642,13190,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,40721,207,40565,259,40266,278,50645,889,40170,893,42768,1355,44356,1738,49955,1521,31482,714,21439,9546,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,30046,321,29628,562,29050,555,39992,4875,30649,1676,30553,933,30298,1070,41230,1187,27041,1502,20010,89355,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,34660,432,34705,522,34061,554,50183,3229,35381,1331,36077,940,31010,812,47266,1467,27561,1822,18775,15385,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31093,540,30625,681,30089,943,37638,4304,32030,2847,31326,990,32778,2149,46544,2353,25528,2064,15446,3977,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,32568,520,32458,532,32279,359,41508,2589,32453,1700,34286,1498,36196,1546,46641,1502,24441,1613,23906,5855,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,35597,548,33383,878,32522,704,60071,9386,35388,2040,48437,2005,46457,3551,48501,4363,41077,7887,20202,3753,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,41270,485,41414,607,40957,626,52392,6422,39613,2246,44738,2407,37329,2795,49231,3253,33425,3965,22640,13434,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,47081,328,46507,396,45756,412,62542,3343,45378,1641,50081,1037,51784,866,52519,1403,41728,858,34853,26309,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,32052,513,30590,617,29948,952,48076,7419,34734,3038,31843,1300,35484,2070,50832,3060,28156,5157,6826,12068,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,41410,185,40476,243,39859,477,57183,4961,40268,568,46898,618,47098,969,50336,957,32280,1048,20497,2284,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,33856,302,33237,373,32519,367,49268,2332,36727,1112,34141,753,35704,760,46266,1080,27129,839,23853,4290,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,31554,456,30932,543,30517,579,42866,5032,31876,1428,32627,1312,34119,2079,41167,1611,28258,3144,11399,812,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,37597,304,36784,232,36441,234,51486,1149,38260,970,41554,535,41387,922,49508,1563,31699,758,23790,9238,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,31738,265,31508,320,31234,330,41690,2225,31226,834,30623,843,33128,1224,45346,1609,27152,1515,11350,2614,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,36817,384,35861,453,35427,489,47783,3787,36743,1861,45000,1658,40351,1432,50729,1492,31526,988,27243,33840,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,37892,333,37071,199,36680,203,54119,3590,37280,597,41164,641,41942,787,50772,624,31897,1036,15511,2124,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,41242,600,39593,1332,38442,1468,54671,8890,40621,1850,50156,4252,49296,4948,65071,11806,40716,8969,21289,29439,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,32141,280,31854,348,31390,353,50365,2055,33633,1986,31548,876,32801,994,44658,2234,30392,2021,46985,21062,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,30692,420,30048,714,29290,908,45765,4870,33106,1774,30738,969,30371,1198,43903,3575,28221,2814,13575,2903,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,32766,355,31924,220,31627,217,57398,7210,34581,1212,35301,714,32651,1277,50096,2268,33482,2910,25621,9267,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,34897,266,34361,340,33594,346,52128,1350,34733,860,35795,477,34872,676,48204,1218,30575,618,19064,2053,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,35961,358,35148,541,33945,726,51521,2184,35234,2146,40045,2191,37300,2636,48083,3688,31220,2612,20118,7924,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,35871,638,34981,896,34385,946,46196,8299,39632,3198,36677,1332,41238,2367,48033,2757,30113,3080,20833,11247,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,41094,238,39041,610,37987,632,55138,3593,42394,1320,40058,790,37348,1419,66534,1720,35238,2085,21029,10400,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,41700,339,40929,427,40452,451,53863,3768,40700,768,48629,1556,42744,1286,50924,891,34814,2356,22859,5274,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,31667,416,31047,495,30595,500,50550,2360,30170,2118,31658,1155,31961,1183,50852,3061,27535,4077,40631,56814,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,37140,242,36755,280,36430,289,49834,2635,37851,1173,41454,522,41799,1224,47523,1539,27829,1386,17036,1739,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,35211,1041,34254,1734,33643,1734,41959,6273,31416,4996,36608,1524,38170,4461,49503,6815,30895,3509,20837,4511,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
