GEO_ID,C18007_001E,C18007_001M,C18007_002E,C18007_002M,C18007_003E,C18007_003M,C18007_004E,C18007_004M,C18007_005E,C18007_005M,C18007_006E,C18007_006M,C18007_007E,C18007_007M,C18007_008E,C18007_008M,C18007_009E,C18007_009M,C18007_010E,C18007_010M,C18007_011E,C18007_011M,C18007_012E,C18007_012M,C18007_013E,C18007_013M,C18007_014E,C18007_014M,C18007_015E,C18007_015M,C18007_016E,C18007_016M,C18007_017E,C18007_017M,C18007_018E,C18007_018M,C18007_019E,C18007_019M,C18007_020E,C18007_020M,C18007_021E,C18007_021M,NAME,C18007_001MA,C18007_001EA,C18007_002MA,C18007_002EA,C18007_003EA,C18007_003MA,C18007_004EA,C18007_004MA,C18007_005EA,C18007_005MA,C18007_006MA,C18007_006EA,C18007_007MA,C18007_007EA,C18007_008EA,C18007_008MA,C18007_009EA,C18007_009MA,C18007_010EA,C18007_010MA,C18007_011EA,C18007_011MA,C18007_012MA,C18007_012EA,C18007_013EA,C18007_013MA,C18007_014EA,C18007_014MA,C18007_015EA,C18007_015MA,C18007_016EA,C18007_016MA,C18007_017MA,C18007_017EA,C18007_018EA,C18007_018MA,C18007_019EA,C18007_019MA,C18007_020EA,C18007_020MA,C18007_021EA,C18007_021MA,state
0400000US01,3466860,4569,1640793,3479,1400730,3580,60694,3860,1340036,5207,146565,1667,11772,1257,134793,2050,93498,1411,21528,1926,71970,2064,1826067,3563,1493446,3663,68633,3447,1424813,4042,178667,1398,23557,2238,155110,2447,153954,1160,57228,3119,96726,3069,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,469146,1512,235153,1679,215078,1716,4891,1045,210187,2028,13670,705,977,426,12693,825,6405,489,1850,503,4555,599,233993,1200,211912,1410,7023,1226,204889,1739,12732,630,1664,483,11068,686,9349,651,2891,639,6458,666,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4403224,4409,2164049,4024,1833391,4074,42093,3283,1791298,5322,192897,1246,12237,1663,180660,2100,137761,1100,22068,2077,115693,2158,2239175,3985,1834436,4195,58858,4776,1775578,7028,214327,1346,17662,1854,196665,2029,190412,1145,47408,2994,143004,2974,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2101865,3365,1008051,3170,851747,3173,35578,3257,816169,4364,95103,1317,8721,1216,86382,1721,61201,1053,13575,1350,47626,1465,1093814,2615,886477,2695,43643,2943,842834,4107,111721,1186,14578,1638,97143,1816,95616,792,30613,2028,65003,2127,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26607411,11922,13028191,9917,11433111,9799,241980,8797,11191131,13768,894914,2596,70255,4459,824659,4696,700166,1690,135657,5897,564509,5906,13579220,9670,11473196,9456,335036,9310,11138160,13005,1047029,2656,120705,5855,926324,6560,1058995,1916,333035,7306,725960,7392,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3496401,4036,1738280,3190,1543958,3372,26109,2290,1517849,3860,116234,1465,4970,1041,111264,1758,78088,1097,13595,1521,64493,1693,1758121,3285,1509546,3490,36104,3142,1473442,5201,128662,1472,10071,1430,118591,2196,119913,1345,35026,1895,84887,2072,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2658017,3612,1267850,2650,1083900,2348,24808,2838,1059092,3689,94525,892,4485,796,90040,1182,89425,552,16232,1589,73193,1682,1390167,2817,1131538,2943,30250,2733,1101288,4155,116756,760,9157,1496,107599,1662,141873,716,36868,2737,105005,2741,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,642061,1717,306548,1310,259566,1407,5730,952,253836,1748,27357,551,1502,541,25855,625,19625,527,3598,837,16027,851,335513,1240,275704,1312,8832,1541,266872,2155,31199,518,2613,649,28586,714,28610,368,7099,971,21511,943,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,412162,1085,190663,824,165999,999,3834,1084,162165,1496,13869,379,813,465,13056,412,10795,383,2582,632,8213,659,221499,676,183669,761,6918,1127,176751,1286,18040,353,2236,676,15804,760,19790,448,5306,857,14484,1030,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13760258,8129,6600369,8075,5325666,7920,149893,7316,5175773,11685,693610,2342,40728,3246,652882,3827,581093,2510,101140,5045,479953,5352,7159889,6450,5553379,6540,189007,7284,5364372,9758,795650,2205,66301,3966,729349,4262,810860,2114,211683,6254,599177,6374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
