GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,NAME,B15002G_001MA,B15002G_001EA,B15002G_002MA,B15002G_002EA,B15002G_003EA,B15002G_003MA,B15002G_004EA,B15002G_004MA,B15002G_005MA,B15002G_005EA,B15002G_006MA,B15002G_006EA,B15002G_007MA,B15002G_007EA,B15002G_008EA,B15002G_008MA,B15002G_009EA,B15002G_009MA,B15002G_010EA,B15002G_010MA,B15002G_011EA,B15002G_011MA,B15002G_012MA,B15002G_012EA,B15002G_013EA,B15002G_013MA,B15002G_014EA,B15002G_014MA,B15002G_015EA,B15002G_015MA,B15002G_016EA,B15002G_016MA,B15002G_017EA,B15002G_017MA,state
0400000US01,24266,2593,10968,1633,914,650,1930,809,2489,667,3308,1030,599,390,864,450,864,488,13298,1953,937,386,1818,703,3143,944,4178,1054,1399,938,1363,497,460,257,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15146,1883,7038,1214,87,90,746,361,2761,803,2184,636,744,404,369,253,147,121,8108,1144,253,228,788,422,1957,636,2419,580,867,412,1518,691,306,214,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,48855,3756,23467,2386,1581,703,2077,856,6889,1443,6823,1567,1667,833,3133,860,1297,502,25388,2509,1224,541,1643,642,6511,1601,8167,1421,2693,857,3432,838,1718,643,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17569,2222,8195,1310,698,380,1487,757,2659,656,1725,651,416,372,525,375,685,305,9374,1483,810,345,1337,636,3171,918,2360,751,808,396,704,410,184,144,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,423331,11469,201908,7886,9442,1521,18769,2181,46466,3790,53707,3874,19820,2568,35981,3173,17723,2134,221423,7603,12759,2186,20102,1770,45230,3450,63378,4260,20548,1996,38329,2988,21077,2203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45468,3547,22794,2077,277,255,1808,699,6769,1534,6036,1253,1373,487,4484,1028,2047,643,22674,2562,969,499,2574,898,6046,1332,6499,1398,1998,704,3298,828,1290,570,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21533,2550,9124,1628,547,315,789,446,3528,1005,1530,589,427,341,1637,855,666,364,12409,1861,1110,698,1329,596,3667,939,2585,918,1026,509,1622,596,1070,451,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4365,939,1867,778,308,463,156,134,619,358,433,355,0,262,43,73,308,244,2498,461,0,262,123,91,458,245,1071,434,245,188,304,227,297,228,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4475,1213,2266,851,78,132,121,146,318,374,381,267,0,286,691,522,677,321,2209,759,0,286,41,71,316,244,420,358,200,226,414,264,818,477,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,132066,8348,65083,5023,4134,1082,7192,1419,19949,2927,15497,2267,4856,1241,8320,1833,5135,1203,66983,4903,6367,1274,6529,1200,16528,3066,14311,1831,5859,1637,11706,2083,5683,1191,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
