GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001EA,B19001I_001MA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005EA,B19001I_005MA,B19001I_006EA,B19001I_006MA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009EA,B19001I_009MA,B19001I_010EA,B19001I_010MA,B19001I_011EA,B19001I_011MA,B19001I_012MA,B19001I_012EA,B19001I_013MA,B19001I_013EA,B19001I_014MA,B19001I_014EA,B19001I_015EA,B19001I_015MA,B19001I_016EA,B19001I_016MA,B19001I_017MA,B19001I_017EA,state
0400000US01,27464,1578,2159,579,2998,995,2622,962,2432,730,1546,635,1701,697,1521,559,1858,505,1953,722,2619,749,2054,902,1561,546,1299,639,694,643,134,130,313,201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8878,946,244,234,252,198,277,273,753,488,498,362,772,599,586,462,328,226,236,187,1763,749,834,498,714,467,478,317,652,495,447,385,44,72,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,467693,5324,44588,3242,33747,3735,40664,3505,41825,4554,37176,3914,37565,4337,30241,3881,30393,3590,23137,3192,40439,4040,43766,3878,35696,3574,14111,1932,6218,1047,4464,1391,3663,914,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32115,2110,2184,618,2114,851,3926,989,4498,1205,3004,875,2212,789,2078,699,2903,768,1344,658,2225,785,1799,657,1721,631,1313,931,350,263,302,243,142,222,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3115208,16010,222954,8762,204016,8673,217189,9258,240401,8763,214458,9151,208075,8489,191874,8948,191097,7579,164374,7972,279896,9763,332163,10677,318194,9609,152338,7124,78290,5375,59303,4038,40586,4269,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,273252,4588,27987,2817,20108,2791,21433,2756,24268,2975,21382,2903,22634,2985,18936,2728,13890,2028,12683,1738,24498,2629,23626,2748,23659,2457,9476,1883,3991,844,2799,898,1882,709,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,113571,3016,18330,2591,7269,1793,7137,1373,7191,1575,6300,1543,7171,1684,6198,1506,5850,1381,7020,1650,9241,1631,10215,1896,9455,1714,6037,1422,2303,975,948,419,2906,795,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12522,892,1100,644,796,464,729,438,1104,634,615,387,715,374,729,448,666,348,1256,571,1244,555,897,435,1594,548,540,396,157,164,0,262,380,270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15540,1073,1056,492,958,644,592,361,1401,657,1695,749,410,349,700,431,1111,661,706,459,1958,808,670,437,1401,767,352,389,1317,710,553,350,660,410,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1129006,8236,116104,6150,79384,5791,84568,6263,88066,6234,83272,6193,81937,5439,67195,4982,67816,4501,61804,4876,88203,6207,105826,6175,98933,6356,46128,4085,20441,2536,19524,2364,19805,2610,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
