C08528_005E,C08528_005M,C08528_006E,C08528_006M,C08528_007E,C08528_007M,C08528_008E,C08528_008M,C08528_009E,C08528_009M,C08528_010E,C08528_010M,C08528_011E,C08528_011M,C08528_012E,C08528_012M,C08528_013E,C08528_013M,C08528_014E,C08528_014M,C08528_015E,C08528_015M,C08528_016E,C08528_016M,C08528_017E,C08528_017M,C08528_018E,C08528_018M,C08528_019E,C08528_019M,C08528_020E,C08528_020M,C08528_021E,C08528_021M,C08528_022E,C08528_022M,C08528_023E,C08528_023M,C08528_024E,C08528_024M,C08528_025E,C08528_025M,C08528_026E,C08528_026M,C08528_027E,C08528_027M,C08528_028E,C08528_028M,C08528_029E,C08528_029M,C08528_030E,C08528_030M,C08528_031E,C08528_031M,C08528_032E,C08528_032M,C08528_033E,C08528_033M,C08528_034E,C08528_034M,C08528_035E,C08528_035M,C08528_036E,C08528_036M,C08528_037E,C08528_037M,C08528_038E,C08528_038M,C08528_039E,C08528_039M,C08528_040E,C08528_040M,C08528_041E,C08528_041M,C08528_042E,C08528_042M,C08528_043E,C08528_043M,C08528_044E,C08528_044M,C08528_045E,C08528_045M,C08528_046E,C08528_046M,C08528_047E,C08528_047M,C08528_048E,C08528_048M,GEO_ID,C08528_001E,C08528_001M,C08528_002E,C08528_002M,C08528_003E,C08528_003M,C08528_004E,C08528_004M,C08528_005EA,C08528_005MA,C08528_006EA,C08528_006MA,C08528_007EA,C08528_007MA,C08528_008EA,C08528_008MA,C08528_009MA,C08528_009EA,C08528_010EA,C08528_010MA,C08528_011EA,C08528_011MA,C08528_012EA,C08528_012MA,C08528_013EA,C08528_013MA,C08528_014EA,C08528_014MA,C08528_015MA,C08528_015EA,C08528_016EA,C08528_016MA,C08528_017MA,C08528_017EA,C08528_018MA,C08528_018EA,C08528_019EA,C08528_019MA,C08528_020EA,C08528_020MA,C08528_021EA,C08528_021MA,C08528_022EA,C08528_022MA,C08528_023EA,C08528_023MA,C08528_024EA,C08528_024MA,C08528_025EA,C08528_025MA,C08528_026MA,C08528_026EA,C08528_027EA,C08528_027MA,C08528_028EA,C08528_028MA,C08528_029EA,C08528_029MA,C08528_030EA,C08528_030MA,C08528_031EA,C08528_031MA,C08528_032EA,C08528_032MA,C08528_033EA,C08528_033MA,C08528_034EA,C08528_034MA,C08528_035EA,C08528_035MA,C08528_036EA,C08528_036MA,C08528_037MA,C08528_037EA,C08528_038EA,C08528_038MA,C08528_039EA,C08528_039MA,C08528_040EA,C08528_040MA,C08528_041EA,C08528_041MA,C08528_042EA,C08528_042MA,C08528_043EA,C08528_043MA,C08528_044EA,C08528_044MA,C08528_045EA,C08528_045MA,C08528_046EA,C08528_046MA,C08528_047EA,C08528_047MA,C08528_048MA,C08528_048EA,NAME,C08528_001EA,C08528_001MA,C08528_002EA,C08528_002MA,C08528_003EA,C08528_003MA,C08528_004MA,C08528_004EA,state
93600,5345,71247,5049,121856,5945,4633,1044,1599861,17665,1151393,15942,98458,6030,119894,5960,81014,5458,64774,4702,81142,4684,3186,956,205436,9440,152246,8499,10973,1718,13452,1859,8768,1500,5150,1117,14350,2041,497,277,7827,1923,3384,977,850,507,1109,521,1219,852,158,143,1027,1090,80,126,45585,3770,32808,3406,2757,1053,1597,526,1922,662,778,443,5533,1309,190,244,43419,3740,20555,2413,980,422,336,209,677,426,387,301,19804,2527,680,348,0400000US01,1902128,16556,1360386,16367,114018,6766,136388,6168,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,01
25273,2092,29640,2506,24561,2393,619,272,201624,5975,112744,4697,19541,2181,17141,1671,15462,1669,24731,2366,11647,1612,358,206,44617,3248,25246,2899,4024,1035,3594,851,5037,1222,3641,940,2977,1015,98,142,3701,987,2731,896,340,210,43,75,500,373,0,268,87,143,0,268,36914,2837,18595,2318,4544,893,5485,770,4022,777,1248,418,3020,773,0,268,12067,1657,4284,885,274,175,244,179,252,152,20,35,6830,1384,163,165,0400000US02,298923,5561,163600,5305,28723,2558,26507,2127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,02
105627,5840,77372,4785,160256,7055,5406,1230,1932189,18646,1420753,17818,109347,6362,167600,7750,79392,4906,63181,4496,89469,4937,2447,774,363623,11781,274683,11116,16877,2018,25637,2803,14335,1968,9495,1940,21222,2663,1374,732,48737,5031,36119,4716,2840,1036,3813,1374,4047,1342,1085,585,833,494,0,268,107973,6340,75146,5820,6252,1661,8377,1453,6930,1291,3222,862,7977,1527,69,91,104022,5974,54223,3798,3321,1132,2895,1765,923,430,389,243,40755,4065,1516,669,0400000US04,2556544,15310,1860924,16715,138637,7362,208322,8690,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,04
83296,4382,33788,3073,87925,4132,3693,1001,980236,12802,686153,10139,67411,4335,68430,3868,70822,4252,31106,3044,54410,3258,1904,624,150065,7767,105317,5985,10364,1890,9028,1501,10312,1818,2355,753,12148,2088,541,405,3750,1331,2205,876,931,973,407,281,126,113,67,112,14,24,0,268,35555,3406,24470,2776,1558,605,1903,765,1598,720,199,148,5540,1141,287,256,31252,3349,12755,2274,831,408,393,255,438,275,61,83,15813,2176,961,474,0400000US05,1200858,12781,830900,11184,81095,4778,80161,4242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,05
543838,12995,396442,11471,1401227,22078,32199,3312,11508503,41760,8227143,40800,688551,17377,1051449,16665,389934,9352,315941,10964,820590,15491,14895,2066,1949509,26101,1434201,25111,107477,7205,132172,6816,64171,4792,44937,3774,160693,7909,5858,1418,733206,18253,545979,16138,54862,5279,39560,3163,35548,3171,16920,1983,39905,4675,432,297,693624,17713,485802,13206,47739,3454,38876,4065,32082,2879,14712,2117,72300,6832,2113,605,662513,13426,277951,8703,19523,2137,22364,2862,22103,2985,3932,1043,307739,9155,8901,1510,0400000US06,15547355,39306,10971076,42029,918152,20091,1284421,20282,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,06
74730,4476,79806,5038,174862,7477,6289,1452,1740733,15175,1266577,16314,121494,6461,140804,6679,53376,3505,64339,5081,91357,4889,2786,676,228894,10199,164497,9042,14113,1828,17838,2219,8821,1859,7520,1719,15479,2267,626,353,61559,4764,47629,4544,3270,811,2039,806,4452,828,2974,1038,1195,614,0,268,107948,5047,72352,4890,9677,1881,6154,1379,6819,1658,3037,826,8864,1505,1045,878,137031,6572,69126,4244,3759,849,1149,505,1262,604,1936,1099,57967,4973,1832,684,0400000US08,2276165,12672,1620181,16791,152313,7197,167984,7457,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,08
63816,4724,32392,3539,120512,6285,2320,733,1357015,16525,969892,15802,112378,5190,109635,5297,56795,4567,28274,3348,78989,5672,1052,473,137578,7316,100149,6292,13654,2610,7035,1414,4343,1245,2478,944,9516,1859,403,305,48737,4664,38369,4006,5557,1832,893,417,889,528,980,466,1725,1227,324,356,50770,4593,35465,3950,6915,1747,2002,761,1575,659,613,457,4158,1053,42,71,54183,3413,23778,2390,2876,808,645,328,214,221,47,79,26124,2710,499,247,0400000US09,1648283,15093,1167653,15830,141380,6500,120210,5670,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,09
27568,2972,8541,1444,21798,2832,780,429,328212,6410,245386,5650,24511,2667,15056,1705,23455,2955,7629,1284,11997,2002,178,213,42603,3539,32644,3166,3444,1031,1232,458,2848,1053,573,439,1687,754,175,134,7511,1408,6176,1232,600,400,212,202,325,292,0,268,198,172,0,268,12890,2269,8763,1728,1556,693,216,184,835,435,281,372,1071,478,168,164,14552,2167,6419,1244,635,304,231,192,105,115,58,95,6845,1422,259,275,0400000US10,405768,6661,299388,6147,30746,2929,16947,1883,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,10
9681,1534,203796,7786,25415,2688,101,119,290822,9233,131020,6346,43339,3512,20341,2562,4941,1202,77783,4544,13341,1797,57,93,86128,6647,34657,4077,11575,1936,4513,1663,1011,449,31439,3327,2933,963,0,268,243180,7521,97763,5334,43313,4127,8734,1720,3130,886,86770,5026,3470,1062,0,268,37828,2597,18981,1923,8450,1406,906,474,465,316,7471,1371,1511,647,44,73,11110,1973,4907,1197,1445,629,131,135,134,174,333,253,4160,1129,0,268,0400000US11,669068,13056,287328,9131,108122,5294,34625,3704,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,11
231160,8761,204027,7614,486414,14394,15660,1946,6145295,33344,4600519,34334,353402,10418,501674,11457,195879,7992,178915,7260,307873,10955,7033,1275,853275,18966,658090,16835,44442,3770,55549,4626,23099,3138,17190,2587,51626,4851,3279,1005,136085,8558,111518,7857,6070,1115,6892,1698,3111,964,2516,1384,5819,1311,159,129,260845,11012,203729,9779,13473,2506,9310,1820,7749,1957,4773,1142,21311,2699,500,282,279325,9541,162720,6604,7632,1992,2544,998,1322,518,633,370,99785,6541,4689,1092,0400000US12,7674825,26995,5736576,32394,425019,12133,575969,13373,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,12
