GEO_ID,B18010_001E,B18010_001M,B18010_002E,B18010_002M,B18010_003E,B18010_003M,B18010_004E,B18010_004M,B18010_005E,B18010_005M,B18010_006E,B18010_006M,B18010_007E,B18010_007M,B18010_008E,B18010_008M,B18010_009E,B18010_009M,B18010_010E,B18010_010M,B18010_011E,B18010_011M,B18010_012E,B18010_012M,B18010_013E,B18010_013M,B18010_014E,B18010_014M,B18010_015E,B18010_015M,B18010_016E,B18010_016M,B18010_017E,B18010_017M,B18010_018E,B18010_018M,B18010_019E,B18010_019M,B18010_020E,B18010_020M,B18010_021E,B18010_021M,B18010_022E,B18010_022M,B18010_023E,B18010_023M,B18010_024E,B18010_024M,B18010_025E,B18010_025M,B18010_026E,B18010_026M,B18010_027E,B18010_027M,B18010_028E,B18010_028M,B18010_029E,B18010_029M,B18010_030E,B18010_030M,B18010_031E,B18010_031M,B18010_032E,B18010_032M,B18010_033E,B18010_033M,B18010_034E,B18010_034M,B18010_035E,B18010_035M,B18010_036E,B18010_036M,B18010_037E,B18010_037M,B18010_038E,B18010_038M,B18010_039E,B18010_039M,NAME,B18010_001MA,B18010_001EA,B18010_002EA,B18010_002MA,B18010_003EA,B18010_003MA,B18010_004MA,B18010_004EA,B18010_005MA,B18010_005EA,B18010_006MA,B18010_006EA,B18010_007EA,B18010_007MA,B18010_008EA,B18010_008MA,B18010_009MA,B18010_009EA,B18010_010MA,B18010_010EA,B18010_011MA,B18010_011EA,B18010_012MA,B18010_012EA,B18010_013MA,B18010_013EA,B18010_014EA,B18010_014MA,B18010_015EA,B18010_015MA,B18010_016MA,B18010_016EA,B18010_017MA,B18010_017EA,B18010_018MA,B18010_018EA,B18010_019MA,B18010_019EA,B18010_020MA,B18010_020EA,B18010_021EA,B18010_021MA,B18010_022EA,B18010_022MA,B18010_023MA,B18010_023EA,B18010_024MA,B18010_024EA,B18010_025MA,B18010_025EA,B18010_026EA,B18010_026MA,B18010_027EA,B18010_027MA,B18010_028MA,B18010_028EA,B18010_029MA,B18010_029EA,B18010_030MA,B18010_030EA,B18010_031EA,B18010_031MA,B18010_032EA,B18010_032MA,B18010_033EA,B18010_033MA,B18010_034MA,B18010_034EA,B18010_035MA,B18010_035EA,B18010_036EA,B18010_036MA,B18010_037EA,B18010_037MA,B18010_038EA,B18010_038MA,B18010_039MA,B18010_039EA,state
0400000US13,2142658,5635,141880,6344,72874,4639,14194,2106,5473,1543,8721,1831,58680,4170,21118,2555,23059,2906,10419,1916,4084,1077,69006,4578,13128,2342,3621,1096,9507,1993,55878,4117,18570,2237,22838,2580,11100,2070,3370,1128,2000778,9554,990853,6727,200320,7284,43419,3468,156901,7130,790533,9831,166130,7706,285483,10816,173092,9719,165828,6315,1009925,6173,265727,9048,40983,3884,224744,8534,744198,10593,116518,7382,225487,8453,197150,7569,205043,6817,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,248610,2418,13608,2036,7248,1430,1996,747,423,361,1573,615,5252,1151,1048,457,3029,877,1042,423,133,111,6360,1265,1277,557,90,107,1187,523,5083,1169,1035,570,2743,979,959,427,346,207,235002,3392,117695,2552,27879,2218,5466,1081,22413,1863,89816,3012,8145,1787,40352,2957,25808,2474,15511,2235,117307,1800,34469,2438,3361,712,31108,2299,82838,2714,4344,1207,31454,2612,26904,2401,20136,1741,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,329626,2270,28602,3340,15702,2245,2126,600,853,468,1273,383,13576,2323,2969,813,6642,1644,3670,1178,295,265,12900,2305,2087,681,458,293,1629,654,10813,2318,2426,1122,4848,1623,3172,893,367,286,301024,4100,148939,2612,35793,2644,7589,1290,28204,2411,113146,2995,22588,2518,42839,3529,30721,2486,16998,1743,152085,2803,38732,2573,6144,1190,32588,2263,113353,3133,17115,2362,36474,2949,39013,2954,20751,2009,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2867723,3878,161699,7262,87392,5774,21071,2268,7131,1367,13940,1926,66321,4922,17774,2497,29775,3032,13052,1751,5720,1463,74307,4878,18050,2554,4923,1410,13127,2058,56257,4546,14555,2025,20031,2719,15320,2608,6351,1212,2706024,8071,1357781,6661,342163,8643,60236,4158,281927,8818,1015618,10128,163391,8054,334541,9543,261768,8626,255918,7588,1348243,5113,390402,9407,52783,3863,337619,8618,957841,10038,129238,7256,263363,8934,262745,7937,302495,7815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1355845,4048,105265,5613,53436,3953,9351,1464,4471,975,4880,1167,44085,3635,15096,2191,17938,2495,8779,1549,2272,729,51829,3362,9673,1462,3962,952,5711,1218,42156,3136,12929,1803,16176,1907,11236,2022,1815,770,1250580,6220,627111,4512,147118,5558,30150,2336,116968,5324,479993,7113,80799,5131,190078,7490,123405,4913,85711,5026,623469,3852,167246,5091,25945,2115,141301,4460,456223,5664,61674,4135,154557,6953,136348,6045,103644,4884,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,631480,2834,48340,3648,26025,2472,5317,1039,2347,736,2970,867,20708,2405,5649,1220,9019,1539,5124,1326,916,358,22315,2274,4648,972,1475,565,3173,842,17667,2039,3215,847,6838,1344,6315,1423,1299,551,583140,4667,293142,3059,72236,3215,15781,1605,56455,3381,220906,3869,25040,2722,79375,3974,68781,3099,47710,2986,289998,2954,86103,4207,13058,1456,73045,3804,203895,4243,18059,2624,53768,3513,70885,3207,61183,3682,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,613002,3627,41562,3554,21263,2552,3636,952,1733,640,1903,628,17627,2305,4188,1160,8619,1624,3863,964,957,397,20299,2184,3935,955,979,493,2956,890,16364,1888,3953,888,7338,1362,3726,1013,1347,509,571440,4584,286294,3336,79958,3725,14915,1494,65043,3930,206336,4425,30409,3091,68973,4572,63021,3645,43933,2833,285146,3210,84277,3787,11897,1386,72380,3691,200869,4453,23914,2539,61493,4006,60777,3300,54685,2493,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,906383,3720,93200,4754,44593,3743,6946,1500,2788,1063,4158,1084,37647,3086,13655,1961,14539,2254,7791,1926,1662,639,48607,3365,8843,1661,2072,741,6771,1498,39764,3187,11274,2148,18275,2240,8251,1888,1964,915,813183,5788,406993,4207,89976,5081,17066,1919,72910,4537,317017,5198,55482,4576,132802,4914,80124,4974,48609,2952,406190,4215,108896,4930,14621,1845,94275,4716,297294,5956,39779,3970,106344,5627,86682,4794,64489,3287,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1022664,4523,86330,5618,45879,3751,8872,1626,3694,1127,5178,1305,37007,3454,14632,2471,15636,2229,5066,1009,1673,664,40451,3373,6702,1117,2641,737,4061,891,33749,3355,11552,1721,11553,1811,7944,1728,2700,880,936334,6607,447833,5237,111100,5971,24500,2884,86600,5540,336733,6998,65983,4700,135638,7264,87568,5871,47544,3660,488501,4265,142949,6316,21545,2938,121404,6124,345552,7709,50656,4723,127112,7112,97412,5969,70372,3795,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,247034,1838,25396,2249,12942,1698,2285,819,671,372,1614,700,10657,1540,2484,667,6143,1322,1982,656,48,80,12454,1638,1848,574,357,205,1491,550,10606,1561,2131,639,5351,1010,2126,884,998,591,221638,2849,109249,2058,23070,2061,5779,1001,17291,2046,86179,2676,7254,1418,38693,2658,24662,2428,15570,1765,112389,1852,32608,2449,5103,990,27505,2221,79781,2273,5556,1157,27938,2529,26078,2255,20209,1680,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
