GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001MA,C19201_001EA,C19201_002MA,C19201_002EA,C19201_003EA,C19201_003MA,C19201_004EA,C19201_004MA,C19201_005MA,C19201_005EA,C19201_006MA,C19201_006EA,C19201_007MA,C19201_007EA,C19201_008EA,C19201_008MA,C19201_009EA,C19201_009MA,C19201_010EA,C19201_010MA,C19201_011MA,C19201_011EA,state
0400000US01,564967,11405,135913,5793,81188,4398,112481,5550,76459,4555,72133,4621,52220,4286,18778,2239,11483,1588,2290,760,2022,676,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76065,3726,9580,1427,6702,1290,10652,1509,9865,1444,11842,1547,14650,1701,5961,1235,4572,1024,1582,641,659,375,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,744553,14396,99964,5225,78885,5050,131691,6067,109204,5828,126378,5959,106165,6313,46994,4224,29097,2866,8786,1564,7389,1392,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,345098,7359,82869,4593,53563,3711,70697,3706,51301,3390,40637,3302,29184,2975,9668,1674,5164,1280,1070,499,945,363,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3816775,29783,519498,13236,363880,10897,542952,12731,431175,12055,552166,14267,628229,14739,325684,10016,273446,9017,92114,5921,87631,4748,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,654816,10994,85861,4415,61809,4757,112456,5394,92326,5263,109662,4514,106527,5125,44046,3222,28952,3036,7496,1211,5681,1502,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,430550,9271,58669,3720,44265,3536,64150,3422,55584,3904,64536,4833,72720,4356,33660,3007,23259,2446,6853,1397,6854,1510,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,101458,3814,12305,1460,9923,1194,18753,1811,14547,1965,16571,1836,15637,1847,7104,1145,4578,1020,1099,430,941,395,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,139730,4298,22248,2259,8600,1615,13539,2050,13930,2149,19592,2459,25670,2693,14125,1899,12556,1736,4525,1108,4945,1069,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2453997,24142,384303,11027,275702,8902,440090,10916,368908,11586,381035,12341,336956,9254,126816,6171,85950,5348,25767,2625,28470,3055,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1034922,14995,184289,7780,107186,5399,168362,6990,147369,7803,162841,7741,144741,6573,58811,4465,40482,3505,10503,1671,10338,1482,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124218,4615,17645,2077,11241,1633,16283,1948,16663,2043,20772,2441,21984,2520,8023,1269,7552,1466,2683,734,1372,636,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,159905,5192,29247,2825,20828,1914,33253,3322,23971,2514,23051,2186,18635,2250,5980,1176,3611,1015,697,360,632,322,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1564889,16197,236759,8701,170558,7109,263787,7340,216054,7779,242331,9804,236496,8602,95713,4935,64393,4632,19605,2456,19193,2633,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,803061,12199,129031,6250,103670,4974,160079,5800,131093,6272,121301,5500,95918,4006,34788,2812,19326,1799,4702,1124,3153,802,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,410701,7581,62459,3428,52696,2909,89854,4128,67118,3821,67410,3660,46890,3289,14216,1946,6689,1228,1485,417,1884,636,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,356097,7481,61194,3982,45504,3076,74009,4292,59484,3422,52885,3605,35789,2968,15016,1806,8639,1391,1516,778,2061,626,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,534655,10214,128377,5620,79389,4739,95809,4461,74680,4465,69902,4422,54270,3050,16280,1973,10740,1765,2579,1022,2629,679,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,539594,11246,136300,6068,74461,4487,102088,6284,66206,5218,69008,4700,53672,4091,18914,2623,12967,1944,2751,714,3227,1133,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,186689,6291,33883,2851,24807,2303,35131,2922,30935,2846,25507,2531,22900,2013,6365,955,4219,995,1109,557,1833,631,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
