GEO_ID,C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,NAME,C17003_001EA,C17003_001MA,C17003_002EA,C17003_002MA,C17003_003MA,C17003_003EA,C17003_004MA,C17003_004EA,C17003_005EA,C17003_005MA,C17003_006EA,C17003_006MA,C17003_007EA,C17003_007MA,C17003_008MA,C17003_008EA,C17003_009MA,C17003_009EA,C17003_010EA,C17003_010MA,C17003_011EA,C17003_011MA,state
0400000US01,2944634,4653,376131,12736,158294,7627,128378,7576,69939,5350,19520,2550,2568503,13325,422612,10762,813605,14110,721198,12811,611088,13688,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,387609,1667,33943,3225,6024,1134,15507,2000,10115,1602,2297,664,353666,3685,28710,2307,96595,3988,124917,4766,103444,3998,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703355,2933,385451,13850,139845,8940,113897,5830,93266,5523,38443,3753,3317904,13171,458687,11430,834999,15259,1115949,13995,908269,15008,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777242,3820,232686,8466,83545,4112,89351,5386,45500,3514,14290,2014,1544556,8414,253989,7868,542502,11122,427038,9734,321027,8588,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22299041,5730,2258561,39738,956621,24645,548497,18088,474606,13654,278837,12223,20040480,38626,3485577,37106,4319933,40307,5927847,41540,6307123,38396,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2964773,3383,249590,9246,76490,5276,71032,5503,67197,4280,34871,3389,2715183,9398,259310,9974,635641,15744,803926,13083,1016306,13515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2300565,1447,154715,8343,51004,4943,54049,4309,26510,2543,23152,3687,2145850,8704,227469,9167,621652,11897,516666,9197,780063,13407,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,551079,992,40811,3845,13822,2265,16449,2219,6987,1340,3553,943,510268,4012,65505,3992,165382,6036,131055,5330,148326,5809,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,371932,726,52858,3834,18444,1991,17096,2560,8562,1474,8756,1661,319074,3799,42635,3494,61068,4004,55819,3146,159552,4449,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11850782,6636,1200052,26561,408196,12021,414398,14679,251118,11100,126340,6960,10650730,28518,1417633,20835,3205225,33559,3175624,31958,2852248,31931,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5632169,7719,607692,15391,244093,10625,201624,7928,117231,6927,44744,3930,5024477,16516,726359,17854,1468061,23194,1345939,21122,1484118,22614,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,828917,1805,69107,4556,16513,2383,26045,3228,17297,1986,9252,1821,759810,5107,82446,3978,227071,7952,227904,6813,222389,6090,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,877031,1805,90038,4730,27214,2889,28742,2822,26049,2639,8033,1304,786993,5224,89212,4263,231251,7532,270190,7066,196340,7283,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8079881,3333,727116,18296,239154,9481,240508,11343,170086,8031,77368,4872,7352765,18341,914628,19801,2042523,20157,2111045,25840,2284569,20966,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3956723,3837,355480,12438,118111,6655,141584,6007,69580,4328,26205,2655,3601243,13138,462556,9710,1326758,13871,997258,12424,814671,13737,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1927018,2798,147007,5681,38755,3489,59854,4036,35444,2692,12954,1711,1780011,6302,162490,4650,632587,9831,539181,9563,445753,8107,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1725825,3170,146416,6256,42807,3804,52623,3822,37052,2907,13934,2217,1579409,7431,151606,5903,468087,10466,487688,9476,472028,9082,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2715805,3811,368799,11203,163598,8673,128344,7423,58385,4117,18472,2633,2347006,11470,407085,8777,813149,13981,621389,10927,505383,11011,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2791859,4729,412341,12869,168262,9140,149922,7820,74481,4935,19676,2463,2379518,13282,376238,11043,827707,15944,620866,12353,554707,12145,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,899536,1216,90272,4922,23587,2555,37811,2981,20472,2002,8402,1458,809264,5020,75457,3804,287494,7411,224378,5319,221935,6248,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3583616,3177,234505,11866,79399,7083,79723,5702,48364,4776,27019,3858,3349111,12124,385019,12503,875372,16030,877779,15330,1210941,16887,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4243260,2740,354590,12682,107670,7558,114967,7198,70770,5168,61183,4920,3888670,12675,401704,10282,1049099,18985,934892,14422,1502975,18319,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6454327,3337,627233,14624,186343,8651,227251,8485,161534,6550,52105,4343,5827094,15217,650839,13112,1799208,21401,1837646,18462,1539401,17058,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3292174,3075,225346,8284,59590,4679,78142,4259,60268,3848,27346,2770,3066828,9670,238950,7485,845410,9674,998956,10964,983512,13063,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1797084,4807,291685,9440,123705,6250,99429,6334,55986,5289,12565,1724,1505399,9908,263526,7830,476132,11678,442746,11537,322995,8863,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3729604,3097,371744,12467,125825,7026,137236,6620,80465,5189,28218,2774,3357860,12469,432147,11811,1112515,18220,946931,16168,866267,14746,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
