GEO_ID,B24021_001E,B24021_001M,B24021_002E,B24021_002M,B24021_003E,B24021_003M,B24021_004E,B24021_004M,B24021_005E,B24021_005M,B24021_006E,B24021_006M,B24021_007E,B24021_007M,B24021_008E,B24021_008M,B24021_009E,B24021_009M,B24021_010E,B24021_010M,B24021_011E,B24021_011M,B24021_012E,B24021_012M,B24021_013E,B24021_013M,B24021_014E,B24021_014M,B24021_015E,B24021_015M,B24021_016E,B24021_016M,B24021_017E,B24021_017M,B24021_018E,B24021_018M,B24021_019E,B24021_019M,B24021_020E,B24021_020M,B24021_021E,B24021_021M,B24021_022E,B24021_022M,B24021_023E,B24021_023M,B24021_024E,B24021_024M,B24021_025E,B24021_025M,B24021_026E,B24021_026M,B24021_027E,B24021_027M,B24021_028E,B24021_028M,B24021_029E,B24021_029M,B24021_030E,B24021_030M,B24021_031E,B24021_031M,B24021_032E,B24021_032M,B24021_033E,B24021_033M,B24021_034E,B24021_034M,B24021_035E,B24021_035M,B24021_036E,B24021_036M,B24021_037E,B24021_037M,NAME,B24021_001MA,B24021_001EA,B24021_002MA,B24021_002EA,B24021_003MA,B24021_003EA,B24021_004MA,B24021_004EA,B24021_005MA,B24021_005EA,B24021_006MA,B24021_006EA,B24021_007MA,B24021_007EA,B24021_008MA,B24021_008EA,B24021_009EA,B24021_009MA,B24021_010EA,B24021_010MA,B24021_011EA,B24021_011MA,B24021_012MA,B24021_012EA,B24021_013MA,B24021_013EA,B24021_014MA,B24021_014EA,B24021_015MA,B24021_015EA,B24021_016MA,B24021_016EA,B24021_017EA,B24021_017MA,B24021_018EA,B24021_018MA,B24021_019MA,B24021_019EA,B24021_020MA,B24021_020EA,B24021_021MA,B24021_021EA,B24021_022EA,B24021_022MA,B24021_023EA,B24021_023MA,B24021_024MA,B24021_024EA,B24021_025MA,B24021_025EA,B24021_026MA,B24021_026EA,B24021_027MA,B24021_027EA,B24021_028EA,B24021_028MA,B24021_029MA,B24021_029EA,B24021_030MA,B24021_030EA,B24021_031MA,B24021_031EA,B24021_032MA,B24021_032EA,B24021_033EA,B24021_033MA,B24021_034MA,B24021_034EA,B24021_035MA,B24021_035EA,B24021_036MA,B24021_036EA,B24021_037MA,B24021_037EA,state
0400000US01,32399,397,46819,708,51157,903,53818,3125,43487,2436,44700,956,57929,5017,60485,2512,51507,3151,32799,2280,54960,13024,37311,941,37182,4118,45290,1078,52348,1161,29907,1906,19866,602,19168,1225,35682,1550,32808,3535,36850,1925,15551,713,20882,1071,16231,996,27993,753,32608,1884,25834,491,26027,3508,32046,706,30241,1221,36303,1050,28759,832,28471,1081,29223,1372,38709,6826,32288,2192,23701,1701,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45011,1189,56109,2117,56584,3814,61100,2731,50966,2784,55621,3811,61589,8038,81360,13461,50701,6759,38868,2443,70763,8415,46631,2980,43218,13473,62024,4555,70201,8293,36825,11051,30052,2338,26954,3469,55066,8016,52069,8403,60338,12209,24205,2580,22487,6249,26694,7314,36710,1501,40829,3316,35689,1417,37145,20071,50163,3359,49127,7514,50439,3300,39364,3127,40987,2263,37721,4083,42571,24738,35825,7855,36411,12127,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36292,263,51392,488,53497,1715,60528,1118,45509,1402,49755,1331,56173,3021,63532,4158,50138,4781,33955,1459,66745,8920,37237,1385,43986,3126,52969,2722,62261,1972,35108,2602,23215,604,26413,875,40240,1296,33078,3083,42423,3598,17238,1016,18822,858,23120,1176,32711,601,39407,2081,30418,455,24571,2544,31991,734,30172,1055,38059,3021,30685,684,29615,1700,31385,852,49072,8518,32389,2147,26009,1627,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30372,287,41906,616,43793,2205,45085,2403,41556,2441,41117,812,52437,4500,53461,4258,45907,7077,31272,1371,50580,11642,34634,1778,32478,5530,44374,3241,55264,3131,29851,2073,19463,844,17424,1107,32531,1856,34463,6155,31983,2811,14592,984,19652,1264,16157,1559,26867,512,31691,973,25507,451,22239,1625,30596,840,27894,1674,33876,2109,27379,867,26937,892,28587,2128,41300,11149,32265,1869,23394,1696,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41595,123,62565,710,65668,615,71545,638,55422,898,61705,328,72660,1684,75324,1805,64725,3544,41723,975,94165,4292,48898,1439,51074,823,62202,664,75020,2161,40375,816,24320,390,27119,791,58486,3077,39052,3788,68318,2339,19775,551,21739,401,22428,485,36970,247,42351,657,34885,431,19795,972,37423,487,35712,513,41381,585,29607,698,27476,719,31179,561,47022,2172,35511,972,23923,748,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40417,358,53466,1274,54409,2190,58692,2608,49444,1725,52844,1223,68010,2909,71664,2717,52304,3835,38594,3403,63963,13150,40666,1412,42598,2300,51453,1179,60536,2008,34754,2068,25131,719,26782,1354,45531,2911,37179,3359,50702,1152,18650,1456,23887,1593,25064,1558,35220,569,41213,894,31983,390,20743,2585,36058,1067,32424,1991,40683,1452,31943,743,31636,1017,32177,1045,50871,5804,32999,1672,27323,3783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47476,869,66062,1070,71671,1021,78226,2353,61572,1619,61834,772,72418,2998,68418,2654,61319,5773,42639,3831,100001,0,52068,2095,47440,5558,66129,2602,72939,3791,51152,2060,31901,684,31280,828,58382,5075,50091,10876,61056,1481,23736,2031,30219,1847,31810,3097,40903,470,50524,960,37067,680,23254,20947,42403,1229,41872,747,44375,2830,36732,1152,36700,1201,36812,2320,50776,10607,38560,2509,28990,3972,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"100,000+",***,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41006,665,53147,2381,55910,3865,60760,3133,50427,3020,51872,1272,61074,5629,64580,10198,59735,9905,36932,3134,100001,0,44373,2387,48333,14134,57662,4364,62385,3213,42855,3202,26667,1182,25857,3322,35718,4247,27218,9682,53872,8067,21110,2449,25260,2904,26235,1156,35413,1529,41795,3991,32364,1644,21859,2093,38464,2075,37118,3416,40384,2455,34608,2643,33757,4082,35116,2852,48582,14428,34652,5546,33836,2924,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"100,000+",***,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50242,1333,64303,3130,69691,5193,71002,5898,65765,8378,61392,2508,64317,5550,64291,11190,70282,11019,41471,13960,100001,0,50088,6606,61898,8137,49426,15873,63534,13426,30281,19577,25630,1889,36039,11801,37595,11340,30324,6849,57552,4924,22171,2534,21852,1448,25634,2509,37381,1939,38084,3697,37175,2124,80488,0,34304,3616,33798,4395,35129,4386,37287,6700,27003,7417,41539,11174,27060,24775,50031,15683,35714,14768,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"100,000+",***,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33877,281,49044,793,51842,411,55624,1066,45744,788,45773,591,56448,1593,57015,1969,42469,1693,33495,1222,59177,6219,36525,692,37051,1661,50278,807,58599,2494,35617,1019,22903,442,22955,753,39782,1874,32338,2773,43907,1752,20113,618,20115,492,23145,875,31227,225,36445,553,28946,342,15845,1414,31029,382,28289,1077,35671,675,28046,747,27676,1147,28328,930,42281,4460,30934,810,21797,630,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
