GEO_ID,B17006_001E,B17006_001M,B17006_002E,B17006_002M,B17006_003E,B17006_003M,B17006_004E,B17006_004M,B17006_005E,B17006_005M,B17006_006E,B17006_006M,B17006_007E,B17006_007M,B17006_008E,B17006_008M,B17006_009E,B17006_009M,B17006_010E,B17006_010M,B17006_011E,B17006_011M,B17006_012E,B17006_012M,B17006_013E,B17006_013M,B17006_014E,B17006_014M,B17006_015E,B17006_015M,B17006_016E,B17006_016M,B17006_017E,B17006_017M,B17006_018E,B17006_018M,B17006_019E,B17006_019M,B17006_020E,B17006_020M,B17006_021E,B17006_021M,B17006_022E,B17006_022M,B17006_023E,B17006_023M,B17006_024E,B17006_024M,B17006_025E,B17006_025M,B17006_026E,B17006_026M,B17006_027E,B17006_027M,B17006_028E,B17006_028M,B17006_029E,B17006_029M,NAME,B17006_001MA,B17006_001EA,B17006_002EA,B17006_002MA,B17006_003EA,B17006_003MA,B17006_004EA,B17006_004MA,B17006_005EA,B17006_005MA,B17006_006MA,B17006_006EA,B17006_007MA,B17006_007EA,B17006_008MA,B17006_008EA,B17006_009MA,B17006_009EA,B17006_010EA,B17006_010MA,B17006_011EA,B17006_011MA,B17006_012MA,B17006_012EA,B17006_013MA,B17006_013EA,B17006_014MA,B17006_014EA,B17006_015MA,B17006_015EA,B17006_016MA,B17006_016EA,B17006_017EA,B17006_017MA,B17006_018EA,B17006_018MA,B17006_019EA,B17006_019MA,B17006_020MA,B17006_020EA,B17006_021MA,B17006_021EA,B17006_022MA,B17006_022EA,B17006_023EA,B17006_023MA,B17006_024EA,B17006_024MA,B17006_025MA,B17006_025EA,B17006_026MA,B17006_026EA,B17006_027EA,B17006_027MA,B17006_028EA,B17006_028MA,B17006_029EA,B17006_029MA,state
0400000US01,1065978,3146,261405,10879,64010,6195,20865,3129,2883,876,40262,4126,197395,9458,16435,3207,7179,2146,860,773,8396,1894,180960,10311,58964,4447,9761,1786,112235,8109,804573,11077,619973,11868,161482,5271,35546,3043,422945,8957,184600,11223,42092,4845,8761,1804,2078,894,31253,3991,142508,9853,32026,3348,7970,1495,102512,7986,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181314,1640,24922,3340,7324,2423,1910,516,416,212,4998,2175,17598,2741,3528,1287,1177,695,263,239,2088,837,14070,2554,3407,986,1116,552,9547,1979,156392,3577,120111,4614,33995,1971,7191,1327,78925,3876,36281,3905,11486,1762,2500,875,245,192,8741,1479,24795,3422,4864,1375,1149,495,18782,2521,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1536900,5884,306136,15546,115168,10213,42757,4730,6365,1556,66046,6631,190968,12043,26168,4607,9620,2103,986,572,15562,3482,164800,12228,56160,5901,10145,2010,98495,8218,1230764,15821,928180,18148,275952,8669,54927,3929,597301,13268,302584,14599,94575,8282,24812,3521,4847,1474,64916,6406,208009,11524,43947,4731,8192,1619,155870,8889,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,656216,3376,160107,8485,54067,5600,18930,3118,2923,712,32214,3482,106040,7709,10291,2300,2318,953,308,204,7665,1870,95749,7581,29915,3595,3901,968,61933,5652,496109,8184,380794,10083,105259,4091,19391,2302,256144,8072,115315,8112,32057,4079,9728,1832,2157,865,20172,2920,83258,6698,17115,2614,3992,1161,62151,5000,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9445835,13402,1721143,45497,764490,32115,228307,11414,47003,4804,489180,25043,956653,34330,151643,12956,52142,5877,10240,2544,89261,8661,805010,31198,237060,12162,44518,4285,523432,24695,7724692,47110,5934583,46151,1712517,19224,321006,10826,3901060,35514,1790109,32823,560782,22729,152570,9023,28644,3500,379568,16028,1229327,28632,253179,12543,50748,4298,925400,22379,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1157063,3691,160235,9682,59865,6998,22538,3237,4219,1376,33108,4722,100370,8954,13212,4224,3218,1240,328,278,9666,4041,87158,7706,31629,4140,5358,1248,50171,5097,996828,10683,789033,13869,231633,5457,45315,3515,512085,10875,207795,12592,70445,9003,16176,3655,3679,1511,50590,5942,137350,9478,29303,3669,7023,1518,101024,7217,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,815696,3132,90764,9188,23170,5239,7969,2091,1375,639,13826,4084,67594,7490,4238,1613,1732,966,330,374,2176,877,63356,7387,18630,3217,4440,1378,40286,5129,724932,8937,558931,8601,147890,3798,28613,2417,382428,6845,166001,8109,35045,4268,8476,1803,1254,549,25315,3333,130956,7950,23711,2855,6667,1446,100578,6917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190319,1354,26327,3299,7359,2179,2801,1029,264,211,4294,1391,18968,2809,1686,1295,875,874,0,262,811,548,17282,2993,5916,1516,715,474,10651,2435,163992,3427,119832,4464,33119,1952,6089,1103,80624,3523,44160,3794,11484,2074,3454,1179,1064,588,6966,1420,32676,3254,8188,1635,1095,781,23393,2770,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,109227,1110,34979,4381,3833,1538,1277,693,125,144,2431,1147,31146,4246,2551,1814,830,699,300,313,1421,1187,28595,4234,10429,1893,1627,599,16539,2873,74248,4516,35639,3221,14033,1883,2193,703,19413,2369,38609,4247,6401,1897,2241,993,472,409,3688,1233,32208,3847,7780,1578,951,453,23477,2819,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3949803,9216,693352,22911,208598,15502,65522,6672,12250,1993,130826,11580,484754,18338,55397,7991,22848,4191,3173,1081,29376,4592,429357,18863,135350,9727,23453,3176,270554,14133,3256451,24570,2355557,23574,661953,12092,127495,7281,1566109,18095,900894,21154,214086,12422,61127,5411,11807,2123,141152,9088,686808,19801,143390,7803,31628,3795,511790,16843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
