GEO_ID,C25073_001E,C25073_001M,C25073_002E,C25073_002M,C25073_003E,C25073_003M,C25073_004E,C25073_004M,C25073_005E,C25073_005M,C25073_006E,C25073_006M,C25073_007E,C25073_007M,C25073_008E,C25073_008M,C25073_009E,C25073_009M,C25073_010E,C25073_010M,C25073_011E,C25073_011M,C25073_012E,C25073_012M,C25073_013E,C25073_013M,C25073_014E,C25073_014M,C25073_015E,C25073_015M,C25073_016E,C25073_016M,C25073_017E,C25073_017M,C25073_018E,C25073_018M,C25073_019E,C25073_019M,C25073_020E,C25073_020M,C25073_021E,C25073_021M,NAME,C25073_001MA,C25073_001EA,C25073_002MA,C25073_002EA,C25073_003MA,C25073_003EA,C25073_004EA,C25073_004MA,C25073_005EA,C25073_005MA,C25073_006EA,C25073_006MA,C25073_007MA,C25073_007EA,C25073_008EA,C25073_008MA,C25073_009EA,C25073_009MA,C25073_010MA,C25073_010EA,C25073_011MA,C25073_011EA,C25073_012MA,C25073_012EA,C25073_013MA,C25073_013EA,C25073_014MA,C25073_014EA,C25073_015MA,C25073_015EA,C25073_016EA,C25073_016MA,C25073_017EA,C25073_017MA,C25073_018MA,C25073_018EA,C25073_019EA,C25073_019MA,C25073_020MA,C25073_020EA,C25073_021MA,C25073_021EA,state
0400000US01,527217,11869,204914,7352,86412,4881,73010,4986,45492,3767,88336,4750,44451,3645,36885,3025,7000,1449,123250,6500,65588,4990,50219,3935,7443,1458,48797,3627,26011,3153,20620,2369,2166,678,61920,4536,24597,3196,23605,2706,13718,1756,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86233,3244,27947,1961,12498,1355,9477,1431,5972,961,24895,2268,14453,1913,8753,1442,1689,554,18635,2103,8469,1484,7546,1319,2620,834,10611,1437,4512,896,5679,1313,420,227,4145,984,1627,643,1934,678,584,336,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701556,12519,217214,7595,97853,5670,89949,5541,29412,2798,97864,5409,47535,4121,45468,3817,4861,1240,189482,9755,96858,7236,85064,5896,7560,1775,147080,5657,68188,4909,72944,3762,5948,1508,49916,4332,22808,2874,19660,2632,7448,1463,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350717,8790,159318,6189,70371,4362,58116,3961,30831,2750,62665,4574,29972,2941,28863,2924,3830,1179,66766,4726,37234,3552,27780,3033,1752,686,23782,2588,11548,1554,10796,1799,1438,816,38186,3342,16711,2408,14715,2017,6760,1099,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5027756,31936,1654960,24210,691229,15736,831118,18794,132613,6880,839378,18741,379569,12466,435462,11830,24347,2969,1216856,18877,536882,15448,643460,13855,36514,3668,1206491,15716,514458,12272,642512,11894,49521,4841,110071,6468,47301,4495,45709,4409,17061,2453,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,585342,11059,198601,7312,82695,5386,93660,6075,22246,2557,75854,5243,37862,3475,35644,3643,2348,866,152480,6864,79153,4589,68100,4948,5227,1324,137110,5759,66655,4658,65879,4189,4576,1151,21297,2805,9486,2012,8817,1833,2994,833,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,403895,8863,70026,4880,30742,3381,27290,2816,11994,1723,151547,6740,73796,4558,70284,4995,7467,1907,88291,5169,46157,3435,39299,4152,2835,1297,91872,4167,44075,3516,43425,3386,4372,1185,2159,660,944,439,779,403,436,356,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87780,3942,33339,2640,15232,1964,14383,1976,3724,931,11116,1815,5608,1280,5153,1254,355,300,27156,2054,15014,1889,10864,1754,1278,630,10672,1286,5916,1248,4447,933,309,232,5497,1227,2240,797,2416,1013,841,436,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142695,3688,19588,2152,9416,1579,8593,1425,1579,560,23825,2339,11133,1709,11847,1753,845,444,38838,3043,19657,2518,17636,2085,1545,588,60387,2649,30062,2324,27947,2452,2378,679,57,97,57,97,0,286,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2144851,23516,657976,15927,268840,11538,317404,11204,71732,6191,349385,12453,153585,8243,178244,7523,17556,2916,568119,14180,251416,9767,295778,10197,20925,3059,431643,11577,167907,7493,243925,9431,19811,3063,137728,6727,62603,5028,55728,4377,19397,2562,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
