GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001MA,B14005_001EA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004EA,B14005_004MA,B14005_005MA,B14005_005EA,B14005_006MA,B14005_006EA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009EA,B14005_009MA,B14005_010MA,B14005_010EA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015MA,B14005_015EA,B14005_016MA,B14005_016EA,B14005_017MA,B14005_017EA,B14005_018EA,B14005_018MA,B14005_019EA,B14005_019MA,B14005_020MA,B14005_020EA,B14005_021MA,B14005_021EA,B14005_022MA,B14005_022EA,B14005_023EA,B14005_023MA,B14005_024EA,B14005_024MA,B14005_025MA,B14005_025EA,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028EA,B14005_028MA,B14005_029EA,B14005_029MA,state
0400000US13,469166,8729,240671,6584,183418,5544,48088,3003,19564,2200,115766,4898,57253,4167,28217,3093,18115,2410,5626,1357,4476,1091,29036,3043,13791,2194,5910,1284,9335,1618,228495,5828,185057,5747,56621,4183,18090,2604,110346,5483,43438,3628,23617,2715,12481,1856,3888,1017,7248,1644,19821,2610,5532,1364,4928,1434,9361,1880,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,60672,2202,31929,1589,25870,1777,6967,1246,1168,407,17735,1709,6059,1235,4925,1130,3380,1021,817,442,728,420,1134,485,415,346,78,104,641,416,28743,1573,23524,1543,8249,1144,1745,619,13530,1480,5219,943,4490,894,2648,867,713,467,1129,576,729,445,180,182,321,342,228,181,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,82517,2689,42211,2224,32698,2227,12568,1545,2923,983,17207,1893,9513,1784,5405,1062,4228,988,724,518,453,269,4108,1525,2939,1341,875,508,294,288,40306,1514,32088,1705,13268,1313,3012,758,15808,1566,8218,1370,5279,1038,3931,964,634,395,714,426,2939,909,1068,719,210,169,1661,757,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,657548,7025,335331,4420,282123,5351,95845,4994,28731,2406,157547,5481,53208,4137,28652,2999,16719,2048,5848,1314,6085,1676,24556,2941,10946,1830,4964,1333,8646,2002,322217,4712,272839,5619,98391,4569,27916,2966,146532,4949,49378,3593,29452,3190,16702,2488,4722,1399,8028,1762,19926,2611,4803,1451,5429,1467,9694,1758,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,315023,4492,163798,3246,132874,3749,47331,2837,14887,1784,70656,3213,30924,2509,17285,1872,12598,1503,2774,964,1913,715,13639,1947,6077,1190,3210,945,4352,1031,151225,3518,124929,4096,49868,2872,11382,1435,63679,3328,26296,2229,12463,1753,8238,1445,1706,676,2519,826,13833,1978,4801,1336,2552,721,6480,1429,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,147870,3627,79865,2473,68901,2934,34478,2473,5929,1207,28494,2080,10964,1495,6806,985,3898,761,1262,488,1646,702,4158,1071,1654,518,509,291,1995,878,68005,2608,59030,2580,30416,1812,4761,907,23853,1938,8975,1425,5075,949,3360,796,1200,548,515,290,3900,1068,2225,992,581,355,1094,460,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,142491,3249,72803,2849,61558,2789,26081,2135,5339,997,30138,2186,11245,1289,6366,1289,4379,1076,1333,555,654,378,4879,867,2520,629,1090,512,1269,523,69688,2172,58938,2484,29387,2222,5072,877,24479,1824,10750,1782,6864,1615,3869,1263,686,335,2309,816,3886,986,1061,510,1064,439,1761,657,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,203911,4467,107812,3811,84416,3390,28542,2462,5943,1103,49931,3009,23396,2665,13073,1573,7811,1378,2889,904,2373,800,10323,1923,4710,1187,2041,751,3572,1063,96099,3039,78238,3216,29208,2262,7257,1299,41773,2309,17861,1958,9833,1501,4148,851,2323,889,3362,1012,8028,1519,2419,870,1918,767,3691,893,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,253623,4849,132942,3926,104894,4227,25283,2373,8535,1567,71076,3412,28048,2797,15224,2148,9831,1793,3100,1052,2293,899,12824,1875,4559,1091,2857,793,5408,1361,120681,4062,99115,3838,26893,2801,10013,1738,62209,3357,21566,2218,13132,1988,7592,1458,2581,1510,2959,892,8434,1340,2245,935,1682,566,4507,958,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,66758,2350,33868,1351,27226,1555,10853,1132,2372,763,14001,1178,6642,1009,4463,802,3333,673,617,304,513,363,2179,588,560,303,1131,527,488,238,32890,1562,27602,1619,12746,1458,2283,730,12573,1521,5288,1116,3002,892,2232,898,290,245,480,243,2286,867,1278,661,298,168,710,516,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
