GEO_ID,B17019_001E,B17019_001M,B17019_002E,B17019_002M,B17019_003E,B17019_003M,B17019_004E,B17019_004M,B17019_005E,B17019_005M,B17019_006E,B17019_006M,B17019_007E,B17019_007M,B17019_008E,B17019_008M,B17019_009E,B17019_009M,B17019_010E,B17019_010M,B17019_011E,B17019_011M,B17019_012E,B17019_012M,B17019_013E,B17019_013M,B17019_014E,B17019_014M,B17019_015E,B17019_015M,B17019_016E,B17019_016M,B17019_017E,B17019_017M,B17019_018E,B17019_018M,B17019_019E,B17019_019M,B17019_020E,B17019_020M,B17019_021E,B17019_021M,B17019_022E,B17019_022M,B17019_023E,B17019_023M,NAME,B17019_001MA,B17019_001EA,B17019_002MA,B17019_002EA,B17019_003MA,B17019_003EA,B17019_004MA,B17019_004EA,B17019_005MA,B17019_005EA,B17019_006EA,B17019_006MA,B17019_007EA,B17019_007MA,B17019_008MA,B17019_008EA,B17019_009MA,B17019_009EA,B17019_010MA,B17019_010EA,B17019_011MA,B17019_011EA,B17019_012MA,B17019_012EA,B17019_013EA,B17019_013MA,B17019_014EA,B17019_014MA,B17019_015MA,B17019_015EA,B17019_016MA,B17019_016EA,B17019_017MA,B17019_017EA,B17019_018EA,B17019_018MA,B17019_019EA,B17019_019MA,B17019_020MA,B17019_020EA,B17019_021MA,B17019_021EA,B17019_022MA,B17019_022EA,B17019_023EA,B17019_023MA,state
0400000US01,1223725,12107,167857,7451,51803,4304,31202,3066,20601,2590,116054,6123,14187,2348,5813,1422,8374,1995,101867,5836,29135,3280,72732,5321,1055868,11879,839354,12087,731753,11421,107601,6076,216514,8572,56839,4071,36932,2814,19907,2612,159675,7718,100590,5075,59085,5074,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,4110,1011,2171,478,1939,854,8858,1340,1869,755,734,344,1135,629,6989,1213,2167,579,4822,1013,144219,3896,112243,3721,88334,3461,23909,1831,31976,2732,11304,1432,6442,1179,4862,989,20672,2356,12369,1685,8303,1520,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,65939,4404,33098,2948,32841,3199,92665,5147,15767,2345,6327,1503,9440,1587,76898,4846,21459,2547,55439,4779,1300856,13424,1012514,13510,857461,11935,155053,7668,288342,9478,94466,6107,54135,3755,40331,4573,193876,6957,117749,5594,76127,5523,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,38842,3070,20258,1906,18584,2259,60879,4015,8869,1678,4417,1127,4452,1311,52010,3848,12091,1477,39919,3439,642723,8963,516703,9085,438419,9199,78284,4226,126020,6721,37448,2959,20768,2236,16680,2131,88572,5383,54463,4291,34109,3306,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,372605,12436,125604,6919,247001,9840,477800,13770,91101,5874,23338,2693,67763,5087,386699,12438,70822,4609,315877,11035,7430714,33196,5638516,35492,4256696,30908,1381820,24329,1792198,22028,622772,15068,311728,10300,311044,11479,1169426,17304,589170,10653,580256,13714,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,39241,3411,19447,2374,19794,2686,57544,4424,9334,2240,3064,851,6270,1979,48210,3748,10843,1874,37367,3139,1067436,11611,868592,11797,748751,10482,119841,6018,198844,7621,70643,4738,40047,2855,30596,3619,128201,5541,76603,4290,51598,4323,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,16864,2562,8446,1601,8418,2034,38592,3755,3952,1391,1108,551,2844,1108,34640,3505,4150,1087,30490,3267,837832,10251,658280,9529,575251,8886,83029,5431,179552,6452,52443,4114,31308,2751,21135,3312,127109,5391,75957,4416,51152,4029,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,4927,1231,2708,800,2219,925,11589,1553,1408,646,550,341,858,543,10181,1522,2311,865,7870,1429,199666,4286,154711,4499,135034,4285,19677,2337,44955,3174,12604,1671,8118,1504,4486,1046,32351,2605,19297,2215,13054,1742,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,3086,890,806,441,2280,825,15073,2088,1535,704,0,286,1535,704,13538,1969,1754,728,11784,1801,90324,3841,51126,3254,35868,2518,15258,1948,39198,3171,8543,1591,4012,924,4531,1246,30655,2617,11850,1373,18805,2115,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,172052,8304,99986,5455,72066,5492,272985,8965,40462,4217,15324,2156,25138,3328,232523,8451,66323,4489,166200,7383,4149766,25646,3207221,23352,2709478,22935,497743,12717,942545,16940,282490,10060,159599,7343,122891,7848,660055,13887,405496,10074,254559,10525,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
