GEO_ID,B21001H_001E,B21001H_001M,B21001H_002E,B21001H_002M,B21001H_003E,B21001H_003M,B21001H_004E,B21001H_004M,B21001H_005E,B21001H_005M,B21001H_006E,B21001H_006M,B21001H_007E,B21001H_007M,B21001H_008E,B21001H_008M,B21001H_009E,B21001H_009M,B21001H_010E,B21001H_010M,B21001H_011E,B21001H_011M,B21001H_012E,B21001H_012M,B21001H_013E,B21001H_013M,B21001H_014E,B21001H_014M,B21001H_015E,B21001H_015M,B21001H_016E,B21001H_016M,B21001H_017E,B21001H_017M,B21001H_018E,B21001H_018M,B21001H_019E,B21001H_019M,B21001H_020E,B21001H_020M,B21001H_021E,B21001H_021M,B21001H_022E,B21001H_022M,B21001H_023E,B21001H_023M,B21001H_024E,B21001H_024M,B21001H_025E,B21001H_025M,B21001H_026E,B21001H_026M,B21001H_027E,B21001H_027M,B21001H_028E,B21001H_028M,B21001H_029E,B21001H_029M,B21001H_030E,B21001H_030M,B21001H_031E,B21001H_031M,B21001H_032E,B21001H_032M,B21001H_033E,B21001H_033M,NAME,B21001H_001EA,B21001H_001MA,B21001H_002EA,B21001H_002MA,B21001H_003MA,B21001H_003EA,B21001H_004MA,B21001H_004EA,B21001H_005EA,B21001H_005MA,B21001H_006MA,B21001H_006EA,B21001H_007EA,B21001H_007MA,B21001H_008EA,B21001H_008MA,B21001H_009MA,B21001H_009EA,B21001H_010EA,B21001H_010MA,B21001H_011MA,B21001H_011EA,B21001H_012EA,B21001H_012MA,B21001H_013EA,B21001H_013MA,B21001H_014MA,B21001H_014EA,B21001H_015MA,B21001H_015EA,B21001H_016EA,B21001H_016MA,B21001H_017MA,B21001H_017EA,B21001H_018EA,B21001H_018MA,B21001H_019EA,B21001H_019MA,B21001H_020MA,B21001H_020EA,B21001H_021MA,B21001H_021EA,B21001H_022MA,B21001H_022EA,B21001H_023EA,B21001H_023MA,B21001H_024EA,B21001H_024MA,B21001H_025MA,B21001H_025EA,B21001H_026MA,B21001H_026EA,B21001H_027MA,B21001H_027EA,B21001H_028MA,B21001H_028EA,B21001H_029MA,B21001H_029EA,B21001H_030EA,B21001H_030MA,B21001H_031EA,B21001H_031MA,B21001H_032MA,B21001H_032EA,B21001H_033MA,B21001H_033EA,state
0400000US01,2404371,2009,1157787,1793,322609,1840,17594,2378,305015,2676,452918,1385,77982,3709,374936,3701,185376,591,78198,2839,107178,2837,119991,685,71449,2114,48542,2080,76893,639,57914,1827,18979,1799,1246584,729,323970,1112,2757,988,321213,1489,463597,1196,9110,1630,454487,2085,198143,168,2650,690,195493,714,139586,328,1806,604,137780,704,121288,341,1944,558,119344,664,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,316100,971,161635,1026,44381,808,4848,1050,39533,1280,74255,648,20927,1939,53328,2014,27721,275,15455,1187,12266,1224,10222,384,6836,722,3386,683,5056,326,4254,377,802,257,154465,398,44033,253,1615,691,42418,733,72017,194,3804,837,68213,855,22904,193,423,246,22481,318,8986,197,299,237,8687,316,6525,218,217,176,6308,285,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2771763,2403,1342514,2122,350631,1951,25290,2951,325341,3250,496918,1395,94618,5976,402300,5841,214498,396,102525,3727,111973,3750,159694,243,99384,2788,60310,2805,120773,193,94807,1945,25966,1988,1429249,1237,348734,1227,5155,1152,343579,1656,506030,935,13175,1804,492855,1930,235139,605,4118,943,231021,1027,174272,440,3206,760,171066,919,165074,355,5430,1118,159644,1170,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1610463,1684,777082,1239,217089,1492,14995,1981,202094,2457,295887,1247,52444,3749,243443,3896,124579,360,54068,2713,70511,2740,84263,535,48481,2223,35782,2322,55264,425,38901,1637,16363,1622,833381,706,216096,825,2769,1047,213327,1250,303123,866,5476,952,297647,1317,133717,213,2124,709,131593,715,96955,228,1201,466,95754,500,83490,10,1838,528,81652,527,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12120932,6672,5892510,4689,1434820,4078,82754,4872,1352066,6208,2447378,2885,313433,8592,2133945,9516,977187,1083,407821,8058,569366,8046,554172,655,317991,5289,236181,5294,478953,429,352183,4284,126770,4279,6228422,4241,1440444,2869,16241,2300,1424203,3788,2432106,2598,35916,3031,2396190,4348,1010535,1231,12903,1844,997632,2048,622483,745,10241,1710,612242,1863,722854,744,24225,1845,698629,2010,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2531056,2053,1243677,1769,376776,1603,23109,2904,353667,3366,520335,1254,85741,4328,434594,4301,180798,316,85071,2780,95727,2801,97696,557,59463,1906,38233,2013,68072,580,51304,1328,16768,1186,1287379,1020,366238,941,5315,1064,360923,1468,525860,889,12173,1502,513687,1720,185199,243,3456,853,181743,911,106898,620,2358,999,104540,1129,103184,566,3254,768,99930,955,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1991494,2136,948943,1304,214968,859,11231,1770,203737,2032,413732,958,43936,3290,369796,3398,156471,104,62017,2725,94454,2720,81214,156,45105,1830,36109,1823,82558,274,60178,1761,22380,1761,1042551,1149,214736,700,764,384,213972,790,431222,778,5427,967,425795,1183,167180,172,2095,1022,165085,1024,99010,274,1039,417,97971,417,130403,88,3021,702,127382,698,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,450944,967,216168,841,56277,562,3690,1046,52587,1165,85585,500,13634,1412,71951,1477,34456,83,16907,1291,17549,1276,22589,262,13284,1026,9305,1026,17261,262,12982,739,4279,739,234776,360,57416,136,1180,626,56236,652,89115,287,2024,657,87091,722,37357,86,276,237,37081,251,25891,262,348,242,25543,242,24997,262,567,309,24430,309,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,136081,1094,66828,674,25003,387,1208,599,23795,728,25107,513,1763,747,23344,855,9155,99,2380,563,6775,553,4533,286,2411,444,2122,444,3030,286,1938,374,1092,374,69253,619,29626,567,169,223,29457,591,21017,98,208,271,20809,286,9374,213,42,70,9332,222,4331,286,0,286,4331,286,4905,286,0,286,4905,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8651114,5751,4150555,4180,926071,3029,63548,3825,862523,4728,1518320,2787,276834,7758,1241486,8027,680656,936,326050,6980,354606,6927,539206,759,324510,6407,214696,6476,486302,362,366048,4373,120254,4457,4500559,2575,938203,2095,11004,1633,927199,2777,1551450,1774,34326,2556,1517124,3202,745404,1039,11415,1733,733989,2064,599408,686,9827,1527,589581,1700,666094,191,21709,2431,644385,2447,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
