GEO_ID,C11009_001E,C11009_001M,C11009_002E,C11009_002M,C11009_003E,C11009_003M,C11009_004E,C11009_004M,C11009_005E,C11009_005M,C11009_006E,C11009_006M,C11009_007E,C11009_007M,C11009_008E,C11009_008M,C11009_009E,C11009_009M,C11009_010E,C11009_010M,C11009_011E,C11009_011M,NAME,C11009_001EA,C11009_001MA,C11009_002MA,C11009_002EA,C11009_003MA,C11009_003EA,C11009_004MA,C11009_004EA,C11009_005EA,C11009_005MA,C11009_006EA,C11009_006MA,C11009_007MA,C11009_007EA,C11009_008MA,C11009_008EA,C11009_009MA,C11009_009EA,C11009_010EA,C11009_010MA,C11009_011EA,C11009_011MA,state
0400000US01,1788692,9253,1223725,12107,28592,3484,25271,3537,3321,802,1195133,12192,564967,11405,31349,3162,26068,2695,5281,1346,533618,11168,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,157187,3442,7361,1317,6952,1241,409,263,149826,3517,76065,3726,11888,1697,10653,1660,1235,501,64177,3504,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1459460,12957,62039,5473,57438,5287,4601,892,1397421,13470,744553,14396,83186,6223,70856,5590,12330,1922,661367,13467,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,742444,9416,23001,3124,20011,2999,2990,920,719443,9570,345098,7359,25273,2940,22373,2800,2900,709,319825,7584,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,8281119,30567,326472,11103,288769,11084,37703,3506,7954647,32630,3816775,29783,396582,11771,326513,11567,70069,4221,3420193,27168,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1164221,11318,34666,3515,30162,3281,4504,1297,1129555,10942,654816,10994,65915,4499,54504,4313,11411,1902,588901,11101,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,893288,9593,28242,2713,23983,2509,4259,1306,865046,9292,430550,9271,42441,3989,36526,3740,5915,1540,388109,8779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,216182,4310,8707,1544,8114,1463,593,357,207475,4471,101458,3814,11115,1637,9621,1603,1494,412,90343,3824,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,108483,3810,4338,1094,3746,1055,592,381,104145,3813,139730,4298,9699,1284,6871,1126,2828,623,130031,4416,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4594803,24867,174046,7973,158417,7516,15629,1911,4420757,25794,2453997,24142,259479,8859,220179,8706,39300,2691,2194518,24397,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
