GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001MA,B12002I_001EA,B12002I_002MA,B12002I_002EA,B12002I_003EA,B12002I_003MA,B12002I_004EA,B12002I_004MA,B12002I_005MA,B12002I_005EA,B12002I_006MA,B12002I_006EA,B12002I_007MA,B12002I_007EA,B12002I_008MA,B12002I_008EA,B12002I_009EA,B12002I_009MA,B12002I_010EA,B12002I_010MA,B12002I_011MA,B12002I_011EA,B12002I_012MA,B12002I_012EA,B12002I_013MA,B12002I_013EA,state
0400000US01,68905,1823,40343,1615,16322,1946,20881,1743,986,519,191,192,1963,698,28562,1461,8235,1145,15302,1644,1199,526,1703,931,2123,791,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20231,402,10007,836,3606,951,5406,856,143,169,0,233,852,497,10224,888,2796,850,5571,953,157,159,407,256,1293,778,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1126702,684,581343,666,221113,6899,298835,8068,14374,2950,7675,1818,39346,4084,545359,681,174261,6538,271043,7926,20912,2439,25405,2067,53738,4635,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85205,1685,45933,1734,16373,1842,24238,2084,1272,523,1415,887,2635,1076,39272,1532,9532,1531,22803,1713,2213,850,2071,825,2653,962,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8662628,1067,4402075,1924,1748609,16786,2277354,19413,104100,6808,53090,3998,218922,9367,4260553,1906,1430780,17503,2079788,21223,191732,9687,227372,7813,330881,11615,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,618025,775,324030,1049,111542,4535,170284,6004,8357,1954,5163,1066,28684,3424,293995,1249,84962,4503,148598,4957,13095,2128,18197,1924,29143,3149,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,265033,456,130989,639,52826,2722,62771,2891,4520,1375,1015,430,9857,1618,134044,678,47534,2761,56877,3443,7550,1651,6202,1184,15881,2160,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,34604,478,18823,387,6193,858,10852,1099,943,486,131,129,704,446,15781,352,4811,915,7885,1004,1615,642,297,250,1173,583,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34451,402,18827,384,9370,1668,7277,1538,934,562,151,155,1095,524,15624,275,6955,1283,5874,1393,875,534,466,368,1454,540,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2636409,2120,1315404,2541,432118,8515,721446,7924,36551,4230,19434,2629,105855,5834,1321005,2413,331779,8118,656803,10558,57301,5438,99287,5520,175835,7445,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,434952,3164,258040,3301,100137,6294,137032,6732,6912,1570,2047,971,11912,2802,176912,2471,45020,3667,103771,4558,7099,1503,8443,2046,12579,2461,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,64262,0,32507,507,14184,1495,15081,1574,648,465,280,203,2314,827,31755,506,11372,1234,15027,1473,822,539,1528,560,3006,897,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,84786,947,44024,916,15988,1663,24384,1883,562,386,376,252,2714,933,40762,1085,11966,1597,22237,1698,2033,730,1080,444,3446,876,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1257688,1716,670900,1860,262379,6668,355441,7351,14297,2407,7913,1771,30870,3376,586788,1967,188202,6510,306712,6970,25632,3095,24470,2799,41772,4051,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,190752,1960,105721,1989,39065,2958,57900,2962,2039,593,877,474,5840,1241,85031,1367,25244,2363,45427,2585,4016,1098,3116,759,7228,1371,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,70525,1264,39051,1119,15076,1358,19856,1357,1321,835,205,199,2593,982,31474,1203,8497,1332,18430,1368,1086,423,1635,652,1826,487,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,152973,944,81166,1530,27811,2434,42847,2637,3155,1276,762,467,6591,1568,71807,1314,19871,1867,38351,1911,4400,1150,3735,850,5450,1132,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,48895,1836,30100,1791,11562,1492,15678,1622,675,348,562,386,1623,642,18795,1178,5160,1000,10650,1164,1010,602,824,369,1151,631,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,96148,1385,48899,1870,17317,1742,25374,2113,1062,527,1024,572,4122,1201,47249,1617,12620,1755,22209,1968,2233,904,4368,864,5819,1190,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,9112,734,4572,715,1631,560,1984,615,205,208,224,214,528,365,4540,518,1459,589,2119,548,126,137,344,288,492,266,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,228323,1466,120226,1399,50354,3383,60985,3534,3002,1064,1066,623,4819,1295,108097,1124,34940,2232,52885,2622,4548,1168,4337,1113,11387,1699,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,347041,888,169289,997,78207,4097,70433,4281,7297,1955,2096,732,11256,2459,177752,1087,78041,4359,58716,3848,15508,2110,7094,1214,18393,2571,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,258355,1186,135180,1293,55695,2812,65602,2709,3242,837,1642,504,8999,1506,123175,1312,39307,2442,63508,2688,4545,1369,5225,990,10590,1678,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,122772,1616,67010,1609,28725,2441,32734,2017,2123,823,664,370,2764,833,55762,1351,18065,1871,27523,1896,3208,898,2301,767,4665,1022,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,33950,2376,20194,2281,8457,1540,9456,1335,640,430,78,121,1563,708,13756,1421,3759,933,6607,1253,931,610,1193,490,1266,461,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,104313,1718,56347,1709,18723,1799,31781,2051,1353,647,823,486,3667,1070,47966,1491,12376,1398,27926,1654,1871,730,1610,668,4183,1025,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,13716,986,6360,888,2272,621,3321,864,0,231,60,119,707,451,7356,982,2350,757,3805,771,57,97,339,292,805,519,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,81412,870,45349,1220,16909,1605,24506,1804,1452,533,329,269,2153,749,36063,1201,9957,1518,20822,1462,1272,556,1427,609,2585,649,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,383259,630,204779,736,70984,3197,112039,3832,4618,1587,1804,778,15334,2302,178480,793,48683,3328,97702,3820,6543,1376,8287,1710,17265,2380,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19480,1049,9507,828,4039,1279,4503,1168,105,185,0,253,860,673,9973,709,2913,870,4269,1129,689,763,593,383,1509,729,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,966821,583,486759,1407,193256,5903,236946,6819,17814,3177,6254,1609,32489,3291,480062,1494,154278,6402,212485,7374,31947,3723,27678,3172,53674,4206,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,612306,905,299719,1213,106537,3974,151507,4911,6422,1702,6596,1178,28657,2849,312587,1052,94545,3958,148176,4933,7869,1436,24516,2442,37481,3610,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2264762,1155,1098896,1740,470012,8272,498195,9301,39662,3759,15407,2526,75620,5377,1165866,1723,417545,9212,445710,9550,98792,6892,78209,4305,125610,6660,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,367864,3044,217186,3285,89537,4432,112724,4196,7900,1867,1692,684,5333,1279,150678,2716,48136,3261,82652,3883,8726,1821,4051,1166,7113,1375,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
