GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002MA,B16009_002EA,B16009_003MA,B16009_003EA,B16009_004EA,B16009_004MA,B16009_005EA,B16009_005MA,B16009_006EA,B16009_006MA,B16009_007EA,B16009_007MA,B16009_008EA,B16009_008MA,B16009_009EA,B16009_009MA,B16009_010EA,B16009_010MA,B16009_011EA,B16009_011MA,B16009_012EA,B16009_012MA,B16009_013EA,B16009_013MA,B16009_014EA,B16009_014MA,B16009_015MA,B16009_015EA,B16009_016MA,B16009_016EA,B16009_017EA,B16009_017MA,B16009_018EA,B16009_018MA,B16009_019EA,B16009_019MA,B16009_020MA,B16009_020EA,B16009_021MA,B16009_021EA,B16009_022MA,B16009_022EA,B16009_023EA,B16009_023MA,B16009_024EA,B16009_024MA,B16009_025MA,B16009_025EA,B16009_026MA,B16009_026EA,B16009_027MA,B16009_027EA,state
0400000US01,4140497,3486,667250,21101,179502,9014,169623,9285,7882,1649,880,644,966,591,151,193,487748,15159,462648,14897,16601,2488,4651,1594,2192,885,1656,1100,3473247,21186,604145,8971,579813,8852,15610,2589,4863,1533,2526,607,1333,872,2869102,15285,2756061,15676,59573,4055,30278,3343,16997,1807,6193,2424,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,589728,1283,64772,5896,20129,2816,16824,2152,501,629,0,233,1042,1200,1762,507,44643,3974,35593,3172,1370,982,460,303,849,698,6371,1143,524956,6151,115373,3164,102315,2713,3311,1224,1535,646,3269,1032,4943,782,409583,3929,354842,4337,10592,1410,8647,1791,17993,1516,17509,1851,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5349443,5151,715471,23234,206121,10613,99993,7106,90289,8192,2072,1170,1334,601,12433,2325,509350,15982,279399,12393,168348,10818,11286,2258,8274,1959,42043,4508,4633972,24178,887371,11647,673479,12293,186221,8886,10178,2001,8129,1698,9364,1950,3746601,16043,2832451,16407,699342,13672,83916,6196,56872,3429,74020,5265,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2506764,3006,410679,14248,113347,6313,102925,6561,8432,1720,1026,642,503,482,461,554,297332,10279,277795,10095,15976,2422,1189,560,1759,985,613,543,2096085,14700,364320,6696,339757,7215,19946,1853,2536,1018,1696,504,385,305,1731765,10403,1637149,11312,62848,3623,16799,2544,12554,1772,2415,1187,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32485775,9821,4155765,77712,1249138,37099,447823,19446,684180,26482,31589,5363,77177,7430,8369,2380,2906627,50604,1278489,26689,1186964,29028,115576,8365,297832,19644,27766,5732,28330010,77549,5613011,37000,3384515,31415,1672764,28880,169143,10133,345429,12030,41160,6049,22716999,50611,13632044,59156,5602885,41671,1061211,25947,2227940,27745,192919,11774,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4215445,2871,446721,16160,108201,7023,74508,5799,28983,5155,2658,1219,1523,916,529,465,338520,11687,243669,9252,72083,5891,9729,2347,9047,1680,3992,1295,3768724,16679,721163,7658,607288,8632,88747,5746,12446,2107,9904,1746,2778,1082,3047561,11538,2573599,12727,324300,10712,78347,5851,53400,3839,17915,2687,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3175512,2156,253077,14630,66578,6858,43879,5521,17063,2990,4460,1880,1176,746,0,274,186499,9938,122969,7411,40527,5227,18285,3077,4093,1389,625,548,2922435,14372,545073,6627,461725,6829,50463,3846,24595,3139,6671,1305,1619,1005,2377362,9963,1944338,12984,183541,6790,191087,9546,45955,3589,12441,2149,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,760721,973,75219,5809,18188,2756,14570,2481,3260,1124,145,173,59,96,154,258,57031,4218,45582,3727,8596,1927,1615,759,610,476,628,577,685502,5775,119409,2741,106507,2955,8282,1648,2336,863,1531,486,753,674,566093,4184,506250,4388,26920,2606,20251,2715,9096,1391,3576,1313,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,476547,657,85081,6502,22774,3236,20742,3176,1616,918,139,163,123,201,154,259,62307,4248,52515,3922,6477,1567,1517,588,986,633,812,648,391466,6420,50194,3212,42529,3156,5452,1191,888,505,1005,953,320,283,341272,4253,286011,4215,28566,2451,15595,2337,6692,1469,4408,1296,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16218691,6834,1990661,42812,489442,17361,331598,14289,120820,8027,31611,6122,2524,867,2889,1832,1501219,31190,991898,20986,384685,15999,97330,7068,16311,3090,10995,2779,14228030,44636,2393588,18868,1825939,21296,437526,12729,94813,7082,25454,2940,9856,2417,11834442,31389,8948261,30630,2063973,20645,595743,17136,164637,6952,61828,6612,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
