GEO_ID,B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,NAME,B11001G_001MA,B11001G_001EA,B11001G_002EA,B11001G_002MA,B11001G_003EA,B11001G_003MA,B11001G_004EA,B11001G_004MA,B11001G_005MA,B11001G_005EA,B11001G_006MA,B11001G_006EA,B11001G_007EA,B11001G_007MA,B11001G_008EA,B11001G_008MA,B11001G_009EA,B11001G_009MA,state
0400000US01,16382,1899,9625,1172,6113,997,3512,850,935,488,2577,726,6757,1334,5764,1114,993,686,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10526,1503,6474,1089,3831,722,2643,849,1200,492,1443,575,4052,938,3252,866,800,440,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29438,2422,18822,1976,12942,1599,5880,1341,1657,589,4223,1092,10616,1660,8333,1561,2283,875,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11161,1526,7989,1348,5286,1131,2703,816,578,390,2125,770,3172,966,2583,874,589,354,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,239780,7835,152538,5572,97644,4369,54894,3610,16170,1835,38724,3128,87242,4965,62660,4460,24582,2900,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28032,2589,17000,1845,11220,1551,5780,1119,1003,484,4777,1057,11032,1632,8290,1344,2742,919,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13854,1893,8418,1483,4152,845,4266,1247,434,324,3832,1214,5436,1168,4113,1036,1323,589,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2740,556,1814,466,1282,424,532,241,209,164,323,209,926,411,808,388,118,123,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3243,1027,1115,483,437,287,678,398,96,112,582,381,2128,896,1874,846,254,239,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,79048,4612,51106,3844,33015,3288,18091,2350,4749,932,13342,2226,27942,2787,22426,2461,5516,1283,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31369,3374,19619,2922,12667,2251,6952,1582,1594,828,5358,1148,11750,1629,10089,1548,1661,502,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55963,3563,43718,3382,28256,2656,15462,2145,3608,1121,11854,1937,12245,1746,7786,1316,4459,1145,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7304,1570,4370,983,3050,802,1320,531,536,341,784,440,2934,1150,2273,1012,661,468,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42065,3027,26108,2400,17283,2181,8825,1523,1721,658,7104,1427,15957,2483,12043,1804,3914,1340,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,22555,2199,14879,1980,8579,1459,6300,1414,2049,895,4251,1106,7676,1332,4944,1038,2732,1130,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8003,1364,4253,922,3043,813,1210,516,259,210,951,471,3750,1014,3044,890,706,449,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,14954,1489,9422,1362,6554,1128,2868,719,389,251,2479,673,5532,1068,4017,922,1515,677,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,11684,1664,6945,1291,4596,1236,2349,638,654,426,1695,561,4739,1359,3745,1085,994,706,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,14188,1914,9782,1502,6384,1076,3398,1008,647,413,2751,921,4406,1126,4160,1031,246,242,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5078,912,3207,814,2233,671,974,479,463,368,511,310,1871,546,1415,480,456,308,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,23400,2745,14926,1816,8710,1518,6216,1023,1203,460,5013,1022,8474,2040,6524,1758,1950,893,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,21264,2285,13238,1845,7952,1423,5286,1351,1344,694,3942,1090,8026,1482,5840,1210,2186,822,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,38975,2659,25982,2304,15638,1831,10344,1879,3005,1114,7339,1553,12993,1613,9918,1386,3075,852,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,14491,1705,9928,1358,5158,915,4770,1125,661,396,4109,1097,4563,996,3467,933,1096,370,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7133,1668,5589,1441,3512,1024,2077,1035,401,477,1676,950,1544,790,1397,729,147,157,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,24564,1938,14992,1415,10765,1327,4227,886,977,477,3250,736,9572,1612,7275,1328,2297,831,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4176,744,2410,606,1597,491,813,468,232,184,581,416,1766,668,1322,611,444,261,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,5216,1068,3218,947,1493,559,1725,753,124,115,1601,739,1998,647,1620,662,378,264,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,15973,1990,8791,1559,4735,920,4056,1179,1388,975,2668,848,7182,1542,5819,1276,1363,686,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3157,756,2332,669,1779,521,553,337,208,166,345,302,825,441,546,344,279,276,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,28542,3265,18504,2574,11235,1943,7269,1641,1509,636,5760,1436,10038,1917,7252,1466,2786,1346,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,14230,1962,8770,1414,5138,1046,3632,1078,1455,554,2177,971,5460,1311,4579,1348,881,463,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,75905,4711,44592,3032,23693,2153,20899,2424,5022,1198,15877,2097,31313,3457,23869,2580,7444,1884,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,33643,2983,21533,2894,12136,2141,9397,2148,1956,881,7441,1775,12110,1683,9920,1438,2190,1086,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1411,555,544,224,322,173,222,178,11,19,211,184,867,475,666,382,201,280,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,42200,3810,26291,2975,16552,2391,9739,1601,2266,793,7473,1298,15909,2411,12343,2149,3566,1098,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,64386,3456,42244,2960,26963,2368,15281,2110,4302,1178,10979,1762,22142,2647,16842,2128,5300,1432,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,27680,2403,18479,2175,11861,1640,6618,1395,1610,705,5008,1205,9201,1623,7167,1406,2034,756,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,30416,2045,18141,1839,9436,1222,8705,1489,1875,778,6830,1238,12275,1565,9982,1410,2293,770,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,4109,1047,2639,914,1113,507,1526,727,471,411,1055,573,1470,670,634,436,836,525,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,12517,2057,7547,1465,4410,862,3137,1034,984,562,2153,765,4970,1417,4101,1224,869,684,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2285,673,1780,598,1278,565,502,253,176,158,326,220,505,335,468,331,37,60,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,18994,2480,11892,1787,7672,1426,4220,794,1238,493,2982,855,7102,1468,6081,1389,1021,488,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,94441,4981,61499,3753,43243,2883,18256,2240,4218,940,14038,2077,32942,3301,26258,3118,6684,1656,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,6380,1161,4637,951,3265,751,1372,557,319,282,1053,500,1743,574,1431,518,312,219,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3216,500,2064,517,1292,386,772,362,72,70,700,363,1152,343,776,301,376,243,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,31658,3438,20623,2829,13915,2163,6708,1700,1962,823,4746,1373,11035,2087,8450,1868,2585,828,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,55152,3892,33983,2850,18464,2200,15519,2092,2667,728,12852,2041,21169,2778,14479,2029,6690,1577,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,5335,790,3736,726,2387,675,1349,519,389,242,960,415,1599,546,1301,487,298,268,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,14196,1523,8390,1052,4914,778,3476,857,933,568,2543,687,5806,1209,4023,932,1783,746,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,2470,619,1079,390,807,301,272,239,0,258,272,239,1391,529,915,435,476,379,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,58686,3577,44754,3110,25451,2070,19303,2080,3835,1010,15468,1842,13932,1957,11233,1648,2699,942,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
