GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002MA,B19126_002EA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005EA,B19126_005MA,B19126_006MA,B19126_006EA,B19126_007MA,B19126_007EA,B19126_008MA,B19126_008EA,B19126_009EA,B19126_009MA,B19126_010EA,B19126_010MA,B19126_011MA,B19126_011EA,state
0400000US01,46086,694,56480,685,60476,1106,54200,906,22251,708,31916,2274,28397,2622,35379,4039,20652,796,15978,903,28073,2092,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,67084,2192,77825,2683,79976,4668,76236,3052,35070,3283,46321,4344,39849,11683,53555,6509,31260,3447,27816,3912,39351,5558,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,51458,583,61399,767,64615,1618,59272,1210,31572,836,38681,3211,33546,2578,47647,3482,28836,1358,24183,1215,38896,2066,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43134,747,51439,604,55474,1752,49073,1190,23929,903,29248,1936,26488,2549,33454,2975,21961,1278,17399,1074,30324,2677,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,61476,280,73350,493,71830,674,74889,584,36794,478,45289,940,37390,1475,52901,1803,32974,602,25540,610,46119,850,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,62470,758,72006,850,72616,1423,71538,1037,32412,1077,44215,3174,41393,3613,47369,3717,28572,1291,24195,1377,40872,1834,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,75541,1039,87508,1201,94527,1972,81608,1306,41252,1354,57653,3978,52378,7702,58644,1826,36712,1831,28385,2300,51302,2404,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,63863,1969,74339,2104,78356,3364,71435,2497,36902,1956,44072,4419,40557,6916,47389,6190,33809,2611,27993,2139,47572,6576,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,51411,4400,96206,6103,100970,13637,94693,5878,29926,1682,36013,3346,30617,4736,41232,7794,28170,2351,22487,2975,40049,7244,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,50465,334,60210,434,66469,814,56156,609,30646,525,38042,1513,33124,1615,42906,1889,27585,665,23509,559,35704,824,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
