GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001MA,C17016_001EA,C17016_002MA,C17016_002EA,C17016_003EA,C17016_003MA,C17016_004EA,C17016_004MA,C17016_005MA,C17016_005EA,C17016_006MA,C17016_006EA,C17016_007MA,C17016_007EA,C17016_008MA,C17016_008EA,C17016_009EA,C17016_009MA,state
0400000US01,1223725,12107,167857,7451,31959,3738,59088,4375,76810,5567,1055868,11879,587992,10463,205153,6508,262723,6356,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,940,388,7203,1158,4825,1003,144219,3896,77465,3462,46352,2436,20402,1878,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,28791,3061,59811,4546,70002,4949,1300856,13424,690375,9980,286831,8691,323650,7235,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,15186,1817,43275,2916,41260,3895,642723,8963,354265,7652,134439,5479,154019,5577,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,162941,7754,309630,10870,377834,13060,7430714,33196,3978568,30376,1888647,23822,1563499,19039,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,15988,3014,44852,3550,35945,3220,1067436,11611,604845,9984,278370,8185,184221,5386,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,5123,1719,23580,2858,26753,3087,837832,10251,463851,9173,204873,6572,169108,6388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,2533,833,8333,1434,5650,1353,199666,4286,114123,4364,42433,2556,43110,2132,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,1336,583,5102,1244,11721,2009,90324,3841,51698,3340,20038,1911,18588,1856,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,73697,6167,167553,6833,203787,8336,4149766,25646,2118745,20810,889968,13948,1141053,17573,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
