GEO_ID,B06004C_001E,B06004C_001M,B06004C_002E,B06004C_002M,B06004C_003E,B06004C_003M,B06004C_004E,B06004C_004M,B06004C_005E,B06004C_005M,NAME,B06004C_001EA,B06004C_001MA,B06004C_002EA,B06004C_002MA,B06004C_003EA,B06004C_003MA,B06004C_004EA,B06004C_004MA,B06004C_005MA,B06004C_005EA,state
0400000US01,23283,1646,16839,1609,6009,1253,156,178,279,263,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,91013,2977,84737,2964,5638,1086,272,322,366,350,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,275321,6142,222043,6491,49681,4323,322,330,3275,1432,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18481,1657,7945,1197,10132,1309,78,128,326,416,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,253774,11432,172951,8356,57051,4538,3376,2570,20396,3746,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40063,3910,18606,3379,19049,1940,538,354,1870,1063,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,8324,2172,3618,1168,3503,1489,87,143,1116,649,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2056,534,1185,443,709,383,0,262,162,206,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,59092,4557,20878,2912,30301,2524,875,816,7038,1960,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20223,2547,7995,1443,10119,1688,459,366,1650,1049,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3216,934,646,440,2472,816,98,106,0,264,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15817,2027,8378,1449,7007,1249,119,180,313,364,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,23175,2109,11465,1513,9011,1300,156,167,2543,802,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,15161,1835,8723,1592,5550,1053,0,264,888,595,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,6511,1327,3268,1029,2718,642,115,165,410,300,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,23647,2624,13926,2351,9182,1310,149,153,390,413,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8343,1883,4654,1299,3169,940,13,24,507,450,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24921,2205,19776,1888,4729,1111,77,125,339,351,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7060,893,5473,862,1306,461,91,69,190,141,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,16711,3460,6706,1775,6565,1245,712,733,2728,1928,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,13708,1865,8776,1498,3256,1093,442,308,1234,581,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,57840,3173,45431,2962,10077,1623,470,240,1862,719,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,53573,2618,41851,2376,9646,1493,394,364,1682,760,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,12280,1563,8504,1215,3776,1314,0,288,0,288,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,23091,2775,10702,1903,11941,1637,106,106,342,322,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,55079,2327,43130,2390,11348,1494,276,252,325,303,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,13250,1795,5824,1440,6840,1253,109,131,477,445,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,28163,2612,12658,2260,14211,2260,149,215,1145,599,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4499,1785,1394,594,2228,754,0,253,877,1319,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,20745,4410,11356,3741,4689,1078,598,523,4102,1793,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,181064,3333,146442,4599,33248,3865,245,230,1129,724,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,67460,4608,40240,3759,9440,1363,1907,790,15873,2633,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,106931,3833,88895,2968,15509,2672,65,78,2462,1240,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,29985,1805,25961,1925,4024,865,0,203,0,203,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,22682,2680,13747,2248,7947,1422,358,294,630,410,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,253783,6161,208056,5214,43954,3460,642,344,1131,668,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
