GEO_ID,B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,B24092_019E,B24092_019M,B24092_020E,B24092_020M,NAME,B24092_001MA,B24092_001EA,B24092_002EA,B24092_002MA,B24092_003EA,B24092_003MA,B24092_004EA,B24092_004MA,B24092_005MA,B24092_005EA,B24092_006MA,B24092_006EA,B24092_007MA,B24092_007EA,B24092_008EA,B24092_008MA,B24092_009EA,B24092_009MA,B24092_010EA,B24092_010MA,B24092_011MA,B24092_011EA,B24092_012MA,B24092_012EA,B24092_013EA,B24092_013MA,B24092_014EA,B24092_014MA,B24092_015EA,B24092_015MA,B24092_016MA,B24092_016EA,B24092_017MA,B24092_017EA,B24092_018MA,B24092_018EA,B24092_019EA,B24092_019MA,B24092_020EA,B24092_020MA,state
0400000US44,46043,996,45049,1942,43112,2238,60021,10275,41233,2580,54805,5470,55752,5534,71566,6185,44894,8897,21347,53316,35695,892,32824,1242,32746,1245,41111,13613,40230,2834,45529,4096,44570,3508,51408,9682,27616,3812,21250,0,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*,44
0400000US45,36819,446,36685,510,36023,547,52196,5441,42257,2685,33135,2426,38209,2295,46007,2534,32226,2105,51356,21497,27590,506,26746,440,26590,425,36470,4769,28878,1606,30720,876,30106,1131,42557,3013,21393,1986,13168,6097,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,35372,628,34878,1013,33858,1213,46879,4507,38444,4651,35053,2584,32417,4081,45920,2816,32336,4916,8203,3869,25777,617,24081,607,23954,598,31885,10038,29723,1976,28816,1708,28727,1608,38753,3966,19245,4031,14208,7211,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,37668,666,36609,431,36057,417,62094,5830,40789,1392,37890,2395,37887,1880,54982,2942,41203,2714,35239,27522,28416,480,26866,328,26785,330,37775,3219,31662,676,32751,1057,29770,1090,44217,2288,23238,3556,25286,18978,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,38200,488,37979,534,37074,252,60071,4727,38610,2133,37713,1257,38123,1794,50993,1041,33466,2813,20537,4934,30537,213,29442,408,29244,406,37053,3851,32352,708,33748,998,32350,668,44130,1648,22097,941,16351,4583,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,41358,408,40504,482,39292,1221,55091,6539,44528,2991,45451,3018,47789,3789,51395,889,35973,5529,15257,16099,28675,703,26712,614,26612,611,31606,6045,30566,1346,34032,1889,32412,1800,41450,2734,18072,3646,22179,43560,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,40604,909,40007,1551,38986,2016,50659,3701,44061,5937,41120,2834,47416,4443,49851,5575,33728,4479,21389,911,31138,607,29629,1318,29588,1263,30739,8990,36647,2937,35319,2086,35559,2040,45571,3679,20893,1379,2499,0,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"2,500-",***,50
0400000US51,46252,449,44055,961,42617,923,62243,3848,48461,2727,43175,1903,42116,1355,73474,3007,40950,996,21327,36513,35327,378,31901,372,31706,373,42612,5267,40269,1015,37631,1287,33832,992,60222,1999,23071,2956,20806,17467,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,47361,588,46703,700,46016,743,56280,2947,46837,2736,54563,2375,47564,2036,51777,1760,40480,1435,23757,20963,35773,384,33305,716,33016,706,44677,9261,37704,1686,42942,1592,39862,1631,49721,3497,25455,2297,17973,17813,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,37084,678,37148,948,36550,895,52088,3417,34008,1627,33217,2021,35721,1869,57384,4539,34420,2939,85163,62312,25009,640,22493,757,22348,698,31581,3843,26965,1884,29389,2974,29229,1904,45554,3007,15386,3849,11221,6318,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,41973,280,41852,327,41527,343,52428,1824,43991,2375,46108,961,45313,2052,50572,869,31724,769,15263,10633,31374,206,30379,278,30330,281,32427,4749,35080,1237,36498,1017,38105,2047,42286,2392,18510,1798,17235,1475,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,42463,1677,42277,2331,42054,2375,47500,9985,40590,8362,43461,3392,44496,3687,55682,9233,35490,7548,11448,1058,25620,1112,22944,1317,22884,1263,25491,8994,29216,6477,30417,3038,33176,4198,36730,3333,14495,10327,21256,1075,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,19696,358,18373,512,17881,556,25569,3351,23294,2309,15408,753,23526,592,40269,5272,18287,1691,20999,609,19373,355,17246,427,17137,423,22787,3733,18830,965,16783,949,23333,447,25388,3947,17779,2570,8400,11452,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
