GEO_ID,B24010A_001E,B24010A_001M,B24010A_002E,B24010A_002M,B24010A_003E,B24010A_003M,B24010A_004E,B24010A_004M,B24010A_005E,B24010A_005M,B24010A_006E,B24010A_006M,B24010A_007E,B24010A_007M,B24010A_008E,B24010A_008M,B24010A_009E,B24010A_009M,B24010A_010E,B24010A_010M,B24010A_011E,B24010A_011M,B24010A_012E,B24010A_012M,B24010A_013E,B24010A_013M,B24010A_014E,B24010A_014M,B24010A_015E,B24010A_015M,B24010A_016E,B24010A_016M,B24010A_017E,B24010A_017M,B24010A_018E,B24010A_018M,B24010A_019E,B24010A_019M,B24010A_020E,B24010A_020M,B24010A_021E,B24010A_021M,B24010A_022E,B24010A_022M,B24010A_023E,B24010A_023M,B24010A_024E,B24010A_024M,B24010A_025E,B24010A_025M,B24010A_026E,B24010A_026M,B24010A_027E,B24010A_027M,B24010A_028E,B24010A_028M,B24010A_029E,B24010A_029M,B24010A_030E,B24010A_030M,B24010A_031E,B24010A_031M,B24010A_032E,B24010A_032M,B24010A_033E,B24010A_033M,B24010A_034E,B24010A_034M,B24010A_035E,B24010A_035M,B24010A_036E,B24010A_036M,B24010A_037E,B24010A_037M,B24010A_038E,B24010A_038M,B24010A_039E,B24010A_039M,B24010A_040E,B24010A_040M,B24010A_041E,B24010A_041M,B24010A_042E,B24010A_042M,B24010A_043E,B24010A_043M,B24010A_044E,B24010A_044M,B24010A_045E,B24010A_045M,B24010A_046E,B24010A_046M,B24010A_047E,B24010A_047M,B24010A_048E,B24010A_048M,B24010A_049E,B24010A_049M,B24010A_050E,B24010A_050M,B24010A_051E,B24010A_051M,B24010A_052E,B24010A_052M,B24010A_053E,B24010A_053M,B24010A_054E,B24010A_054M,B24010A_055E,B24010A_055M,B24010A_056E,B24010A_056M,B24010A_057E,B24010A_057M,B24010A_058E,B24010A_058M,B24010A_059E,B24010A_059M,B24010A_060E,B24010A_060M,B24010A_061E,B24010A_061M,B24010A_062E,B24010A_062M,B24010A_063E,B24010A_063M,NAME,B24010A_001EA,B24010A_001MA,B24010A_002MA,B24010A_002EA,B24010A_003MA,B24010A_003EA,B24010A_004MA,B24010A_004EA,B24010A_005EA,B24010A_005MA,B24010A_006EA,B24010A_006MA,B24010A_007MA,B24010A_007EA,B24010A_008MA,B24010A_008EA,B24010A_009MA,B24010A_009EA,B24010A_010EA,B24010A_010MA,B24010A_011EA,B24010A_011MA,B24010A_012EA,B24010A_012MA,B24010A_013MA,B24010A_013EA,B24010A_014MA,B24010A_014EA,B24010A_015MA,B24010A_015EA,B24010A_016EA,B24010A_016MA,B24010A_017EA,B24010A_017MA,B24010A_018MA,B24010A_018EA,B24010A_019MA,B24010A_019EA,B24010A_020MA,B24010A_020EA,B24010A_021EA,B24010A_021MA,B24010A_022EA,B24010A_022MA,B24010A_023EA,B24010A_023MA,B24010A_024MA,B24010A_024EA,B24010A_025MA,B24010A_025EA,B24010A_026MA,B24010A_026EA,B24010A_027EA,B24010A_027MA,B24010A_028EA,B24010A_028MA,B24010A_029MA,B24010A_029EA,B24010A_030MA,B24010A_030EA,B24010A_031MA,B24010A_031EA,B24010A_032EA,B24010A_032MA,B24010A_033EA,B24010A_033MA,B24010A_034EA,B24010A_034MA,B24010A_035MA,B24010A_035EA,B24010A_036MA,B24010A_036EA,B24010A_037MA,B24010A_037EA,B24010A_038EA,B24010A_038MA,B24010A_039EA,B24010A_039MA,B24010A_040MA,B24010A_040EA,B24010A_041MA,B24010A_041EA,B24010A_042MA,B24010A_042EA,B24010A_043EA,B24010A_043MA,B24010A_044EA,B24010A_044MA,B24010A_045EA,B24010A_045MA,B24010A_046MA,B24010A_046EA,B24010A_047MA,B24010A_047EA,B24010A_048MA,B24010A_048EA,B24010A_049EA,B24010A_049MA,B24010A_050EA,B24010A_050MA,B24010A_051MA,B24010A_051EA,B24010A_052MA,B24010A_052EA,B24010A_053MA,B24010A_053EA,B24010A_054EA,B24010A_054MA,B24010A_055EA,B24010A_055MA,B24010A_056EA,B24010A_056MA,B24010A_057MA,B24010A_057EA,B24010A_058MA,B24010A_058EA,B24010A_059MA,B24010A_059EA,B24010A_060EA,B24010A_060MA,B24010A_061EA,B24010A_061MA,B24010A_062MA,B24010A_062EA,B24010A_063MA,B24010A_063EA,state
0400000US01,1471040,12198,822987,7813,246402,8121,115971,5364,84762,4678,6678,1213,24531,2419,130431,5708,20387,2856,29539,3020,6251,1039,9925,1418,9666,1493,19804,2419,12096,1796,22763,2316,77008,4763,2580,905,20120,2459,20422,2994,27084,2522,6802,1556,142113,5816,97113,4705,45000,3474,8362,1845,173640,6735,101374,5912,72266,4626,175462,6258,91637,4829,83825,5095,648053,8502,239835,7595,71070,4128,42059,3148,1671,1114,27340,2475,168765,6513,7230,1223,3906,854,3923,1043,10673,1554,7178,1315,62999,3832,10372,1733,62484,3829,101177,5408,19260,2197,4004,899,35746,3674,12933,2366,29234,2893,251709,6662,87875,4888,163834,6704,2333,731,7866,1749,5094,1572,2772,843,45133,3773,33108,3284,12025,1626,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,230031,4444,123891,2705,42181,2847,18095,1849,14388,1725,141,122,3566,890,24086,2097,2771,765,5735,1054,2080,636,2128,590,984,484,5244,985,2298,674,2846,843,12580,1462,270,194,4654,997,3328,765,2678,745,1650,594,18913,2087,10977,1707,7936,1157,2116,733,30794,2697,18619,2215,12175,1451,17307,1708,5276,1197,12031,1566,106140,3129,45853,2611,16083,1672,10619,1457,29,46,5435,1147,29770,2292,755,293,1647,604,1676,691,2315,550,1618,488,10914,1630,2111,784,8734,1420,18421,2095,2876,866,1535,523,6129,1339,1943,686,5938,1139,37407,2486,11817,1659,25590,2461,634,411,1205,462,806,366,399,313,2620,655,934,317,1686,558,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2072244,14568,1147894,10485,370756,8360,178606,6743,131527,6135,2565,810,44514,3357,192150,6666,33455,3047,46282,3700,7419,1149,12421,2172,11627,1812,32013,3487,19114,1931,29819,2655,158757,8448,4649,1067,41798,3523,45728,4104,52527,5379,14055,2034,226093,8457,145701,8250,80392,6181,6493,1369,229432,7868,153000,7010,76432,5258,156363,8164,68854,5955,87509,5598,924350,10032,358346,7785,137744,6002,80140,4525,893,395,56711,4002,220602,6430,10490,1466,5989,1077,7643,1503,17210,1911,13046,1753,82244,4738,15104,1821,68876,4099,172834,7826,28419,3368,11266,1661,58988,4833,25588,3506,48573,3937,348883,8820,126462,6169,222421,6253,1435,541,7203,1738,4178,1030,3025,1306,35649,3925,20865,2990,14784,2857,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1010313,11188,546800,6586,141670,5065,71889,3699,47687,3214,9969,1230,14233,1884,69781,3923,11870,1874,11001,1432,3970,936,6457,1070,4319,990,11953,1809,6837,1462,13374,1561,56536,3837,3569,989,13047,1950,15968,2594,19864,2561,4088,978,94243,4240,59616,3850,34627,2919,11507,1500,112294,4993,67674,4170,44620,3129,130550,5833,64167,3870,66383,4283,463513,7492,165995,5720,53121,3484,32274,2842,1327,492,19520,1809,112874,4504,3451,920,1459,509,2410,701,8110,1258,3755,1096,47199,3076,5213,1256,41277,3266,89143,4899,15666,1971,3286,996,33200,3580,14001,1849,22990,2644,167672,6164,53696,3782,113976,5173,2458,572,3819,1004,2524,805,1295,578,34426,3247,24809,2479,9617,1870,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10079821,44706,5639317,32047,2057769,21046,978870,14100,702647,13476,27703,2700,248520,7121,1078899,16768,175491,7243,198547,7320,62160,4346,55685,3506,92142,6194,188946,8302,174074,6850,131854,5945,680718,14777,19962,2811,174383,6985,193849,9004,220859,10123,71665,5274,1023475,17359,673692,13514,349783,9594,97540,6429,971916,22101,664533,17837,307383,10874,807899,20756,367771,12113,440128,15466,4440504,26110,1821807,19710,658804,13614,415178,11976,4747,871,238879,8317,1163003,17322,55599,4118,33218,3402,51248,3671,79666,4465,75224,4243,454521,12277,143075,6101,270452,9111,763463,15161,120616,7134,42607,3977,228198,10298,127173,7777,244869,8238,1574474,22576,573777,14886,1000697,18977,32897,4052,31539,3149,17429,2524,14110,2607,216324,9320,142247,7589,74077,5676,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1997289,14359,1092091,9246,409918,9755,195292,7394,138507,6784,9961,1614,46824,2950,214626,6515,52781,4328,45921,3529,14272,1686,10848,1678,14296,2146,30553,2822,22252,2079,23703,2488,134922,6418,3866,1183,30073,3139,48012,4164,39694,3648,13277,1922,198131,7897,132559,7172,65572,3919,7353,1401,201525,7613,133226,6216,68299,4684,140242,6173,58181,3621,82061,5551,905198,9830,381890,7652,143551,5704,86197,5078,1684,441,55670,3167,238339,6646,19757,1996,7065,1495,11159,1592,15970,1789,12738,1857,82598,4893,21049,1766,68003,4028,160671,7046,24873,2749,9340,1736,55181,4766,23188,2930,48089,4157,317130,8022,115853,5117,201277,6719,2349,922,8124,1429,4541,1198,3583,884,35034,4063,19708,2719,15326,2593,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1412957,11801,744854,7935,292491,6183,148397,5070,101547,4216,1674,1145,45176,3738,144094,4882,22588,2046,32696,2667,9345,1555,7969,1507,11674,1489,26358,2809,16556,1864,16908,2502,82131,4596,3062,990,19907,2245,22109,2530,27644,3117,9409,1481,141020,6328,93761,4636,47259,3766,2231,717,123307,7217,77937,5469,45370,3750,103674,4772,59694,3845,43980,3487,668103,7410,297023,7468,99231,4601,60676,3415,309,262,38246,3277,197792,6064,10042,1635,4918,1264,8008,1360,15352,2096,11209,1723,70672,4356,18115,1857,59476,3393,109596,5097,25253,2682,5054,1460,34223,2891,14776,2572,30290,2511,228768,7160,75364,4349,153404,5872,414,254,4042,904,1675,587,2367,765,28260,3146,19173,2185,9087,1897,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,305996,4936,163054,2893,56057,3401,27427,2846,18623,2177,1513,651,7291,1354,28630,2227,4384,939,4880,971,3897,922,1968,633,2187,763,5281,1115,2794,736,3239,811,16575,2745,352,224,4436,1030,4896,1393,5317,1365,1574,493,28555,2249,18100,1957,10455,1579,2620,987,34691,2331,21665,1887,13026,1771,24556,2256,10511,1614,14045,1655,142942,3534,60208,2446,19532,2026,9965,1297,503,321,9064,1595,40676,2355,2472,810,1250,667,1755,528,2715,855,1643,503,14614,1725,2110,699,14117,1830,23520,2534,3294,857,2120,966,7963,1436,2775,847,7368,1468,51462,3184,17053,1954,34409,2382,303,231,1805,654,796,372,1009,492,5644,1288,2719,901,2925,885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,111696,3300,59388,1965,46787,2040,17110,2021,12299,1496,0,286,4811,1056,29677,1524,3137,751,1810,664,3925,962,845,597,8549,1360,2249,598,7266,1266,1896,846,3410,910,183,171,553,296,1688,594,680,509,306,234,7006,1109,3720,779,3286,854,0,286,1422,488,1176,487,246,210,763,379,243,197,520,295,52308,2058,41269,1950,15010,1485,9980,1320,0,286,5030,924,26259,1824,1880,662,872,388,3912,895,1252,373,6345,1165,4592,951,5105,1115,2301,805,3008,806,360,358,44,73,946,366,349,302,1309,528,7636,1171,3486,745,4150,881,0,286,206,251,80,139,126,209,189,241,143,231,46,76,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6142269,32301,3351608,23366,1068356,14971,551536,10432,418077,9855,8387,1642,125072,6163,516820,10383,87643,5147,99272,5465,22617,2727,30114,2700,40213,3609,77777,5230,70626,4820,88558,5383,463011,14405,8916,1449,116839,5956,138282,8134,148872,8582,50102,4394,679846,14926,458756,12440,221090,8717,28239,5683,693162,16326,471119,14512,222043,8253,418994,12298,162035,7284,256959,10169,2790661,20040,1015301,15373,367369,10139,231080,7675,2567,928,133722,5509,647932,12829,32433,2558,15108,1827,17171,2409,40647,2979,48933,3539,219511,8491,61400,4390,212729,7177,507550,15311,79345,5260,30030,2977,184011,9026,85693,5661,128471,6887,1125049,18391,414377,11711,710672,12887,7460,1926,29541,3689,18509,2761,11032,2158,105760,6455,67529,5214,38231,3791,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
