GEO_ID,B10001_001E,B10001_001M,B10001_002E,B10001_002M,B10001_003E,B10001_003M,B10001_004E,B10001_004M,B10001_005E,B10001_005M,B10001_006E,B10001_006M,B10001_007E,B10001_007M,B10001_008E,B10001_008M,B10001_009E,B10001_009M,B10001_010E,B10001_010M,B10001_011E,B10001_011M,B10001_012E,B10001_012M,B10001_013E,B10001_013M,B10001_014E,B10001_014M,NAME,B10001_001MA,B10001_001EA,B10001_002MA,B10001_002EA,B10001_003EA,B10001_003MA,B10001_004EA,B10001_004MA,B10001_005EA,B10001_005MA,B10001_006EA,B10001_006MA,B10001_007EA,B10001_007MA,B10001_008MA,B10001_008EA,B10001_009MA,B10001_009EA,B10001_010EA,B10001_010MA,B10001_011EA,B10001_011MA,B10001_012EA,B10001_012MA,B10001_013MA,B10001_013EA,B10001_014MA,B10001_014EA,state
0400000US01,105820,7179,67708,6009,40552,4919,21594,3165,11055,2160,7903,1890,27156,3096,7184,1409,9832,1786,10140,1490,38112,4736,17381,2684,12439,2311,8292,1805,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11616,2023,7946,1685,5369,1433,2859,989,1895,973,615,259,2577,834,656,429,739,406,1182,508,3670,1144,2072,687,945,491,653,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109669,8163,64105,6451,43763,6090,25932,4007,11806,2621,6025,1611,20342,2833,4482,1074,6451,1529,9409,1661,45564,5116,24361,3392,13451,2239,7752,1497,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,52992,5619,35819,4682,19893,3370,10052,2255,6026,1326,3815,845,15926,2497,3555,1007,5243,967,7128,1893,17173,2845,8122,1643,5336,1390,3715,1039,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,635523,19381,280631,12574,200372,10010,101471,6738,59501,5105,39400,4519,80259,6789,20350,3104,28878,3022,31031,3459,354892,14900,190226,10618,100668,7806,63998,5089,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50615,5087,28627,3922,16987,2788,11839,2365,3372,762,1776,655,11640,2417,2883,996,5301,1404,3456,1068,21988,3168,11652,2341,6711,1795,3625,965,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,33101,3571,14613,2761,9316,1973,4420,1149,2855,976,2041,697,5297,1563,773,460,2375,1056,2149,725,18488,2882,8703,1562,6396,1703,3389,1123,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11754,1962,6552,1423,4065,1258,1952,816,1314,538,799,376,2487,972,412,263,715,431,1360,659,5202,1445,2680,889,1371,641,1151,678,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14489,3010,7925,1927,4436,1673,2280,982,963,565,1193,678,3489,1186,799,602,798,313,1892,849,6564,2375,4144,1983,1232,567,1188,515,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,289610,14650,167632,11631,96621,7809,57626,6143,23022,3413,15973,2243,71011,7551,16058,2590,22501,3480,32452,4575,121978,8595,61355,4915,34637,3662,25986,3919,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
