GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,C08128_031E,C08128_031M,C08128_032E,C08128_032M,C08128_033E,C08128_033M,C08128_034E,C08128_034M,C08128_035E,C08128_035M,C08128_036E,C08128_036M,C08128_037E,C08128_037M,C08128_038E,C08128_038M,C08128_039E,C08128_039M,C08128_040E,C08128_040M,C08128_041E,C08128_041M,C08128_042E,C08128_042M,C08128_043E,C08128_043M,C08128_044E,C08128_044M,C08128_045E,C08128_045M,C08128_046E,C08128_046M,C08128_047E,C08128_047M,C08128_048E,C08128_048M,NAME,C08128_001MA,C08128_001EA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004MA,C08128_004EA,C08128_005MA,C08128_005EA,C08128_006MA,C08128_006EA,C08128_007MA,C08128_007EA,C08128_008MA,C08128_008EA,C08128_009MA,C08128_009EA,C08128_010EA,C08128_010MA,C08128_011EA,C08128_011MA,C08128_012EA,C08128_012MA,C08128_013MA,C08128_013EA,C08128_014MA,C08128_014EA,C08128_015MA,C08128_015EA,C08128_016MA,C08128_016EA,C08128_017MA,C08128_017EA,C08128_018MA,C08128_018EA,C08128_019MA,C08128_019EA,C08128_020MA,C08128_020EA,C08128_021EA,C08128_021MA,C08128_022EA,C08128_022MA,C08128_023EA,C08128_023MA,C08128_024MA,C08128_024EA,C08128_025MA,C08128_025EA,C08128_026MA,C08128_026EA,C08128_027MA,C08128_027EA,C08128_028EA,C08128_028MA,C08128_029MA,C08128_029EA,C08128_030MA,C08128_030EA,C08128_031EA,C08128_031MA,C08128_032EA,C08128_032MA,C08128_033EA,C08128_033MA,C08128_034EA,C08128_034MA,C08128_035MA,C08128_035EA,C08128_036MA,C08128_036EA,C08128_037MA,C08128_037EA,C08128_038EA,C08128_038MA,C08128_039EA,C08128_039MA,C08128_040MA,C08128_040EA,C08128_041EA,C08128_041MA,C08128_042EA,C08128_042MA,C08128_043EA,C08128_043MA,C08128_044EA,C08128_044MA,C08128_045EA,C08128_045MA,C08128_046MA,C08128_046EA,C08128_047MA,C08128_047EA,C08128_048EA,C08128_048MA,state
0400000US01,1941250,15984,1393144,16995,115344,6933,138339,6331,94188,5308,73309,4975,122189,5866,4737,1040,1629930,17410,1177171,16873,99943,6236,121149,6099,81291,5438,66031,4727,81094,4625,3251,950,211259,9675,156998,8532,10685,1685,13920,1871,9079,1587,5235,1092,14845,2100,497,277,8368,1974,3853,1005,850,507,1109,521,1219,852,230,203,1027,1090,80,126,48274,3893,34567,3518,2886,1088,1825,588,1922,662,1426,534,5419,1320,229,245,43419,3740,20555,2413,980,422,336,209,677,426,387,301,19804,2527,680,348,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,294690,5226,159922,5081,28953,2578,26421,2118,25218,2093,29672,2448,23885,2329,619,272,200952,5850,112297,4683,19602,2184,17098,1670,15462,1669,24594,2308,11541,1591,358,206,44555,3263,25207,2922,4142,1069,3594,851,5037,1222,3595,937,2882,1020,98,142,3573,956,2658,874,340,210,43,75,445,360,0,233,87,143,0,233,33543,2467,15476,1921,4595,883,5442,765,4022,777,1463,464,2545,681,0,233,12067,1657,4284,885,274,175,244,179,252,152,20,35,6830,1384,163,165,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2575064,15393,1876585,16948,139307,7505,207794,8606,105788,5744,78416,4699,161751,7439,5423,1226,1945061,18773,1431713,18019,109955,6486,167079,7610,79550,4818,64144,4578,90156,5137,2464,769,366261,11954,277813,11243,16911,1990,25660,2818,14307,1965,9072,1802,21124,2751,1374,732,48964,5040,35843,4696,2840,1036,3813,1374,4033,1343,1188,581,1247,603,0,291,110756,6118,76993,5539,6280,1558,8347,1453,6975,1289,3623,1001,8469,1623,69,91,104022,5974,54223,3798,3321,1132,2895,1765,923,430,389,243,40755,4065,1516,669,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1200886,11938,828172,11080,81985,4768,79777,4060,83140,4273,35434,3302,88593,4270,3785,981,981220,13090,685314,10893,68168,4285,67998,3607,70666,4104,31858,3149,55220,3213,1996,596,147902,7532,102916,5725,10415,1922,9148,1501,10312,1818,2526,774,12044,2107,541,405,4007,1402,2534,953,931,973,335,258,126,113,67,112,14,24,0,260,36505,3253,24653,2706,1640,612,1903,765,1598,720,922,340,5502,1137,287,256,31252,3349,12755,2274,831,408,393,255,438,275,61,83,15813,2176,961,474,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15547334,38729,10969770,41454,917606,20230,1282682,20486,542854,13117,399736,11450,1402311,21952,32375,3297,11503746,41684,8225977,40149,687628,17396,1049808,16819,389017,9437,315799,10901,820692,15585,14825,2069,1946177,25740,1431102,24824,107018,7180,132112,6804,64290,4764,45103,3642,160604,7915,5948,1413,734704,18065,547076,15930,54831,5268,39560,3163,35548,3171,17309,1965,39948,4710,432,297,700194,18129,487664,13413,48606,3691,38838,4072,31896,2903,17593,2215,73328,6632,2269,650,662513,13426,277951,8703,19523,2137,22364,2862,22103,2985,3932,1043,307739,9155,8901,1510,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2280261,12569,1623670,16073,152107,7186,167504,7557,74570,4415,80917,5237,175243,7583,6250,1408,1741595,15152,1267602,15933,121331,6512,140128,6715,53229,3453,64549,5164,92009,4900,2747,647,229018,10071,164505,8929,14252,1814,17984,2280,8872,1864,7721,1781,15058,2280,626,353,61884,4755,47898,4549,3270,811,2039,806,4452,828,3030,1047,1195,614,0,274,110733,4874,74539,4889,9495,1745,6204,1393,6755,1659,3681,861,9014,1485,1045,878,137031,6572,69126,4244,3759,849,1149,505,1262,604,1936,1099,57967,4973,1832,684,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1657342,13617,1172144,15198,145844,6635,119985,5905,62618,4762,32240,3590,122214,5852,2297,702,1343489,15545,955546,15752,114215,5314,109454,5547,55436,4571,27849,3386,79960,5271,1029,449,136359,7808,98742,6670,13861,2585,6920,1415,4230,1238,2529,980,9674,1885,403,305,70427,5133,57427,4536,7145,1714,1045,420,1057,545,993,464,2436,1236,324,356,52884,4729,36651,4084,7747,1776,1921,760,1681,664,822,568,4020,1046,42,71,54183,3413,23778,2390,2876,808,645,328,214,221,47,79,26124,2710,499,247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,397033,5412,288262,5843,31267,3220,18123,2070,26979,2855,9824,1698,21976,2671,602,373,318734,5922,234905,5806,24503,2894,16137,1884,22710,2858,8425,1457,12054,1803,0,262,42058,3003,31703,2726,3484,912,1327,473,2866,1057,598,411,1905,836,175,134,8588,1576,6392,1327,954,452,212,202,431,318,401,346,198,172,0,262,13101,2349,8843,1819,1691,727,216,184,867,429,342,392,974,470,168,164,14552,2167,6419,1244,635,304,231,192,105,115,58,95,6845,1422,259,275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249865,4239,123125,4631,44099,3423,16345,2168,6484,1386,44813,3848,14898,2192,101,119,93803,3992,46525,3183,14531,1881,8803,1607,3061,1012,15337,2073,5489,1150,57,93,19246,2459,8478,1914,3418,838,1380,643,868,522,3274,956,1828,927,0,286,94260,4338,46961,3245,17501,2590,5186,1229,2253,858,20515,2768,1844,866,0,286,31446,2664,16254,1834,7204,1246,845,420,168,163,5354,1139,1577,650,44,73,11110,1973,4907,1197,1445,629,131,135,134,174,333,253,4160,1129,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7700885,26254,5753595,31779,426334,12013,576204,13460,231211,8668,210299,7683,487514,13251,15728,1957,6158873,32660,4609287,33923,353819,10317,501924,11497,195600,7926,181884,7258,309132,10478,7227,1302,851610,19203,656561,17022,44793,3805,55590,4624,23164,3146,18102,2658,50304,4824,3096,1005,138505,8946,112693,8031,6322,1122,7064,1731,3155,966,3227,1653,5885,1327,159,129,272572,11036,212334,9571,13768,2530,9082,1786,7970,1976,6453,1314,22408,3044,557,295,279325,9541,162720,6604,7632,1992,2544,998,1322,518,633,370,99785,6541,4689,1092,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
