GEO_ID,C22007_001E,C22007_001M,C22007_002E,C22007_002M,C22007_003E,C22007_003M,C22007_004E,C22007_004M,C22007_005E,C22007_005M,C22007_006E,C22007_006M,C22007_007E,C22007_007M,C22007_008E,C22007_008M,C22007_009E,C22007_009M,C22007_010E,C22007_010M,C22007_011E,C22007_011M,C22007_012E,C22007_012M,C22007_013E,C22007_013M,C22007_014E,C22007_014M,C22007_015E,C22007_015M,C22007_016E,C22007_016M,C22007_017E,C22007_017M,C22007_018E,C22007_018M,C22007_019E,C22007_019M,C22007_020E,C22007_020M,C22007_021E,C22007_021M,C22007_022E,C22007_022M,C22007_023E,C22007_023M,C22007_024E,C22007_024M,C22007_025E,C22007_025M,C22007_026E,C22007_026M,C22007_027E,C22007_027M,C22007_028E,C22007_028M,C22007_029E,C22007_029M,C22007_030E,C22007_030M,C22007_031E,C22007_031M,C22007_032E,C22007_032M,C22007_033E,C22007_033M,C22007_034E,C22007_034M,C22007_035E,C22007_035M,NAME,C22007_001MA,C22007_001EA,C22007_002EA,C22007_002MA,C22007_003EA,C22007_003MA,C22007_004MA,C22007_004EA,C22007_005MA,C22007_005EA,C22007_006MA,C22007_006EA,C22007_007EA,C22007_007MA,C22007_008EA,C22007_008MA,C22007_009MA,C22007_009EA,C22007_010MA,C22007_010EA,C22007_011MA,C22007_011EA,C22007_012MA,C22007_012EA,C22007_013EA,C22007_013MA,C22007_014EA,C22007_014MA,C22007_015MA,C22007_015EA,C22007_016MA,C22007_016EA,C22007_017MA,C22007_017EA,C22007_018EA,C22007_018MA,C22007_019EA,C22007_019MA,C22007_020MA,C22007_020EA,C22007_021MA,C22007_021EA,C22007_022MA,C22007_022EA,C22007_023MA,C22007_023EA,C22007_024EA,C22007_024MA,C22007_025EA,C22007_025MA,C22007_026MA,C22007_026EA,C22007_027MA,C22007_027EA,C22007_028MA,C22007_028EA,C22007_029EA,C22007_029MA,C22007_030EA,C22007_030MA,C22007_031MA,C22007_031EA,C22007_032MA,C22007_032EA,C22007_033MA,C22007_033EA,C22007_034MA,C22007_034EA,C22007_035EA,C22007_035MA,state
0400000US01,1223725,12107,151646,6207,49360,3512,9029,1786,17618,2110,18605,1849,15026,1501,3579,1021,4108,877,3484,924,624,315,102286,5183,10156,1808,1863,627,8293,1711,92130,5437,26984,3461,65146,4037,1072079,12304,841797,11898,127655,4400,215454,6326,405242,8664,374280,8789,30962,3037,93446,4824,86425,4654,7021,1327,230282,9392,60870,4547,7307,1412,53563,4205,169412,8280,25390,3027,144022,7943,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12642,1371,5245,893,636,304,1407,436,2046,504,1776,470,270,207,1156,414,885,410,271,145,7397,1151,1736,514,166,115,1570,500,5661,1096,1385,636,4276,841,144545,3439,111108,3609,7994,1034,24134,1967,63221,3223,60146,3168,3075,689,15759,1506,14425,1456,1334,476,33437,2699,11437,1483,615,350,10822,1425,22000,2413,1766,549,20234,2294,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,128387,5927,49610,4029,5567,1306,21971,2620,15650,2118,12707,1984,2943,835,6422,1257,5279,1184,1143,460,78777,5456,14172,2288,2481,898,11691,2063,64605,4581,19691,3198,44914,2924,1331073,13864,1028843,13554,187420,5480,255858,8413,469829,9040,435535,9136,34294,3129,115736,5202,101546,4306,14190,2352,302230,9399,96061,5841,5393,1425,90668,5472,206169,7422,20185,2550,185984,6817,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,92046,4405,35107,3138,6644,1207,10390,1511,15830,2403,13361,2120,2469,1029,2243,672,1908,633,335,231,56939,3160,9627,1573,1554,599,8073,1491,47312,3058,11838,1928,35474,2530,650398,9099,520438,9414,80264,3722,122269,4112,261778,7116,246239,7014,15539,1944,56127,3011,52723,3020,3404,872,129960,6816,36690,3179,4320,968,32370,3150,93270,5524,10825,2024,82445,5207,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,494371,14538,186349,9111,22925,2653,77122,6535,61476,4746,41766,4158,19710,2971,24826,2671,17477,2239,7349,1553,308022,11952,52967,4297,13430,2287,39537,3978,255055,10775,85945,5637,169110,8622,7786748,33699,5824772,34177,666228,11613,1498390,16995,2811088,27744,2524420,25755,286668,8161,849066,14694,719021,12641,130045,7473,1961976,25507,660906,16411,40535,3262,620371,16086,1301070,20135,139976,6776,1161094,19817,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,63954,4163,21373,2549,2662,838,6242,1160,9793,2049,8923,2047,870,415,2676,946,2255,804,421,397,42581,4098,6703,2200,522,318,6181,2168,35878,3169,8081,1761,27797,2807,1100267,11685,886460,12316,89218,3281,196188,5481,500811,10050,477048,10197,23763,2165,100243,4624,94569,4592,5674,1235,213807,7477,73274,4286,3680,934,69594,4346,140533,5477,12091,1917,128442,5697,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,46823,3379,10233,1664,3045,883,2350,773,3575,930,2719,831,856,357,1263,478,898,396,365,355,36590,2950,4068,1252,944,477,3124,1132,32522,3269,9755,1798,22767,2864,846465,9759,664911,9527,74787,3421,142857,4981,349768,7781,327517,7464,22251,2161,97499,4250,91227,3929,6272,1164,181554,6325,52327,3950,3342,1176,48985,3828,129227,5436,8845,1301,120382,5502,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,14851,1611,4141,1129,488,451,1406,581,1618,558,1106,514,512,283,629,363,581,357,48,78,10710,1364,1441,550,142,143,1299,523,9269,1204,1349,539,7920,1262,201331,4481,155497,4557,21048,1544,33428,2770,80639,3634,75471,3618,5168,1031,20382,2117,18666,2127,1716,581,45834,3469,12571,1827,633,301,11938,1746,33263,2727,2796,812,30467,2639,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,17173,1878,2515,762,911,535,663,322,574,393,507,372,67,113,367,299,321,274,46,75,14658,1806,1354,592,97,113,1257,599,13304,1738,5179,1102,8125,1406,91310,3771,51697,3243,5509,1129,11273,1655,30870,2246,29159,2161,1711,629,4045,988,3227,833,818,484,39613,2903,8724,1541,871,375,7853,1507,30889,2475,4347,1090,26542,2479,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,403837,10769,155839,7133,26973,2883,42044,4298,64314,4398,52693,4458,11621,1891,22508,2584,18140,2155,4368,1131,247998,8935,41759,4372,7332,1564,34427,4166,206239,8292,47858,4510,158381,7183,4190966,25096,3223434,22793,675131,11419,755912,14224,1469661,16727,1368517,15037,101144,5503,322730,9289,296844,8895,25886,2766,967532,15934,281193,9642,19282,2163,261911,9478,686339,14149,72225,4387,614114,13587,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
