GEO_ID,S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C01_006E,S1602_C01_006M,S1602_C01_007E,S1602_C01_007M,S1602_C01_008E,S1602_C01_008M,NAME,S1602_C01_001MA,S1602_C01_001EA,S1602_C01_002EA,S1602_C01_002MA,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004MA,S1602_C01_004EA,S1602_C01_005MA,S1602_C01_005EA,S1602_C01_006EA,S1602_C01_006MA,S1602_C01_007MA,S1602_C01_007EA,S1602_C01_008EA,S1602_C01_008MA,state
0400000US01,1.3,0.1,24.0,3.0,10.4,3.2,35.2,6.0,10.6,7.1,4.5,-888888888.0,4.2,-888888888.0,5.6,-888888888.0,Alabama,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),01
0400000US02,2.1,0.4,10.0,3.7,3.5,2.5,22.4,5.2,7.4,2.2,3.0,-888888888.0,2.4,-888888888.0,2.7,-888888888.0,Alaska,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),02
0400000US04,4.7,0.2,18.7,1.0,10.5,1.9,18.9,2.8,14.5,1.7,4.9,-888888888.0,4.5,-888888888.0,5.2,-888888888.0,Arizona,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),04
0400000US05,1.6,0.2,25.0,3.6,7.1,4.0,28.1,7.9,41.4,16.8,3.2,-888888888.0,1.9,-888888888.0,2.9,-888888888.0,Arkansas,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),05
0400000US06,9.6,0.1,21.9,0.3,16.9,0.7,27.8,0.5,19.4,1.7,3.4,-888888888.0,3.2,-888888888.0,3.7,-888888888.0,California,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),06
0400000US08,2.9,0.2,17.8,1.5,7.9,1.3,22.1,3.2,18.8,4.5,5.0,-888888888.0,5.1,-888888888.0,5.9,-888888888.0,Colorado,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),08
0400000US09,5.3,0.3,26.1,1.9,15.8,1.6,25.4,3.5,16.9,5.5,3.4,-888888888.0,3.7,-888888888.0,4.7,-888888888.0,Connecticut,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),09
0400000US10,2.4,0.4,22.3,4.9,10.3,4.1,16.5,6.8,1.6,2.8,3.1,-888888888.0,2.5,-888888888.0,3.3,-888888888.0,Delaware,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),10
0400000US11,3.2,0.5,22.2,4.7,11.5,3.9,18.5,6.6,15.7,6.9,6.4,-888888888.0,6.2,-888888888.0,9.4,-888888888.0,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),11
0400000US12,6.8,0.1,27.1,0.6,19.3,1.0,22.5,2.1,14.9,2.7,4.6,-888888888.0,3.4,-888888888.0,4.0,-888888888.0,Florida,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),12
0400000US13,3.0,0.2,26.0,1.6,12.5,1.9,26.0,2.7,17.2,3.5,4.3,-888888888.0,3.2,-888888888.0,3.8,-888888888.0,Georgia,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),13
0400000US15,6.9,0.6,9.7,4.3,7.4,3.6,25.4,2.2,30.6,25.2,4.0,-888888888.0,5.0,-888888888.0,6.1,-888888888.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),15
