GEO_ID,C16010_001E,C16010_001M,C16010_002E,C16010_002M,C16010_003E,C16010_003M,C16010_004E,C16010_004M,C16010_005E,C16010_005M,C16010_006E,C16010_006M,C16010_007E,C16010_007M,C16010_008E,C16010_008M,C16010_009E,C16010_009M,C16010_010E,C16010_010M,C16010_011E,C16010_011M,C16010_012E,C16010_012M,C16010_013E,C16010_013M,C16010_014E,C16010_014M,C16010_015E,C16010_015M,C16010_016E,C16010_016M,C16010_017E,C16010_017M,C16010_018E,C16010_018M,C16010_019E,C16010_019M,C16010_020E,C16010_020M,C16010_021E,C16010_021M,C16010_022E,C16010_022M,C16010_023E,C16010_023M,C16010_024E,C16010_024M,C16010_025E,C16010_025M,C16010_026E,C16010_026M,C16010_027E,C16010_027M,C16010_028E,C16010_028M,C16010_029E,C16010_029M,C16010_030E,C16010_030M,C16010_031E,C16010_031M,C16010_032E,C16010_032M,C16010_033E,C16010_033M,C16010_034E,C16010_034M,C16010_035E,C16010_035M,C16010_036E,C16010_036M,C16010_037E,C16010_037M,NAME,C16010_001MA,C16010_001EA,C16010_002EA,C16010_002MA,C16010_003EA,C16010_003MA,C16010_004EA,C16010_004MA,C16010_005EA,C16010_005MA,C16010_006MA,C16010_006EA,C16010_007MA,C16010_007EA,C16010_008EA,C16010_008MA,C16010_009EA,C16010_009MA,C16010_010EA,C16010_010MA,C16010_011MA,C16010_011EA,C16010_012MA,C16010_012EA,C16010_013EA,C16010_013MA,C16010_014EA,C16010_014MA,C16010_015EA,C16010_015MA,C16010_016MA,C16010_016EA,C16010_017MA,C16010_017EA,C16010_018EA,C16010_018MA,C16010_019EA,C16010_019MA,C16010_020EA,C16010_020MA,C16010_021EA,C16010_021MA,C16010_022MA,C16010_022EA,C16010_023MA,C16010_023EA,C16010_024EA,C16010_024MA,C16010_025EA,C16010_025MA,C16010_026EA,C16010_026MA,C16010_027EA,C16010_027MA,C16010_028MA,C16010_028EA,C16010_029EA,C16010_029MA,C16010_030EA,C16010_030MA,C16010_031EA,C16010_031MA,C16010_032EA,C16010_032MA,C16010_033MA,C16010_033EA,C16010_034MA,C16010_034EA,C16010_035EA,C16010_035MA,C16010_036EA,C16010_036MA,C16010_037EA,C16010_037MA,state
0400000US01,3309607,5907,446943,10716,153469,7297,130809,6708,18884,2567,3776,1181,293474,9904,276041,9697,12294,1870,5139,1571,1029982,16141,517552,13635,497183,13091,12757,2393,7612,1980,512430,11766,500717,11445,6213,1398,5500,1230,987978,13566,617169,12002,597751,11783,9569,1845,9849,1883,370809,9446,360107,9752,5891,1691,4811,1077,844704,13082,596864,10643,561643,10925,11238,2173,23983,2685,247840,7437,235890,7422,3622,1260,8328,1591,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481561,2194,40036,2946,18678,2462,11495,2061,1229,620,5954,1251,21358,1905,13397,1568,679,360,7282,1381,133132,5152,85899,4177,70306,4009,2996,957,12597,1427,47233,3330,40939,3182,286,183,6008,893,169709,5313,121119,4209,103079,4200,5206,1347,12834,1562,48590,3274,42311,3314,654,394,5625,1234,138684,5762,103937,5026,90964,4429,2196,815,10777,1687,34747,2779,30791,2444,1315,578,2641,889,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4711362,2707,604898,13931,289226,9275,90959,5379,182982,7618,15285,2286,315672,9355,139890,6208,140867,5605,34915,2724,1136493,15865,611211,12688,409946,10678,165700,7340,35565,3421,525282,9482,411618,8459,81448,4864,32216,2786,1586879,18647,983003,15289,767364,13601,159647,6570,55992,3767,603876,11693,510044,11481,63996,4153,29836,2592,1383092,18160,933323,15383,757996,13757,85805,5428,89522,4829,449769,9696,386404,9152,23506,2280,39859,3512,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2008398,4671,267542,7996,105470,5445,70574,4645,28450,3269,6446,1856,162072,5725,147506,5453,11974,1743,2592,779,683285,11877,360669,9310,338170,9179,18673,2564,3826,951,322616,8176,313747,7990,4843,1157,4026,1075,587457,11564,369557,8889,353989,8779,11654,1959,3914,1444,217900,7476,209405,7501,4081,1049,4414,1409,470114,11180,333241,8907,314116,8634,6931,1617,12194,1845,136873,5571,129404,5380,2472,803,4997,1356,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26679273,5961,4449302,35163,2280150,26375,368967,12034,1694371,23855,216812,8585,2169152,23783,608150,12896,1168804,19228,392198,11154,5541182,36178,3391921,33071,1646000,22658,1333481,21056,412440,11781,2149261,26020,1326759,19864,473743,12108,348759,13198,7712542,40490,5105071,39165,3235579,25884,1220443,21372,649049,13078,2607471,22978,1897626,19888,363430,9731,346415,10471,8976247,47144,6671329,41700,4264517,35526,702446,15575,1704366,19817,2304918,25891,1542648,18596,152533,6372,609737,16384,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3822068,3950,319636,10562,171247,7397,69879,4925,87538,5377,13830,2259,148389,6420,83836,5059,51262,3979,13291,1895,815595,14267,500749,12122,397768,10139,81171,6484,21810,2769,314846,8569,270627,7698,32465,3327,11754,1887,1112140,14640,767336,13225,678838,12277,58553,4351,29945,2616,344804,9642,310857,8659,22012,2345,11935,1780,1574697,14828,1183612,13025,1057769,12215,47683,3962,78160,5033,391085,10028,351873,9116,12623,1569,26589,2490,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2493854,1813,239289,8960,105289,6400,43115,3656,44792,4431,17382,2707,134000,6470,70973,5217,41684,3683,21343,2661,676911,14998,405201,11727,301182,10428,66335,5007,37684,3723,271710,7692,223630,6937,24733,3064,23347,2514,613047,12994,428341,11205,339800,9662,51112,4355,37429,3241,184706,7234,156930,6710,12945,1995,14831,1944,964607,12471,730556,11306,602760,10955,35087,3158,92709,4278,234051,6927,196482,6462,8800,1525,28769,2895,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,673686,1263,63551,5133,26533,3336,14456,1791,9971,2460,2106,974,37018,3801,27459,2930,6478,1789,3081,1305,218309,7652,110842,6188,96921,5785,9138,1839,4783,1116,107467,4576,97776,4460,4962,978,4729,1166,179743,5855,119372,4566,108174,4583,4726,1385,6472,1871,60371,4070,55605,3882,2472,1073,2294,832,212083,6756,150922,5707,129026,5308,3267,814,18629,2064,61161,3440,54525,3229,905,447,5731,1187,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,494614,192,48331,4147,23819,3208,10255,2191,11912,2223,1652,859,24512,2700,20192,2428,3180,981,1140,505,85033,5097,46030,4325,37087,3508,3912,1029,5031,1822,39003,3065,36999,2996,1236,658,768,446,77731,4684,52589,4263,44506,3863,4077,1197,4006,1335,25142,2958,23446,2748,552,356,1144,623,283519,5856,243066,5466,201246,5433,16951,2319,24869,2730,40453,3257,34214,2890,1484,731,4755,1082,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15020177,8023,1745933,28467,736263,18136,325591,12169,329832,12395,80840,5385,1009670,19222,584810,14177,322213,10050,102647,5890,4330040,38469,2330496,28637,1554262,25507,606269,16933,169965,10673,1999544,24260,1566948,17291,316610,12205,115986,6500,4489712,31639,2815185,26334,1994358,25362,617855,15714,202972,10850,1674527,20403,1348822,17645,229656,9910,96049,5932,4454492,36789,2944532,27348,2052990,24266,590365,14916,301177,10402,1509960,22383,1170133,17742,200265,11003,139562,6616,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
