GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002MA,B05003_002EA,B05003_003MA,B05003_003EA,B05003_004MA,B05003_004EA,B05003_005MA,B05003_005EA,B05003_006EA,B05003_006MA,B05003_007MA,B05003_007EA,B05003_008MA,B05003_008EA,B05003_009MA,B05003_009EA,B05003_010MA,B05003_010EA,B05003_011EA,B05003_011MA,B05003_012EA,B05003_012MA,B05003_013MA,B05003_013EA,B05003_014MA,B05003_014EA,B05003_015MA,B05003_015EA,B05003_016MA,B05003_016EA,B05003_017EA,B05003_017MA,B05003_018MA,B05003_018EA,B05003_019MA,B05003_019EA,B05003_020MA,B05003_020EA,B05003_021EA,B05003_021MA,B05003_022EA,B05003_022MA,B05003_023EA,B05003_023MA,state
0400000US01,4874747,-555555555,2359896,5397,559994,4666,552455,4689,7539,1891,2851,1287,4688,1517,1799902,2714,1722984,4353,76918,3476,27066,2374,49852,3630,2514851,5397,534067,4662,525603,4670,8464,1531,3560,1001,4904,1211,1980784,2660,1904639,4002,76145,4002,33560,3260,42585,3504,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,385776,2177,94061,1894,92089,1911,1972,770,365,285,1607,801,291715,933,267884,2234,23831,2410,13380,1735,10451,1692,354019,2177,91120,1918,88186,2211,2934,945,479,304,2455,932,262899,911,233449,2479,29450,2436,16940,1858,12510,1904,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,3487722,3229,832326,2725,809616,3722,22710,2861,5874,1443,16836,2262,2655396,1668,2237981,10220,417415,9992,174055,7460,243360,8938,3528548,3229,800402,2800,775474,4782,24928,3312,5748,1584,19180,3087,2728146,1323,2268299,10521,459847,10151,215371,6557,244476,9002,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,1479682,4363,365674,3662,361418,3673,4256,1269,523,358,3733,1247,1114008,2521,1046083,3706,67925,3501,19584,2472,48341,3266,1524597,4363,342759,3563,338221,3695,4538,1165,1284,672,3254,942,1181838,2412,1118479,3276,63359,2894,23748,2720,39611,2636,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,19650051,4631,4632490,4388,4415054,10801,217436,9642,49006,4337,168430,8168,15017561,3185,10121755,29505,4895806,29130,2474276,25711,2421530,26347,19886602,4631,4424896,4065,4220983,9662,203913,8361,48426,3588,155487,7575,15461706,2521,10125447,28049,5336259,28069,2928977,23105,2407282,22636,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,2820169,3314,647572,3099,627648,4094,19924,3178,6826,1985,13098,2548,2172597,2229,1918715,7355,253882,7000,101945,5078,151937,6047,2786985,3314,614787,2954,590997,4051,23790,2847,7752,1680,16038,2523,2172198,1885,1919026,7831,253172,7719,117751,5025,135421,5898,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,1750647,2313,380236,1796,364979,2784,15257,2015,3707,908,11550,1909,1370411,1724,1133403,6530,237008,6831,119306,6049,117702,5946,1837537,2313,362042,1791,345860,3023,16182,2615,4521,977,11661,2317,1475495,1487,1213697,7623,261798,7435,145261,6173,116537,5466,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,465510,1455,104083,1234,100676,2029,3407,1661,1034,662,2373,1529,361427,688,318035,3041,43392,3120,19857,2240,23535,2577,496429,1455,100230,1273,96681,1622,3549,1076,1040,582,2509,897,396199,565,348054,3546,48145,3490,24053,2719,24092,2285,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,329078,543,62806,472,60506,988,2300,836,597,403,1703,846,266272,305,218355,2847,47917,2811,17745,1954,30172,2918,364894,543,61792,497,58783,1322,3009,1269,603,400,2406,1181,303102,234,254468,3648,48634,3667,19946,2028,28688,3264,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,10254267,6257,2140045,5116,2015881,8045,124164,7133,29153,3534,95011,6436,8114222,4102,6189451,19547,1924771,20060,1036818,15654,887953,17701,10730133,6257,2060735,4959,1934028,8057,126707,7800,29873,3322,96834,6843,8669398,3990,6465699,23546,2203699,22409,1322982,19152,880717,19090,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
