GEO_ID,C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,NAME,C27002_001MA,C27002_001EA,C27002_002EA,C27002_002MA,C27002_003EA,C27002_003MA,C27002_004MA,C27002_004EA,C27002_005MA,C27002_005EA,C27002_006EA,C27002_006MA,C27002_007EA,C27002_007MA,C27002_008EA,C27002_008MA,C27002_009MA,C27002_009EA,C27002_010MA,C27002_010EA,C27002_011EA,C27002_011MA,C27002_012EA,C27002_012MA,C27002_013EA,C27002_013MA,C27002_014MA,C27002_014EA,C27002_015MA,C27002_015EA,C27002_016MA,C27002_016EA,C27002_017EA,C27002_017MA,C27002_018EA,C27002_018MA,C27002_019MA,C27002_019EA,C27002_020EA,C27002_020MA,C27002_021EA,C27002_021MA,state
0400000US01,4793512,2005,2300832,5674,596872,6090,326299,8835,270573,8849,1362854,4533,985786,11592,377068,11283,341106,2341,219622,4628,121484,4555,2492680,5724,572617,5779,316573,7793,256044,7958,1478253,5740,1081183,12329,397070,10954,441810,2129,275650,4636,166160,4413,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,99960,2241,56975,3203,42985,2941,225192,2474,145841,4653,79351,4506,40962,697,25795,1424,15167,1424,350064,2412,94423,2035,52584,3147,41839,2934,215091,1690,146782,3488,68309,3549,40550,840,24932,1639,15618,1480,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,880537,4315,505940,10227,374597,10720,1968862,4663,1337880,13720,630982,12611,547828,1407,305270,5235,242558,5075,3510894,3887,848903,3593,479446,11223,369457,10825,2020797,3707,1365702,13812,655095,14034,641194,1474,357504,5954,283690,5919,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,387964,4417,184125,6909,203839,7712,838765,3166,573892,9344,264873,8598,215692,2050,126450,3596,89242,3645,1506884,4657,363830,4000,170735,6699,193095,7850,878427,3532,599512,9221,278915,8681,264627,2089,152313,4370,112314,4377,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,4880853,9401,2776039,22019,2104814,21407,11982631,10162,8351011,32913,3631620,33267,2404335,3306,1242356,12018,1161979,11686,19779016,6604,4686620,8614,2671720,22582,2014900,22523,12086653,8516,8308715,29248,3777938,28797,3005743,4174,1474458,14186,1531285,13871,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,684900,3979,440797,8454,244103,8345,1715478,3981,1284163,10716,431315,10334,347910,1649,198814,4207,149096,4130,2765782,3756,649335,4154,406557,8386,242778,7943,1705586,3003,1286624,7714,418962,8566,410861,1605,245378,4386,165483,4483,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,406892,2742,262969,5848,143923,6279,1057211,3129,803594,8118,253617,7783,252876,1105,158654,3418,94222,3307,1819543,2573,385989,2926,263368,5793,122621,5344,1106944,3169,839027,9829,267917,8891,326610,1546,196356,4504,130254,4252,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,111791,1667,73960,3851,37831,4186,267044,1766,207309,4774,59735,4203,75626,668,52828,1941,22798,1768,492798,1502,106682,1441,71479,3281,35203,3102,292611,1410,231461,4074,61150,4013,93505,702,59969,2232,33536,2244,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,66097,923,36839,2363,29258,2198,222199,1191,164724,4126,57475,4057,32639,367,21374,1323,11265,1340,362873,800,67538,1265,36932,2577,30606,2433,246490,1254,187518,3918,58972,3774,48845,453,31754,1687,17091,1733,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,2266960,7051,1187184,17342,1079776,16981,5886588,8016,4049957,28289,1836631,27943,1872603,3983,976859,12454,895744,12819,10652553,6437,2183483,7531,1147074,16863,1036409,16247,6194930,6660,4346378,25335,1848552,25424,2274140,3678,1127358,13668,1146782,13043,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
