GEO_ID,B17009_001E,B17009_001M,B17009_002E,B17009_002M,B17009_003E,B17009_003M,B17009_004E,B17009_004M,B17009_005E,B17009_005M,B17009_006E,B17009_006M,B17009_007E,B17009_007M,B17009_008E,B17009_008M,B17009_009E,B17009_009M,B17009_010E,B17009_010M,B17009_011E,B17009_011M,B17009_012E,B17009_012M,B17009_013E,B17009_013M,B17009_014E,B17009_014M,B17009_015E,B17009_015M,B17009_016E,B17009_016M,B17009_017E,B17009_017M,B17009_018E,B17009_018M,B17009_019E,B17009_019M,B17009_020E,B17009_020M,B17009_021E,B17009_021M,NAME,B17009_001EA,B17009_001MA,B17009_002EA,B17009_002MA,B17009_003EA,B17009_003MA,B17009_004MA,B17009_004EA,B17009_005EA,B17009_005MA,B17009_006EA,B17009_006MA,B17009_007EA,B17009_007MA,B17009_008EA,B17009_008MA,B17009_009EA,B17009_009MA,B17009_010EA,B17009_010MA,B17009_011EA,B17009_011MA,B17009_012MA,B17009_012EA,B17009_013EA,B17009_013MA,B17009_014EA,B17009_014MA,B17009_015MA,B17009_015EA,B17009_016EA,B17009_016MA,B17009_017MA,B17009_017EA,B17009_018EA,B17009_018MA,B17009_019EA,B17009_019MA,B17009_020MA,B17009_020EA,B17009_021EA,B17009_021MA,state
0400000US01,858782,16436,249552,8992,12847,2290,6947,1664,5900,1535,71207,4783,33743,3222,37464,3884,165498,6311,109173,4926,56325,4583,609230,15220,323361,11827,236841,8676,86520,6116,83202,5682,60859,4250,22343,3119,202667,6844,190413,6137,12254,2448,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,149444,6420,31393,3481,2172,846,349,344,1823,707,12445,1926,3585,920,8860,1568,16776,2609,7142,1502,9634,2033,118051,5065,68059,4305,39363,2743,28696,3022,28722,2515,16070,1840,12652,1665,21270,2045,16831,1497,4439,1436,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1367499,21803,337048,11409,20766,2918,9115,1574,11651,2114,113246,5836,47849,3522,65397,4795,203036,8345,113178,5690,89858,5213,1030451,18068,570564,15177,366170,9572,204394,8880,176992,6965,121332,5964,55660,4315,282895,7763,243003,6872,39892,3563,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,545226,14481,167584,7758,11064,1878,5724,1252,5340,1391,46607,4361,21628,2675,24979,3176,109913,6049,73723,3837,36190,3770,377642,11054,199716,8957,142558,6119,57158,5232,60912,4148,44584,3399,16328,2580,117014,4484,110166,4035,6848,1476,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6982736,46493,1778507,25998,89662,5888,37879,3282,51783,4401,549572,14091,187312,7728,362260,10940,1139273,20610,540156,11963,599117,14954,5204229,38533,2934682,30172,1684436,18594,1250246,22641,1094097,18992,638252,11788,455845,14233,1175450,16871,1006445,14189,169005,7554,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1188697,14688,249921,7267,18642,2550,8520,1432,10122,1908,109530,5065,44828,2861,64702,4051,121749,5889,73028,4291,48721,3996,938776,13423,572528,12117,357874,8764,214654,8954,189128,6678,125739,5319,63389,4246,177120,6520,162411,5666,14709,2275,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,689049,13517,138830,7113,4604,1331,2613,794,1991,833,41994,3384,16402,2043,25592,2542,92232,6086,52805,3974,39427,3718,550219,11715,297059,9652,203066,6875,93993,5762,102439,5379,67807,3760,34632,3375,150721,5356,136776,4834,13945,1671,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,179620,8340,47915,3564,2195,791,1551,674,644,391,13661,2164,5364,1017,8297,1708,32059,2920,17628,1989,14431,2105,131705,6858,74887,5430,51898,3849,22989,3115,21254,2504,14314,1925,6940,1567,35564,2918,31387,2671,4177,1044,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,255095,7167,49465,4389,2003,725,1075,536,928,538,16331,2381,6242,1179,10089,1805,31131,3932,18751,2587,12380,2987,205630,6487,146336,5979,92414,4136,53922,4050,35219,3352,21968,2377,13251,2179,24075,2078,21668,2040,2407,802,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4169903,40548,1037017,20873,59934,4035,29667,2616,30267,3069,299930,10503,125032,5583,174898,8688,677153,19569,381382,10829,295771,15031,3132886,32601,1652191,26224,1029974,17857,622217,16251,532388,13869,352019,9446,180369,9712,948307,15320,828384,13374,119923,7165,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1783481,23068,463907,12186,34587,3945,16977,2690,17610,2645,144752,6821,61562,3920,83190,5783,284568,9466,170643,7235,113925,6537,1319574,22160,805104,19619,547644,13774,257460,11956,204809,8392,137275,6398,67534,5706,309661,7785,285190,7542,24471,2703,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,235336,7519,55119,3371,2361,687,847,341,1514,581,16109,2006,5173,1016,10936,1815,36649,3043,18859,2019,17790,1987,180217,6827,107933,6122,60422,3817,47511,4000,30819,2793,17886,1939,12933,1918,41465,2783,34555,2309,6910,1355,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,304225,10961,84596,5728,5829,1461,2936,1132,2893,945,33801,3658,12956,2080,20845,3095,44966,4026,27138,2673,17828,2816,219629,9636,116965,7298,78869,5505,38096,4194,38636,3512,26650,2594,11986,2321,64028,4631,56812,3786,7216,2093,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2417586,22715,565222,12417,32750,3395,18830,2423,13920,2007,177978,6900,84477,4546,93501,4933,354494,9925,215985,6950,138509,6882,1852364,21364,1059826,18245,739944,12130,319882,10660,312874,8722,217079,6925,95795,5110,479664,11055,448814,10126,30850,2741,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1275402,17156,337723,9893,19904,2360,10158,1540,9746,1765,120987,6164,52047,3810,68940,4576,196832,7942,113941,4931,82891,5834,937679,14982,529216,11584,374242,8362,154974,7166,155104,6195,112793,4890,42311,3495,253359,6320,234016,5444,19343,2540,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,654485,11354,154785,6221,9939,1898,6156,1526,3783,1028,69259,4213,31627,2319,37632,3294,75587,4287,44187,2614,31400,3143,499700,9897,283365,7322,197687,4709,85678,5672,88097,4500,62817,3646,25280,2565,128238,4453,120417,4022,7821,1460,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
