GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001MA,C17021_001EA,C17021_002EA,C17021_002MA,C17021_003MA,C17021_003EA,C17021_004EA,C17021_004MA,C17021_005EA,C17021_005MA,C17021_006MA,C17021_006EA,C17021_007EA,C17021_007MA,C17021_008MA,C17021_008EA,C17021_009EA,C17021_009MA,C17021_010EA,C17021_010MA,C17021_011EA,C17021_011MA,C17021_012EA,C17021_012MA,C17021_013EA,C17021_013MA,C17021_014MA,C17021_014EA,C17021_015MA,C17021_015EA,state
0400000US01,4752560,2493,802656,24897,587222,23370,180318,10887,406904,21703,59089,7589,347815,19159,215434,8781,3949904,24843,3383051,26373,2548662,30288,834389,28904,218406,13650,615983,24677,566853,14575,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720472,1555,80012,7303,57143,6650,26160,5659,30983,4326,8812,1942,22171,4046,22869,2901,640460,7366,535763,9040,408477,11916,127286,9013,45170,5565,82116,8086,104697,4589,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6856067,3981,1018935,28419,742211,27509,308619,18171,433592,22930,104344,11621,329248,19569,276724,10080,5837132,28204,4909347,30324,3668226,38590,1241121,32390,406970,20777,834151,26597,927785,18137,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2916321,2511,478365,17030,336334,15937,130141,11641,206193,12727,33762,4599,172431,11811,142031,6921,2437956,17140,2090319,21915,1608949,24757,481370,17904,145583,11565,335787,15263,347637,10928,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38793027,8845,5160208,71947,3783359,66157,1694184,44132,2089175,50672,490852,24139,1598323,41305,1376849,24654,33632819,72987,29118051,74442,21829494,101136,7288557,83529,2459191,64121,4829366,78091,4514768,35149,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5483104,3121,564312,17223,350177,16505,151533,13349,198644,13783,41768,6722,156876,13024,214135,7363,4918792,17310,4055292,21364,3242881,30215,812411,24505,293004,15979,519407,21121,863500,13705,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3482584,1446,334128,18741,219363,17374,68376,7728,150987,14451,25612,4978,125375,13278,114765,6316,3148456,18868,2646870,20110,2029866,25689,617004,23876,177660,12350,439344,19100,501586,10801,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,934947,1486,126986,9341,85617,9680,38066,7085,47551,6248,11725,3982,35826,5314,41369,3353,807961,9034,688656,10598,525263,15352,163393,11202,48143,6594,115250,9371,119305,6430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660642,544,109920,7135,65065,6093,9939,3367,55126,5595,7530,2733,47596,5794,44855,4295,550722,7081,355006,8715,217902,9987,137104,9515,33485,5444,103619,9358,195716,6782,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20569920,5871,2889506,57828,2039040,51602,808196,30440,1230844,41124,249850,19504,980994,36959,850466,16873,17680414,58572,14864815,64733,10812599,90163,4052216,71052,1197797,42208,2854419,59375,2815599,33333,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
