GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002EA,B12002A_002MA,B12002A_003MA,B12002A_003EA,B12002A_004MA,B12002A_004EA,B12002A_005MA,B12002A_005EA,B12002A_006MA,B12002A_006EA,B12002A_007EA,B12002A_007MA,B12002A_008EA,B12002A_008MA,B12002A_009MA,B12002A_009EA,B12002A_010EA,B12002A_010MA,B12002A_011MA,B12002A_011EA,B12002A_012EA,B12002A_012MA,B12002A_013EA,B12002A_013MA,state
0400000US01,2752879,4951,1334924,3520,377369,7120,738223,10929,15716,2190,45169,3168,158447,6389,1417955,3506,306694,6230,745783,9968,25472,2339,153628,4847,186378,6421,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,391458,2320,208521,1496,66675,3178,108842,4421,2442,757,4627,838,25935,2653,182937,1467,45333,2920,97859,3373,3276,852,10336,1384,26133,2187,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4481101,17701,2208379,9446,743952,11800,1119402,12190,31647,3798,61578,4388,251800,8352,2272722,10168,611862,10654,1091181,13734,44017,3945,199740,6700,325922,9812,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1889320,4961,923534,3349,250627,6660,498877,9747,18398,2731,33951,3164,121681,5362,965786,3358,192069,5292,503967,10362,22677,2666,103029,3811,144044,6354,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19103464,49802,9498189,27489,3622709,25885,4677390,26121,141670,6407,225124,6499,831296,15704,9605275,29163,2948995,25671,4448614,26480,212533,9760,805446,10967,1189687,19467,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3885155,9946,1944241,5839,668891,8527,1007467,11227,21261,3053,40423,2914,206199,7157,1940914,5887,522900,9205,991702,11270,25776,2916,134420,4488,266116,7172,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2317508,9317,1121101,5683,390136,6811,580232,8054,11337,2077,31790,2596,107606,4529,1196407,5660,341861,7587,571471,10056,12873,1935,117228,4660,152974,5891,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,559614,3076,270165,1912,85143,3261,146836,4421,3664,1218,8176,1402,26346,2710,289449,1713,74611,3381,143785,4743,5649,1466,28467,2218,36937,2743,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,253062,3270,125273,2047,68883,2407,47681,2407,1488,651,1087,498,6134,942,127789,1692,68268,2412,45859,2326,975,424,3664,883,9023,1356,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13459033,26475,6544500,14294,2060868,20602,3359939,24061,108520,6066,230370,9050,784803,16753,6914533,15433,1682816,21607,3255850,24251,151236,8823,784670,13019,1039961,17060,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5032692,12581,2471695,7822,741467,12325,1376830,13708,33095,3693,62931,4157,257372,8759,2560997,7595,594824,10298,1354861,16115,49115,3854,234842,7123,327355,9400,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,307918,3464,167073,2244,52905,3367,89977,3998,1875,668,3904,875,18412,2300,140845,1966,32174,2401,77612,2689,1373,600,11063,1352,18623,2043,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1225849,5535,609616,3025,182072,5912,331955,6421,5188,1278,18268,2245,72133,5104,616233,3647,143089,6423,334534,6991,6240,1312,52381,3189,79989,5145,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7564529,19399,3711037,11817,1283828,14300,1953889,13811,37070,3151,102043,4754,334207,7517,3853492,10208,1075263,12810,1931844,14635,50438,3031,368325,7534,427622,8506,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4563594,6017,2233075,4290,718139,8581,1170444,10855,21993,2625,65378,3579,257121,7556,2330519,4059,579434,8659,1184825,11783,29216,2732,216461,5747,320583,8109,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
