GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002EA,B16009_002MA,B16009_003MA,B16009_003EA,B16009_004MA,B16009_004EA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007EA,B16009_007MA,B16009_008MA,B16009_008EA,B16009_009MA,B16009_009EA,B16009_010EA,B16009_010MA,B16009_011MA,B16009_011EA,B16009_012EA,B16009_012MA,B16009_013MA,B16009_013EA,B16009_014MA,B16009_014EA,B16009_015EA,B16009_015MA,B16009_016MA,B16009_016EA,B16009_017MA,B16009_017EA,B16009_018EA,B16009_018MA,B16009_019EA,B16009_019MA,B16009_020EA,B16009_020MA,B16009_021EA,B16009_021MA,B16009_022MA,B16009_022EA,B16009_023EA,B16009_023MA,B16009_024EA,B16009_024MA,B16009_025EA,B16009_025MA,B16009_026EA,B16009_026MA,B16009_027MA,B16009_027EA,state
0400000US44,964716,1163,109060,9011,24551,3840,14780,3433,7928,2418,668,631,627,480,548,673,84509,6546,56523,4974,16805,3104,5359,1383,5159,2006,663,491,855656,9068,125332,4037,100398,3897,16893,2545,4960,2025,1943,595,1138,983,730324,6472,571070,7717,79041,4421,56606,5265,18266,2612,5341,1940,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4597210,3417,682410,18103,175526,8654,150694,7931,21018,3187,2213,1347,783,582,818,940,506884,13231,459643,12888,33797,3845,6820,2312,5204,1523,1420,747,3914800,18633,623102,9601,576833,9936,31795,3486,8663,2570,5379,1202,432,390,3291698,13320,3081500,13786,123630,6337,47664,5327,33737,3576,5167,2515,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,780179,2153,98929,5851,24272,2732,21623,2413,783,748,206,185,314,327,1346,872,74657,4185,65331,3942,1298,717,1666,668,1497,868,4865,1603,681250,6243,123782,3255,117811,3289,2838,1035,1976,879,390,312,767,323,557468,4270,527352,3904,11662,1610,8404,1758,3623,891,6427,1349,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6157016,3968,885823,22886,220320,10301,186856,9642,25037,3931,1441,778,1976,1146,5010,1804,665503,16468,609269,15971,33303,3491,6391,1615,6242,1957,10298,2619,5271193,23878,866034,11081,800064,10272,41045,4963,11541,2668,7098,1438,6286,2131,4405159,16787,4120879,17890,149342,6876,54575,6437,53225,4951,27138,5359,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,25682797,8203,3622315,55980,1070122,28906,495515,20146,534083,19250,11915,3002,13176,2816,15433,4565,2552193,35205,1355774,25085,1038009,26659,54624,4942,65398,5858,38388,6091,22060482,56748,4218805,29705,2906468,29727,1123869,25724,65894,5699,86987,5854,35587,5960,17841677,35307,11728150,43772,4901605,38426,458396,18606,576487,15239,177039,13245,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2803163,2563,265314,14792,66589,6078,46164,4655,16124,2950,1249,726,786,590,2266,1349,198725,10749,154344,8813,27974,3658,6482,1988,5843,1703,4082,1177,2537849,15649,597912,6883,519502,6764,61044,5248,5450,1475,9179,1902,2737,948,1939937,10993,1646446,12674,187989,7952,44323,3781,47824,4222,13355,2137,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,570008,945,63485,5470,11590,2129,11052,2117,109,140,356,380,73,127,0,157,51895,4383,48393,4228,497,305,2588,1312,390,373,27,45,506523,5604,74421,2501,70482,2580,923,383,2071,803,865,553,80,86,432102,4538,408835,4994,4207,925,14805,2392,3116,1031,1139,696,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,7725482,4501,802040,25009,185690,9973,146557,8958,27232,4096,3990,1460,2208,907,5703,1893,616350,18211,508879,15103,50877,6290,20828,3571,20877,3481,14889,3249,6923442,25147,1159221,9713,974983,11147,96460,5206,39297,4181,31996,3288,16485,2958,5764221,18351,4812360,21938,387033,8379,234953,10134,234192,8818,95683,7903,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6827136,3244,738213,21486,168506,10672,101387,9294,48589,6246,4822,1858,10432,1856,3276,1843,569707,14838,429395,13327,65314,5670,23069,3774,38657,4139,13272,3660,6088923,21788,1007225,10987,807739,10654,107909,5735,41004,4976,39404,3709,11169,2544,5081698,14651,4144523,19793,356310,10287,207170,10844,324114,9995,49581,5205,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1667366,2440,305295,13375,62752,5978,61827,5842,786,589,0,200,139,185,0,200,242543,9949,236101,9783,2322,974,1826,750,1656,1018,638,494,1362071,13499,204330,5524,200387,5705,2783,857,312,182,689,460,159,261,1157741,9960,1130489,10616,8557,1668,9670,2215,5180,1498,3845,1849,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5317173,3065,587856,15835,130120,7347,105161,5672,17512,2816,3313,1096,2859,990,1275,918,457736,10985,402164,9823,28067,2899,10500,1338,11738,2387,5267,1609,4729317,15613,796952,6945,720653,6826,46884,4492,14655,2090,12829,2190,1931,852,3932365,11690,3631815,13075,145857,5728,78623,5459,63075,4114,12995,2484,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,528121,1449,58305,5514,12264,2220,10021,2266,1922,1049,200,207,8,18,113,92,46041,3976,39510,3450,4715,1947,450,369,997,597,369,175,469816,5844,85948,2947,78544,2928,5713,1700,336,300,261,218,1094,464,383868,4122,357426,4939,17172,1711,3968,851,2565,875,2737,993,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3160339,1700,1376563,31424,285084,10746,9322,2255,275762,10794,0,262,0,262,0,262,1091479,24317,55267,4766,1034731,23404,666,371,815,838,0,262,1783776,30956,221825,10365,9541,1986,212116,10486,86,138,82,140,0,262,1561951,24295,106211,7213,1452203,23811,2717,1136,752,793,68,114,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
